epoch,value
1696385110.965,nan
1696385120.964,90.100783
1696385130.964,98.901144
1696385140.964,97.400670
1696385150.964,94.598842
1696385160.964,97.699812
1696385170.965,98.898401
1696385180.967,98.576049
1696385190.964,89.722840
1696385200.965,99.192690
1696385210.964,99.307242
1696385220.964,97.300862
1696385230.965,99.298181
1696385240.965,98.893694
1696385250.964,90.306801
1696385260.964,97.900834
1696385270.965,96.592162
1696385280.964,88.106752
1696385290.965,98.792606
1696385300.964,99.407014
1696385310.965,89.893483
1696385320.965,98.899984
1696385330.964,99.206989
1696385340.964,93.500276
1696385350.965,98.792158
1696385360.965,49.301412
1696385370.965,45.899359
1696385380.965,67.702924
1696385390.964,86.702672
1696385400.965,88.392664
1696385410.964,98.807896
1696385420.964,98.800086
1696385430.965,98.291424
1696385440.965,97.507387
1696385450.964,98.900310
1696385460.965,98.899466
1696385470.964,94.400524
1696385480.964,98.999972
1696385490.964,98.700729
1696385500.966,88.390246
1696385510.964,96.109887
1696385520.964,97.199994
1696385530.965,93.293289
1696385540.964,98.607925
1696385550.965,98.992196
1696385560.965,89.605597
1696385570.964,98.700913
1696385580.964,98.899900
1696385590.964,96.300650
1696385600.965,98.898653
1696385610.964,98.801402
1696385620.964,94.400023
1696385630.966,86.890215
1696385640.964,49.005119
1696385650.965,76.798644
1696385660.965,55.599994
1696385670.965,98.094836
1696385680.965,96.203563
1696385690.964,98.604286
1696385700.964,98.798924
1696385710.964,96.800660
1696385720.965,98.698036
1696385730.964,98.601223
1696385740.965,97.896511
1696385750.964,92.204021
1696385760.964,97.301327
1696385770.965,99.191369
1696385780.964,89.906037
1696385790.965,98.899426
1696385800.964,99.201387
1696385810.965,90.698406
1696385820.964,98.901813
1696385830.965,98.798529
1696385840.964,89.500481
1696385850.965,99.099381
1696385860.965,96.895820
1696385870.965,93.898805
1696385880.964,97.006682
1696385890.965,98.898976
1696385900.964,92.600371
1696385910.965,72.496787
1696385920.965,47.399477
1696385930.966,67.796279
1696385940.965,95.606343
1696385950.966,76.894683
1696385960.966,76.099351
1696385970.965,97.911393
1696385980.965,86.496395
1696385990.966,88.889246
1696386000.965,29.903445
1696386010.965,88.504116
1696386020.965,74.800186
1696386030.966,41.895306
1696386040.965,95.508643
1696386050.966,74.893313
1696386060.965,72.306977
1696386070.966,89.991497
1696386080.965,77.907922
1696386090.966,61.393121
1696386100.965,72.108474
1696386110.966,76.091276
1696386120.966,25.900036
1696386130.965,50.502287
1696386140.965,46.402949
1696386150.972,39.071846
1696386160.965,35.025064
1696386170.965,77.596355
1696386180.965,73.404165
1696386190.965,60.998940
1696386200.965,19.299610
1696386210.965,28.400878
1696386220.965,45.698280
1696386230.965,36.801418
1696386240.965,46.598753
1696386250.964,13.800513
1696386260.965,38.798885
1696386270.965,13.899954
1696386280.965,22.299343
1696386290.965,9.300364
1696386300.965,9.699786
1696386310.965,1.499994
1696386320.965,2.800088
1696386330.965,29.599798
1696386340.965,48.298563
1696386350.965,24.700438
1696386360.965,39.199663
1696386370.965,13.599998
1696386380.965,35.499751
1696386390.965,26.399970
1696386400.964,2.100113
1696386410.964,92.700745
1696386420.964,98.699324
1696386430.965,98.292548
1696386440.964,96.807799
1696386450.965,98.999120
1696386460.964,96.700302
1696386470.964,92.600412
1696386480.964,97.200493
1696386490.965,99.098633
1696386500.965,92.193881
1696386510.964,98.806974
1696386520.965,98.692871
1696386530.965,97.105798
1696386540.964,99.401943
1696386550.965,99.298952
1696386560.964,90.900959
1696386570.964,99.399575
1696386580.964,97.999971
1696386590.964,92.499805
1696386600.965,97.793534
1696386610.964,99.306513
1696386620.965,95.697100
1696386630.965,97.902559
1696386640.964,99.101266
1696386650.965,20.899471
1696386660.965,21.599218
1696386670.965,23.900116
1696386680.965,50.501945
1696386690.965,21.199844
1696386700.965,31.299960
1696386710.965,50.198841
1696386720.965,16.100066
1696386730.965,58.197912
1696386740.965,23.901423
1696386750.965,26.799806
1696386760.966,49.895484
1696386770.965,35.201957
1696386780.965,14.500618
1696386790.966,41.195781
1696386800.965,24.401536
1696386810.965,49.199712
1696386820.965,13.000619
1696386830.965,38.899285
1696386840.966,41.996350
1696386850.965,9.901111
1696386860.966,15.996887
1696386870.965,8.601554
1696386880.965,20.798878
1696386890.965,29.601476
1696386900.965,9.499718
1696386910.965,18.500672
1696386920.965,9.399678
1696386930.965,7.300250
1696386940.965,20.400249
1696386950.965,4.899833
1696386960.966,43.496497
1696386970.965,15.701617
1696386980.965,0.099999
1696386990.965,28.100019
1696387000.965,15.599340
1696387010.966,9.999440
1696387020.965,9.000830
1696387030.965,19.199281
1696387040.965,2.699953
1696387050.965,20.300818
1696387060.965,11.699826
1696387070.966,0.000000
1696387080.965,8.000520
1696387090.965,7.900230
1696387100.965,22.099635
1696387110.965,7.500065
1696387120.965,28.298692
1696387130.965,81.205225
1696387140.964,99.000473
1696387150.965,98.992002
1696387160.964,91.707563
1696387170.965,98.892597
1696387180.965,98.006487
1696387190.965,86.894593
1696387200.964,97.507532
1696387210.965,98.897345
1696387220.965,98.399584
1696387230.965,97.402162
1696387240.965,98.992627
1696387250.964,99.107767
1696387260.965,96.892223
1696387270.965,98.900601
1696387280.965,98.806846
1696387290.965,96.992479
1696387300.964,98.308228
1696387310.965,95.793324
1696387320.965,88.099952
1696387330.964,99.206692
1696387340.965,98.899456
1696387350.965,96.593406
1696387360.965,99.006847
1696387370.965,94.600068
1696387380.965,96.900001
1696387390.964,99.100444
1696387400.964,98.901015
1696387410.964,89.899213
1696387420.965,96.990779
