epoch,value
1696385101.012,29564928.000000
1696385110.976,29589504.000000
1696385120.975,29622272.000000
1696385130.975,29622272.000000
1696385140.977,29646848.000000
1696385150.975,29691904.000000
1696385160.976,29683712.000000
1696385170.975,29659136.000000
1696385180.978,29659136.000000
1696385190.975,29659136.000000
1696385200.975,29659136.000000
1696385210.975,29659136.000000
1696385220.975,29659136.000000
1696385230.975,29659136.000000
1696385240.975,29659136.000000
1696385250.975,29659136.000000
1696385260.976,29667328.000000
1696385270.975,29700096.000000
1696385280.975,29696000.000000
1696385290.975,29679616.000000
1696385300.975,29679616.000000
1696385310.975,29679616.000000
1696385320.975,29679616.000000
1696385330.976,29679616.000000
1696385340.976,29679616.000000
1696385350.976,29679616.000000
1696385360.976,29679616.000000
1696385370.975,29679616.000000
1696385380.977,29679616.000000
1696385390.975,29708288.000000
1696385400.975,29687808.000000
1696385410.975,29687808.000000
1696385420.975,29687808.000000
1696385430.980,29687808.000000
1696385440.976,29687808.000000
1696385450.975,29687808.000000
1696385460.976,29687808.000000
1696385470.975,29687808.000000
1696385480.975,29687808.000000
1696385490.975,29687808.000000
1696385500.975,29687808.000000
1696385510.975,29724672.000000
1696385520.976,29732864.000000
1696385530.976,29704192.000000
1696385540.977,29704192.000000
1696385550.975,29704192.000000
1696385560.978,29704192.000000
1696385570.976,29704192.000000
1696385580.975,29704192.000000
1696385590.975,29704192.000000
1696385600.975,29704192.000000
1696385610.975,29704192.000000
1696385620.975,29728768.000000
1696385630.975,29741056.000000
1696385640.975,29728768.000000
1696385650.976,29712384.000000
1696385660.975,29712384.000000
1696385670.977,29712384.000000
1696385680.975,29712384.000000
1696385690.975,29712384.000000
1696385700.975,29712384.000000
1696385710.976,29712384.000000
1696385720.975,29712384.000000
1696385730.975,29712384.000000
1696385740.975,29712384.000000
1696385750.975,29753344.000000
1696385760.975,29757440.000000
1696385770.976,29732864.000000
1696385780.975,29720576.000000
1696385790.975,29720576.000000
1696385800.975,29720576.000000
1696385810.975,29720576.000000
1696385820.975,29720576.000000
1696385830.976,29720576.000000
1696385840.976,29720576.000000
