epoch,value
1696389221.444,nan
1696389231.444,97.301185
1696389241.444,88.298398
1696389251.445,99.099704
1696389261.445,99.099453
1696389271.445,89.994428
1696389281.444,99.307459
1696389291.445,98.998714
1696389301.444,97.101089
1696389311.444,99.099727
1696389321.444,98.700119
1696389331.446,97.087417
1696389341.445,94.605392
1696389351.444,96.508176
1696389361.445,96.892243
1696389371.444,97.207503
1696389381.445,98.791413
1696389391.445,99.006084
1696389401.444,94.401775
1696389411.444,98.899422
1696389421.444,99.200640
1696389431.445,96.398917
1696389441.444,98.800424
1696389451.444,98.900893
1696389461.445,90.293316
1696389471.445,96.600812
1696389481.445,97.499289
1696389491.445,93.999445
1696389501.444,99.007026
1696389511.445,98.991727
1696389521.445,88.706919
1696389531.445,33.698787
1696389541.445,41.599992
1696389551.446,25.598084
1696389561.445,2.800213
1696389571.445,3.100035
1696389581.445,13.500255
1696389591.445,82.596173
1696389601.445,20.601046
1696389611.452,2.697880
1696389621.445,10.507522
1696389631.445,16.800299
1696389641.445,26.200990
1696389651.445,20.299479
1696389661.445,0.000000
1696389671.445,3.899989
1696389681.445,6.199907
1696389691.445,0.000000
1696389701.445,34.599905
1696389711.445,48.400628
1696389721.444,11.300478
1696389731.448,16.893253
1696389741.446,18.005025
1696389751.445,21.102218
1696389761.445,2.999895
1696389771.446,3.299766
1696389781.446,0.200002
1696389791.445,24.901840
1696389801.445,10.700180
1696389811.445,14.799974
1696389821.445,49.400847
1696389831.445,31.698537
1696389841.445,21.800203
1696389851.445,11.100393
1696389861.445,11.599480
1696389871.445,0.000000
1696389881.444,44.200570
1696389891.444,99.100025
1696389901.444,89.899855
1696389911.444,99.099750
1696389921.445,99.099799
1696389931.445,94.093768
1696389941.444,97.206891
1696389951.444,96.000142
1696389961.445,95.192994
1696389971.446,98.396309
1696389981.444,99.311991
1696389991.444,96.899143
1696390001.445,98.892485
1696390011.444,99.008090
1696390021.445,98.992981
1696390031.445,94.705327
1696390041.445,98.693566
1696390051.445,99.005280
1696390061.444,87.202474
1696390071.444,97.200586
1696390081.444,97.598899
1696390091.445,91.792675
1696390101.445,99.199773
1696390111.444,98.908654
1696390121.445,89.892531
1696390131.446,72.796385
1696390141.445,32.602296
1696390151.445,0.000000
1696390161.446,23.598460
1696390171.445,0.000000
1696390181.444,32.601404
1696390191.445,67.598658
1696390201.445,55.400359
1696390211.445,45.697625
1696390221.445,45.201033
1696390231.445,3.899989
1696390241.445,0.199995
1696390251.445,37.500933
1696390261.445,0.200000
1696390271.445,0.000000
1696390281.445,48.799211
1696390291.446,27.897682
1696390301.446,64.896487
1696390311.445,20.703121
1696390321.445,21.300013
1696390331.445,13.500136
1696390341.445,23.999750
1696390351.445,46.298597
1696390361.445,12.800301
1696390371.446,48.995528
1696390381.445,4.000203
1696390391.445,9.100169
1696390401.446,33.795895
1696390411.445,19.302715
1696390421.445,6.699937
1696390431.445,5.799813
1696390441.445,15.000403
1696390451.445,42.799900
1696390461.445,6.700264
1696390471.445,22.299929
1696390481.445,65.998154
1696390491.445,44.099671
1696390501.445,53.300090
1696390511.445,47.401132
1696390521.445,39.199544
1696390531.445,26.100394
1696390541.445,61.396812
1696390551.445,72.000120
1696390561.445,54.601796
1696390571.445,21.299753
1696390581.446,53.196560
1696390591.445,56.202876
1696390601.445,18.200186
1696390611.446,65.995710
1696390621.445,64.703216
1696390631.445,41.000632
1696390641.445,53.202296
1696390651.445,38.997416
1696390661.445,66.701914
1696390671.445,87.701369
1696390681.445,43.999483
1696390691.445,52.600326
1696390701.445,70.500135
1696390711.445,44.900237
1696390721.446,35.396850
1696390731.445,52.503990
1696390741.445,55.401017
1696390751.445,64.699784
1696390761.445,27.799678
1696390771.445,42.400831
1696390781.445,69.196178
1696390791.446,20.899022
1696390801.445,24.502325
1696390811.445,39.299036
1696390821.445,37.101039
1696390831.445,45.199930
1696390841.445,62.900004
1696390851.445,51.300821
1696390861.445,77.996719
1696390871.445,75.899778
1696390881.446,46.096905
1696390891.445,44.804431
1696390901.445,50.798293
1696390911.446,48.894331
1696390921.446,76.504312
1696390931.446,52.799817
1696390941.445,69.106976
1696390951.445,53.298308
1696390961.445,75.899629
1696390971.445,66.700946
1696390981.446,24.196845
1696390991.445,58.309476
1696391001.445,78.999821
1696391011.446,45.295258
1696391021.445,35.801794
1696391031.445,44.499996
1696391041.446,50.396805
1696391051.445,53.805308
1696391061.446,42.795998
1696391071.445,48.202892
1696391081.445,39.501824
1696391091.446,37.496515
1696391101.445,54.203392
1696391111.445,43.701334
1696391121.445,55.797050
1696391131.446,48.094308
1696391141.445,60.109911
1696391151.445,65.698330
1696391161.445,65.999891
1696391171.445,40.499547
1696391181.445,58.302461
1696391191.445,49.698355
1696391201.446,37.497375
1696391211.445,44.502077
1696391221.445,55.202634
1696391231.445,42.999002
1696391241.446,45.396806
1696391251.445,50.402683
1696391261.445,36.600774
1696391271.445,46.299905
1696391281.445,81.503210
1696391291.445,55.398441
1696391301.446,50.995708
1696391311.445,44.903110
1696391321.445,13.199849
1696391331.445,21.300265
1696391341.445,59.702187
1696391351.445,32.898807
1696391361.445,25.300026
1696391371.445,43.500512
1696391381.445,43.399430
1696391391.445,53.599976
1696391401.445,65.602344
1696391411.445,39.398638
1696391421.445,57.499216
1696391431.445,38.401422
1696391441.446,59.594654
1696391451.446,38.500088
1696391461.445,50.104752
1696391471.445,40.098139
1696391481.445,24.700707
1696391491.445,49.201600
1696391501.445,71.299137
1696391511.445,47.097675
1696391521.445,55.600733
1696391531.445,66.000469
1696391541.445,73.100523
1696391551.445,27.400274
1696391561.445,76.798289
1696391571.445,56.601191
1696391581.445,73.898078
1696391591.446,45.597284
1696391601.445,53.804518
1696391611.445,35.799109
1696391621.445,66.601031
1696391631.446,73.294202
1696391641.445,60.305317
1696391651.445,58.898764
1696391661.445,51.701601
1696391671.450,45.674065
1696391681.445,45.324597
1696391691.445,54.001524
1696391701.448,48.783566
1696391711.445,44.313132
1696391721.445,35.001111
1696391731.445,45.099106
1696391741.445,71.098297
1696391751.446,34.298364
1696391761.445,34.301564
1696391771.446,39.898415
1696391781.446,65.899436
1696391791.445,43.204832
1696391801.445,27.398235
1696391811.445,45.501012
1696391821.445,71.099622
1696391831.446,53.796611
1696391841.445,48.705477
1696391851.445,19.998664
1696391861.445,30.801709
1696391871.445,40.698609
1696391881.445,84.803632
1696391891.450,47.273293
1696391901.445,10.105310
1696391911.445,39.399972
1696391921.445,22.300423
1696391931.445,35.100300
1696391941.446,2.999716
1696391951.445,14.600814
1696391961.445,2.800120
1696391971.445,0.099997
1696391981.445,30.099800
1696391991.445,48.800011
1696392001.445,21.100046
1696392011.445,11.400138
1696392021.445,27.099535
1696392031.445,42.800210
1696392041.446,41.597216
1696392051.445,53.402918
1696392061.445,56.503305
1696392071.445,49.199691
1696392081.445,60.696675
1696392091.444,19.401342
1696392101.444,97.701136
1696392111.444,96.598722
1696392121.444,89.699922
1696392131.444,99.099646
1696392141.444,99.100522
1696392151.444,96.499653
1696392161.444,99.000132
1696392171.444,99.300634
1696392181.444,96.699715
1696392191.445,99.192533
1696392201.444,99.106928
1696392211.445,89.793466
1696392221.444,98.107171
1696392231.445,97.393403
1696392241.445,93.000110
1696392251.444,98.807200
1696392261.446,99.184141
1696392271.444,96.814704
1696392281.444,99.100186
1696392291.445,98.992609
1696392301.445,97.200469
1696392311.444,98.807648
1696392321.445,99.092056
1696392331.445,98.204832
1696392341.445,95.597214
1696392351.444,96.305675
1696392361.444,97.299348
1696392371.445,88.993175
1696392381.444,98.807905
1696392391.445,98.998643
1696392401.444,94.001738
1696392411.444,99.099932
1696392421.445,98.698221
1696392431.445,97.293752
1696392441.444,98.907542
1696392451.444,99.300092
1696392461.445,95.993550
1696392471.444,96.306285
1696392481.444,97.400373
1696392491.444,91.200484
1696392501.445,99.198116
1696392511.445,99.000591
1696392521.444,97.100203
1696392531.445,99.299425
1696392541.445,99.099977
1696392551.445,91.394326
1696392561.444,99.007914
1696392571.445,98.691382
1696392581.445,92.900745
1696392591.444,98.506756
1696392601.444,96.701017
1696392611.445,97.990411
1696392621.445,97.001328
1696392631.444,99.107181
1696392641.444,99.000842
1696392651.445,90.197107
1696392661.444,99.002525
1696392671.445,98.999509
1696392681.445,89.599964
1696392691.445,98.893541
1696392701.444,96.507935
1696392711.445,89.592645
1696392721.444,97.606774
1696392731.445,98.692881
1696392741.445,89.806243
1696392751.445,98.798957
1696392761.445,98.700414
1696392771.445,94.800492
1696392781.445,98.300069
1696392791.445,98.899090
1696392801.445,97.300969
1696392811.444,99.200337
1696392821.444,96.700794
1696392831.444,87.299525
1696392841.444,97.599716
1696392851.445,98.699625
1696392861.444,96.700347
1696392871.444,98.700169
