epoch,value
1696389211.485,161206272.000000
1696389221.451,159756288.000000
1696389231.451,159412224.000000
1696389241.452,160002048.000000
1696389251.452,160002048.000000
1696389261.453,160002048.000000
1696389271.451,160129024.000000
1696389281.451,160129024.000000
1696389291.452,160129024.000000
1696389301.453,160129024.000000
1696389311.452,160129024.000000
1696389321.452,160129024.000000
1696389331.451,156610560.000000
1696389341.452,159227904.000000
1696389351.455,159195136.000000
1696389361.451,159768576.000000
1696389371.452,159895552.000000
1696389381.451,159895552.000000
1696389391.452,159895552.000000
1696389401.453,160014336.000000
1696389411.451,159887360.000000
1696389421.453,159887360.000000
1696389431.451,160014336.000000
1696389441.451,160014336.000000
1696389451.451,160014336.000000
1696389461.452,158781440.000000
1696389471.451,159375360.000000
1696389481.453,159055872.000000
1696389491.453,159662080.000000
1696389501.451,159662080.000000
1696389511.452,159662080.000000
1696389521.454,122130432.000000
1696389531.453,67149824.000000
1696389541.455,59547648.000000
1696389551.455,58912768.000000
1696389561.454,68308992.000000
1696389571.456,60690432.000000
1696389581.451,57782272.000000
1696389591.456,70131712.000000
1696389601.451,64241664.000000
1696389611.466,58871808.000000
1696389621.457,58355712.000000
1696389631.451,71053312.000000
1696389641.451,64323584.000000
1696389651.457,59244544.000000
1696389661.458,59244544.000000
1696389671.462,68386816.000000
1696389681.470,62291968.000000
1696389691.455,59371520.000000
1696389701.451,71319552.000000
1696389711.457,65335296.000000
1696389721.453,59543552.000000
1696389731.456,154365952.000000
1696389741.451,68947968.000000
1696389751.451,64122880.000000
1696389761.451,59170816.000000
1696389771.452,121061376.000000
1696389781.453,67178496.000000
1696389791.451,60067840.000000
1696389801.451,59052032.000000
1696389811.452,69963776.000000
1696389821.452,62398464.000000
1696389831.451,58183680.000000
1696389841.452,119336960.000000
1696389851.454,66732032.000000
1696389861.453,60002304.000000
1696389871.451,58605568.000000
1696389881.451,159244288.000000
1696389891.451,159244288.000000
1696389901.451,159371264.000000
1696389911.451,159371264.000000
1696389921.451,159379456.000000
1696389931.454,159506432.000000
1696389941.452,158662656.000000
1696389951.453,158932992.000000
1696389961.452,158478336.000000
1696389971.451,159346688.000000
1696389981.455,159346688.000000
1696389991.454,159272960.000000
1696390001.451,159346688.000000
1696390011.455,159354880.000000
1696390021.471,159203328.000000
1696390031.453,159227904.000000
1696390041.455,159227904.000000
1696390051.456,159227904.000000
1696390061.451,158797824.000000
1696390071.453,158748672.000000
1696390081.453,159068160.000000
1696390091.451,159449088.000000
1696390101.451,159449088.000000
1696390111.451,159449088.000000
1696390121.452,159322112.000000
1696390131.451,147185664.000000
1696390141.462,143892480.000000
1696390151.457,143114240.000000
1696390161.451,143114240.000000
1696390171.456,143114240.000000
1696390181.461,141824000.000000
1696390191.460,142331904.000000
1696390201.457,142196736.000000
1696390211.455,142880768.000000
1696390221.452,142913536.000000
1696390231.456,142913536.000000
1696390241.460,140046336.000000
1696390251.462,142532608.000000
1696390261.459,142532608.000000
1696390271.451,142532608.000000
1696390281.453,142659584.000000
1696390291.452,142659584.000000
1696390301.453,142331904.000000
1696390311.451,142155776.000000
1696390321.452,142594048.000000
1696390331.452,142594048.000000
1696390341.451,142721024.000000
1696390351.455,142721024.000000
1696390361.452,142721024.000000
1696390371.452,142467072.000000
1696390381.453,142467072.000000
1696390391.452,142467072.000000
1696390401.452,142340096.000000
1696390411.454,142340096.000000
1696390421.465,141733888.000000
1696390431.462,139825152.000000
1696390441.458,142225408.000000
1696390451.454,142225408.000000
1696390461.453,142233600.000000
1696390471.459,142106624.000000
1696390481.451,142106624.000000
1696390491.452,142114816.000000
1696390501.456,141996032.000000
1696390511.451,141996032.000000
1696390521.451,141996032.000000
1696390531.451,141996032.000000
1696390541.451,141635584.000000
1696390551.458,141787136.000000
1696390561.451,141062144.000000
1696390571.462,141778944.000000
1696390581.452,141778944.000000
1696390591.453,137498624.000000
1696390601.455,141930496.000000
1696390611.451,141930496.000000
1696390621.451,148025344.000000
1696390631.456,144461824.000000
1696390641.451,142811136.000000
1696390651.452,142684160.000000
1696390661.455,141459456.000000
1696390671.454,141385728.000000
1696390681.452,141664256.000000
1696390691.456,142110720.000000
1696390701.459,142110720.000000
1696390711.454,142110720.000000
1696390721.451,141729792.000000
1696390731.453,141729792.000000
1696390741.451,141729792.000000
1696390751.451,141856768.000000
1696390761.451,141856768.000000
1696390771.451,141864960.000000
1696390781.462,138510336.000000
1696390791.451,141369344.000000
1696390801.451,141529088.000000
1696390811.456,141529088.000000
1696390821.457,141918208.000000
1696390831.451,141918208.000000
1696390841.453,141918208.000000
1696390851.452,141656064.000000
1696390861.453,141656064.000000
1696390871.458,141656064.000000
1696390881.451,141537280.000000
1696390891.452,141537280.000000
1696390901.459,141574144.000000
1696390911.453,141127680.000000
1696390921.453,141094912.000000
1696390931.451,141320192.000000
1696390941.454,141320192.000000
1696390951.452,141320192.000000
1696390961.452,141320192.000000
1696390971.452,141320192.000000
1696390981.457,141193216.000000
1696390991.451,141193216.000000
1696391001.451,141193216.000000
1696391011.451,141193216.000000
1696391021.451,140984320.000000
1696391031.455,140984320.000000
1696391041.451,140824576.000000
1696391051.455,141692928.000000
1696391061.451,141692928.000000
1696391071.452,141185024.000000
1696391081.452,141185024.000000
1696391091.451,141193216.000000
1696391101.452,141193216.000000
1696391111.451,141193216.000000
1696391121.451,145637376.000000
1696391131.454,137547776.000000
1696391141.452,141262848.000000
1696391151.452,141205504.000000
1696391161.457,141541376.000000
1696391171.462,141144064.000000
1696391181.451,141144064.000000
1696391191.451,141144064.000000
1696391201.452,141778944.000000
1696391211.453,141778944.000000
1696391221.451,141651968.000000
1696391231.456,141025280.000000
1696391241.451,141025280.000000
1696391251.452,141025280.000000
1696391261.453,140283904.000000
1696391271.454,141139968.000000
1696391281.452,141340672.000000
1696391291.453,141205504.000000
1696391301.451,141205504.000000
1696391311.451,141205504.000000
1696391321.481,138067968.000000
1696391331.468,141086720.000000
1696391341.453,141094912.000000
1696391351.453,141094912.000000
1696391361.453,141086720.000000
1696391371.452,141086720.000000
1696391381.458,140726272.000000
1696391391.452,140726272.000000
1696391401.452,140734464.000000
1696391411.451,141053952.000000
1696391421.458,141045760.000000
1696391431.455,141045760.000000
1696391441.451,141045760.000000
1696391451.452,141307904.000000
1696391461.457,141307904.000000
1696391471.462,141316096.000000
1696391481.453,141307904.000000
1696391491.451,141307904.000000
1696391501.453,140980224.000000
1696391511.451,137216000.000000
1696391521.451,140845056.000000
1696391531.451,140894208.000000
1696391541.455,140894208.000000
1696391551.455,140894208.000000
1696391561.458,140894208.000000
1696391571.455,140894208.000000
1696391581.455,141275136.000000
1696391591.452,141275136.000000
1696391601.452,156700672.000000
1696391611.453,144449536.000000
1696391621.453,140914688.000000
1696391631.451,140976128.000000
1696391641.455,140861440.000000
1696391651.452,140922880.000000
1696391661.454,140922880.000000
1696391671.452,140787712.000000
1696391681.457,140795904.000000
1696391691.452,140804096.000000
1696391701.453,138944512.000000
1696391711.455,141176832.000000
1696391721.451,141176832.000000
1696391731.452,141176832.000000
1696391741.451,140333056.000000
1696391751.451,140341248.000000
1696391761.464,140189696.000000
1696391771.451,140627968.000000
1696391781.451,140627968.000000
1696391791.451,140636160.000000
1696391801.452,140771328.000000
1696391811.453,140771328.000000
1696391821.453,140771328.000000
1696391831.452,140644352.000000
1696391841.454,140644352.000000
1696391851.458,140644352.000000
1696391861.451,139632640.000000
1696391871.456,140402688.000000
1696391881.451,140578816.000000
1696391891.461,140578816.000000
1696391901.455,140570624.000000
1696391911.455,140570624.000000
1696391921.452,140570624.000000
1696391931.451,140443648.000000
1696391941.452,140443648.000000
1696391951.452,140443648.000000
1696391961.454,140316672.000000
1696391971.459,140316672.000000
1696391981.452,139898880.000000
1696391991.452,139984896.000000
1696392001.452,140210176.000000
1696392011.452,140218368.000000
1696392021.457,140226560.000000
1696392031.453,140226560.000000
1696392041.451,140226560.000000
1696392051.456,136843264.000000
1696392061.452,140734464.000000
1696392071.453,140734464.000000
1696392081.457,140734464.000000
1696392091.452,157130752.000000
1696392101.451,157097984.000000
1696392111.451,156835840.000000
1696392121.452,156667904.000000
1696392131.452,157147136.000000
1696392141.453,157147136.000000
1696392151.452,157401088.000000
1696392161.451,157401088.000000
1696392171.453,157401088.000000
1696392181.453,157401088.000000
1696392191.452,157401088.000000
1696392201.451,157409280.000000
1696392211.452,157409280.000000
1696392221.454,156938240.000000
1696392231.452,156516352.000000
1696392241.451,156205056.000000
1696392251.453,156700672.000000
1696392261.452,156700672.000000
1696392271.453,157216768.000000
1696392281.452,157216768.000000
1696392291.451,157216768.000000
1696392301.451,157216768.000000
1696392311.457,157216768.000000
1696392321.452,157216768.000000
1696392331.453,155848704.000000
1696392341.453,156594176.000000
1696392351.457,156520448.000000
1696392361.455,156831744.000000
1696392371.452,157085696.000000
1696392381.451,157085696.000000
1696392391.451,157102080.000000
1696392401.452,157093888.000000
1696392411.452,157093888.000000
1696392421.452,157093888.000000
1696392431.451,157085696.000000
1696392441.451,157085696.000000
1696392451.454,157085696.000000
1696392461.451,156225536.000000
1696392471.453,156319744.000000
1696392481.453,156413952.000000
1696392491.451,157011968.000000
1696392501.452,157011968.000000
1696392511.452,157011968.000000
1696392521.454,157020160.000000
1696392531.452,157020160.000000
1696392541.451,157020160.000000
1696392551.452,156758016.000000
1696392561.452,156758016.000000
1696392571.451,156758016.000000
1696392581.452,156033024.000000
1696392591.452,156184576.000000
1696392601.452,156446720.000000
1696392611.458,154288128.000000
1696392621.452,156766208.000000
1696392631.459,156766208.000000
1696392641.452,156766208.000000
1696392651.455,156639232.000000
1696392661.451,156639232.000000
1696392671.454,156639232.000000
1696392681.453,156766208.000000
1696392691.453,156766208.000000
1696392701.451,156319744.000000
1696392711.452,156008448.000000
1696392721.455,156487680.000000
1696392731.452,156495872.000000
1696392741.452,156741632.000000
1696392751.451,156741632.000000
1696392761.452,156741632.000000
1696392771.452,156733440.000000
1696392781.452,156733440.000000
1696392791.452,156733440.000000
1696392801.452,156741632.000000
1696392811.451,156614656.000000
1696392821.457,156303360.000000
1696392831.451,155619328.000000
1696392841.451,156741632.000000
1696392851.454,156741632.000000
1696392861.451,156614656.000000
1696392871.452,156598272.000000
