epoch,value
1696385110.965,nan
1696385120.964,96.700822
1696385130.964,99.001146
1696385140.964,97.900639
1696385150.964,87.098930
1696385160.964,96.999822
1696385170.965,98.598391
1696385180.967,98.776050
1696385190.964,96.924657
1696385200.965,98.592765
1696385210.964,98.907207
1696385220.964,90.000765
1696385230.965,98.998206
1696385240.965,98.793695
1696385250.964,96.107240
1696385260.964,97.700781
1696385270.965,96.092238
1696385280.964,94.607272
1696385290.965,98.592607
1696385300.964,99.106996
1696385310.965,96.692987
1696385320.965,98.900000
1696385330.965,99.106955
1696385340.964,93.100266
1696385350.965,98.992166
1696385360.965,69.701991
1696385370.965,37.299486
1696385380.965,27.801195
1696385390.964,56.901772
1696385400.965,94.292147
1696385410.964,99.107900
1696385420.964,99.200131
1696385430.965,91.591971
1696385440.965,96.807344
1696385450.964,98.800294
1696385460.965,99.099463
1696385470.964,92.100526
1696385480.964,98.999992
1696385490.964,99.000740
1696385500.966,95.589453
1696385510.964,95.809823
1696385520.964,97.099975
1696385530.965,93.993287
1696385540.964,99.007970
1696385550.965,99.192172
1696385560.965,96.906054
1696385570.964,99.200865
1696385580.964,99.299950
1696385590.964,89.600613
1696385600.965,99.098633
1696385610.964,99.001365
1696385620.964,89.399983
1696385630.966,54.493915
1696385640.964,45.704761
1696385650.965,5.899896
1696385660.965,43.199995
1696385670.965,91.395209
1696385680.965,90.103313
1696385690.964,99.104286
1696385700.965,99.298928
1696385710.964,89.900619
1696385720.965,99.198035
1696385730.965,99.301237
1696385740.965,97.396479
1696385750.964,88.003862
1696385760.964,96.901303
1696385770.965,98.991449
1696385780.964,96.806445
1696385790.965,99.099445
1696385800.964,99.001418
1696385810.965,96.798303
1696385820.964,98.901767
1696385830.965,98.898543
1696385840.964,96.800502
1696385850.965,98.899401
1696385860.965,97.195805
1696385870.965,87.798920
1696385880.964,97.406692
1696385890.965,99.098928
1696385900.964,93.300379
1696385910.965,98.395651
1696385920.965,50.799448
1696385930.966,15.499150
1696385940.965,1.700113
1696385950.966,21.098539
1696385960.966,7.099940
1696385970.965,0.100012
1696385980.965,9.199614
1696385990.966,0.599928
1696386000.965,51.805967
1696386010.965,8.600397
1696386020.965,23.100061
1696386030.966,40.695450
1696386040.965,2.500225
1696386050.966,23.197943
1696386060.965,10.701032
1696386070.966,8.299216
1696386080.965,20.602086
1696386090.966,21.497599
1696386100.965,23.302729
1696386110.966,15.998171
1696386120.966,52.400079
1696386130.965,47.302114
1696386140.965,51.003227
1696386150.972,44.168200
1696386160.965,62.544772
1696386170.965,20.599030
1696386180.965,24.201370
1696386190.965,21.399634
1696386200.965,78.798406
1696386210.965,68.602127
1696386220.965,34.098717
1696386230.965,55.802151
1696386240.965,47.098722
1696386250.964,67.902534
1696386260.965,59.298277
1696386270.965,84.199720
1696386280.965,60.198204
1696386290.965,88.603520
1696386300.965,87.798028
1696386310.965,81.099678
1696386320.965,95.203007
1696386330.965,68.699554
1696386340.965,37.198895
1696386350.965,61.101055
1696386360.965,55.599534
1696386370.965,84.299997
1696386380.965,47.699657
1696386390.965,71.799948
1696386400.964,96.405193
1696386410.964,85.200671
1696386420.964,98.999318
1696386430.965,99.392479
1696386440.964,89.907217
1696386450.965,99.099119
1696386460.964,96.500317
1696386470.964,90.200365
1696386480.964,96.700518
1696386490.965,99.098639
1696386500.965,94.193771
1696386510.964,99.006913
1696386520.965,99.092914
1696386530.965,89.505335
1696386540.964,98.701890
1696386550.965,98.598951
1696386560.964,96.101077
1696386570.964,98.799557
1696386580.964,97.599971
1696386590.964,89.299823
1696386600.965,96.693604
1696386610.964,98.806419
1696386620.965,96.897116
1696386630.965,93.802438
1696386640.964,99.301269
1696386650.965,86.097814
1696386660.965,61.097802
1696386670.965,74.100334
1696386680.965,47.801850
1696386690.965,62.199545
1696386700.965,63.999918
1696386710.965,41.699034
1696386720.965,65.100249
1696386730.965,39.598579
1696386740.965,74.904489
1696386750.965,55.199610
1696386760.966,48.195639
1696386770.965,63.303475
1696386780.965,68.502963
1696386790.966,56.494212
1696386800.965,73.804612
1696386810.965,43.599750
1696386820.965,73.003454
1696386830.965,53.299060
1696386840.966,52.295453
1696386850.965,73.008192
1696386860.966,81.584138
1696386870.965,89.216075
1696386880.965,61.796674
1696386890.965,68.703399
1696386900.965,88.097387
1696386910.965,64.602372
1696386920.965,88.196961
1696386930.965,90.103055
1696386940.965,59.900756
1696386950.965,86.997014
1696386960.966,51.295882
1696386970.965,67.206891
1696386980.965,97.799258
1696386990.965,69.600062
1696387000.965,79.596653
1696387010.966,75.195779
1696387020.965,88.808177
1696387030.965,78.597043
1696387040.965,79.798640
1696387050.965,77.303097
1696387060.965,84.198773
1696387070.966,75.995917
1696387080.965,85.805573
1696387090.965,90.302609
1696387100.965,60.699007
1696387110.965,89.800730
1696387120.965,69.696828
1696387130.965,81.305221
1696387140.965,98.800463
1696387150.965,98.992013
1696387160.964,95.107855
1696387170.965,98.792586
1696387180.965,97.206438
1696387190.965,93.794165
1696387200.964,97.307524
1696387210.965,98.997280
1696387220.965,96.399660
1696387230.965,91.602004
1696387240.965,98.892661
1696387250.964,98.807703
1696387260.965,89.492847
1696387270.965,98.800600
1696387280.965,99.006869
1696387290.965,89.793035
1696387300.964,97.408113
1696387310.965,96.293293
1696387320.965,95.099977
1696387330.964,99.106669
1696387340.965,98.999412
1696387350.965,89.793938
1696387360.965,98.906809
1696387370.965,98.900041
1696387380.965,90.100032
1696387390.964,98.800408
1696387400.964,98.801029
1696387410.964,96.599148
1696387420.965,97.590776
