epoch,value
1696385110.964,nan
1696385120.964,1.100011
1696385130.964,0.200002
1696385140.964,0.900005
1696385150.964,3.499961
1696385160.964,1.000012
1696385170.964,0.399997
1696385180.966,0.499912
1696385190.964,1.000169
1696385200.964,0.400003
1696385210.964,0.199998
1696385220.964,1.900015
1696385230.964,0.399997
1696385240.965,0.399969
1696385250.964,1.700132
1696385260.964,0.900006
1696385270.964,1.600004
1696385280.964,2.199986
1696385290.965,0.799937
1696385300.964,0.200015
1696385310.964,1.200009
1696385320.964,0.300001
1696385330.964,0.000000
1696385340.964,1.600015
1696385350.964,0.399999
1696385360.965,3.299891
1696385370.965,0.899992
1696385380.964,0.600009
1696385390.964,1.900052
1696385400.964,2.099998
1696385410.964,0.600000
1696385420.964,0.100000
1696385430.965,1.899884
1696385440.964,0.700044
1696385450.964,0.499995
1696385460.964,0.299998
1696385470.964,2.100008
1696385480.964,0.100000
1696385490.964,0.500004
1696385500.965,1.999779
1696385510.964,1.600166
1696385520.964,1.000000
1696385530.964,1.100008
1696385540.964,0.600000
1696385550.964,0.300001
1696385560.964,1.100001
1696385570.964,0.400000
1696385580.964,0.199998
1696385590.964,1.900014
1696385600.964,0.199998
1696385610.964,0.400006
1696385620.964,2.399998
1696385630.964,5.099938
1696385640.964,2.300011
1696385650.964,1.899961
1696385660.964,0.700002
1696385670.964,1.100028
1696385680.964,1.999999
1696385690.964,0.300001
1696385700.964,0.299997
1696385710.964,1.600008
1696385720.964,0.400000
1696385730.964,0.300002
1696385740.965,0.699966
1696385750.964,3.700154
1696385760.964,1.500020
1696385770.964,0.399996
1696385780.964,0.899992
1696385790.964,0.199999
1696385800.964,0.500007
1696385810.964,0.999996
1696385820.964,0.500002
1696385830.964,0.599990
1696385840.964,1.300006
1696385850.964,0.399998
1696385860.965,1.099972
1696385870.964,3.000158
1696385880.964,0.999985
1696385890.964,0.300002
1696385900.964,1.699981
1696385910.965,0.799964
1696385920.965,0.799990
1696385930.964,2.400126
1696385940.965,0.599984
1696385950.964,0.400012
1696385960.964,3.799994
1696385970.964,0.699998
1696385980.965,0.499980
1696385990.965,0.999995
1696386000.965,4.200074
1696386010.964,0.200006
1696386020.964,0.700002
1696386030.964,2.699996
1696386040.965,0.399992
1696386050.964,0.600013
1696386060.964,2.299968
1696386070.964,0.500009
1696386080.964,0.899991
1696386090.964,1.500007
1696386100.964,1.000000
1696386110.964,1.400001
1696386120.964,1.700000
1696386130.965,1.199966
1696386140.964,1.200026
1696386150.972,0.699496
1696386160.964,1.100788
1696386170.965,0.899958
1696386180.964,0.900051
1696386190.964,0.600002
1696386200.965,0.499988
1696386210.964,0.400010
1696386220.965,1.499926
1696386230.964,0.700034
1696386240.965,1.199956
1696386250.964,0.900035
1696386260.964,0.699997
1696386270.965,0.799980
1696386280.965,1.299997
1696386290.964,0.800023
1696386300.965,1.299944
1696386310.965,1.199997
1696386320.964,1.100033
1696386330.965,0.599994
1696386340.965,2.899947
1696386350.965,3.800032
1696386360.965,2.099985
1696386370.965,0.899999
1696386380.965,0.499997
1696386390.965,0.400007
1696386400.964,0.300010
1696386410.964,1.500011
1696386420.964,0.300001
1696386430.964,0.199999
1696386440.964,1.800003
1696386450.964,0.200001
1696386460.964,1.299984
1696386470.964,2.000009
1696386480.964,1.500005
1696386490.964,0.499995
1696386500.964,1.500012
1696386510.964,0.000000
1696386520.964,0.500004
1696386530.964,1.799962
1696386540.964,0.200004
1696386550.964,0.300000
1696386560.964,0.999998
1696386570.964,0.499999
1696386580.964,0.999997
1696386590.964,1.899999
1696386600.964,1.200014
1696386610.964,0.399995
1696386620.964,0.599990
1696386630.964,1.200033
1696386640.964,0.100000
1696386650.964,0.699982
1696386660.965,4.399947
1696386670.965,0.899983
1696386680.964,0.400015
1696386690.964,2.499982
1696386700.964,1.699999
1696386710.965,3.599917
1696386720.965,4.500018
1696386730.965,0.600001
1696386740.964,0.600013
1696386750.965,3.299978
1696386760.964,0.500008
1696386770.965,0.699982
1696386780.964,3.500110
1696386790.964,0.799995
1696386800.965,0.599986
1696386810.965,2.899926
1696386820.964,2.700118
1696386830.964,3.900013
1696386840.964,2.400005
1696386850.964,1.800002
1696386860.964,0.299997
1696386870.964,0.899997
1696386880.965,0.499991
1696386890.965,0.700010
1696386900.965,0.799996
1696386910.964,3.600087
1696386920.965,0.599984
1696386930.964,0.400006
1696386940.964,3.900036
1696386950.965,3.199933
1696386960.964,2.200044
1696386970.964,3.699978
1696386980.964,0.699994
1696386990.964,0.300000
1696387000.965,2.299902
1696387010.964,2.600152
1696387020.965,0.699984
1696387030.965,0.699992
1696387040.965,4.199814
1696387050.965,0.800034
1696387060.965,1.400007
1696387070.965,4.799642
1696387080.965,2.400158
1696387090.964,0.900025
1696387100.965,1.199985
1696387110.965,0.800004
1696387120.965,0.399996
1696387130.964,1.800052
1696387140.964,0.200003
1696387150.964,0.599994
1696387160.964,1.300014
1696387170.965,0.599948
1696387180.964,1.500130
1696387190.964,1.999995
1696387200.964,0.999998
1696387210.965,0.599983
1696387220.965,1.299999
1696387230.964,1.100024
1696387240.965,0.299977
1696387250.964,0.200016
1696387260.965,2.299816
1696387270.964,0.600053
1696387280.964,0.199998
1696387290.965,1.499879
1696387300.964,1.000099
1696387310.965,1.499870
1696387320.964,1.600127
1696387330.964,0.199998
1696387340.964,0.399999
1696387350.964,1.800021
1696387360.964,0.399995
1696387370.964,0.300004
1696387380.964,1.399980
1696387390.964,0.200001
1696387400.964,0.200002
1696387410.964,1.499988
1696387420.964,1.100015
