epoch,value
1696385110.964,nan
1696385120.964,2.200012
1696385130.964,0.800000
1696385140.964,1.200005
1696385150.964,9.399984
1696385160.964,2.000004
1696385170.964,0.999995
1696385180.966,0.699876
1696385190.964,2.100372
1696385200.964,0.999999
1696385210.964,0.900001
1696385220.964,8.099998
1696385230.964,0.599997
1696385240.964,0.800003
1696385250.964,2.200004
1696385260.964,1.400009
1696385270.964,2.299986
1696385280.964,3.200011
1696385290.964,0.599998
1696385300.964,0.700000
1696385310.964,2.100001
1696385320.964,0.800001
1696385330.964,0.900001
1696385340.964,5.299993
1696385350.964,0.600000
1696385360.964,26.999108
1696385370.965,61.799573
1696385380.964,71.601935
1696385390.964,41.200730
1696385400.964,3.599983
1696385410.964,0.300000
1696385420.964,0.700000
1696385430.965,6.499630
1696385440.964,2.500141
1696385450.964,0.700001
1696385460.964,0.600000
1696385470.964,5.799995
1696385480.964,0.900001
1696385490.964,0.499999
1696385500.964,2.400010
1696385510.964,2.600002
1696385520.964,1.899986
1696385530.964,4.900013
1696385540.964,0.400000
1696385550.964,0.500001
1696385560.964,1.999999
1696385570.964,0.400000
1696385580.964,0.499999
1696385590.964,8.500004
1696385600.964,0.599999
1696385610.964,0.600001
1696385620.964,8.200055
1696385630.964,40.399295
1696385640.964,52.000108
1696385650.964,92.199774
1696385660.964,56.100055
1696385670.964,7.500079
1696385680.964,7.900017
1696385690.964,0.599998
1696385700.964,0.400001
1696385710.964,8.500036
1696385720.964,0.399998
1696385730.964,0.400000
1696385740.964,1.899932
1696385750.964,8.300324
1696385760.964,1.600019
1696385770.964,0.599990
1696385780.964,2.299997
1696385790.964,0.700001
1696385800.964,0.500000
1696385810.964,2.199993
1696385820.964,0.600001
1696385830.964,0.500000
1696385840.964,1.899998
1696385850.964,0.700001
1696385860.965,1.699931
1696385870.964,9.200469
1696385880.964,1.499984
1696385890.964,0.600001
1696385900.964,5.000001
1696385910.965,0.799965
1696385920.965,48.400124
1696385930.964,82.102252
1696385940.965,97.697384
1696385950.964,78.502316
1696385960.964,89.099815
1696385970.964,99.199734
1696385980.965,90.297848
1696385990.965,98.397947
1696386000.965,44.000772
1696386010.964,91.202594
1696386020.964,76.200070
1696386030.964,56.600007
1696386040.964,97.099994
1696386050.964,76.200000
1696386060.964,87.000005
1696386070.964,91.200274
1696386080.964,78.499705
1696386090.964,76.999862
1696386100.964,75.700045
1696386110.964,82.600035
1696386120.964,45.899991
1696386130.965,51.498572
1696386140.964,47.801461
1696386150.965,55.097421
1696386160.964,36.401685
1696386170.965,78.497657
1696386180.964,74.802024
1696386190.964,78.000099
1696386200.965,20.699495
1696386210.964,31.000786
1696386220.965,64.398168
1696386230.964,43.501223
1696386240.965,51.698450
1696386250.964,31.201003
1696386260.964,39.999945
1696386270.965,14.999568
1696386280.964,38.500144
1696386290.964,10.600262
1696386300.965,10.899684
1696386310.965,17.699990
1696386320.964,3.700104
1696386330.965,30.699237
1696386340.965,59.899231
1696386350.965,35.100216
1696386360.964,42.300366
1696386370.965,14.799964
1696386380.965,51.799852
1696386390.965,27.799996
1696386400.964,3.300116
1696386410.964,13.300094
1696386420.964,0.700000
1696386430.964,0.399999
1696386440.964,8.300017
1696386450.964,0.700001
1696386460.964,2.200001
1696386470.964,7.800031
1696386480.964,1.800002
1696386490.964,0.399997
1696386500.964,4.300003
1696386510.964,1.000001
1696386520.964,0.400000
1696386530.964,8.699979
1696386540.964,1.100003
1696386550.964,1.100000
1696386560.964,2.900001
1696386570.964,0.699999
1696386580.964,1.400006
1696386590.964,8.800001
1696386600.964,2.100002
1696386610.964,0.799997
1696386620.964,2.499961
1696386630.964,5.000068
1696386640.964,0.600001
1696386650.964,13.199843
1696386660.965,34.499069
1696386670.965,24.999954
1696386680.964,51.801548
1696386690.964,35.299952
1696386700.964,34.300027
1696386710.964,54.698643
1696386720.965,30.399740
1696386730.965,59.800157
1696386740.964,24.500762
1696386750.964,41.499883
1696386760.964,51.300077
1696386770.965,35.999087
1696386780.964,28.000741
1696386790.964,42.699910
1696386800.965,25.599332
1696386810.965,53.499335
1696386820.964,24.301000
1696386830.964,42.799769
1696386840.964,45.300055
1696386850.964,25.199996
1696386860.964,18.100046
1696386870.964,9.900004
1696386880.965,37.698844
1696386890.964,30.600895
1696386900.965,11.099732
1696386910.964,31.800762
1696386920.965,11.199709
1696386930.964,9.500227
1696386940.964,36.200103
1696386950.964,9.799814
1696386960.964,46.500840
1696386970.964,29.100028
1696386980.964,1.500002
1696386990.964,30.099991
1696387000.965,18.099190
1696387010.964,22.200989
1696387020.964,10.499749
1696387030.965,20.699844
1696387040.965,15.999491
1696387050.964,21.900909
1696387060.965,14.399845
1696387070.964,19.100717
1696387080.965,11.699603
1696387090.964,8.800269
1696387100.965,38.098914
1696387110.964,9.400236
1696387120.965,29.899176
1696387130.964,16.900691
1696387140.964,1.000000
1696387150.964,0.400000
1696387160.964,3.600008
1696387170.964,0.599999
1696387180.964,1.300006
1696387190.964,4.199992
1696387200.964,1.700001
1696387210.964,0.399997
1696387220.964,2.299980
1696387230.964,7.300098
1696387240.964,0.799999
1696387250.964,1.000003
1696387260.964,8.199988
1696387270.964,0.600000
1696387280.964,0.800000
1696387290.964,8.699970
1696387300.964,1.600015
1696387310.964,2.199998
1696387320.964,3.299991
1696387330.964,0.700000
1696387340.964,0.599999
1696387350.964,8.399998
1696387360.964,0.700000
1696387370.964,0.800000
1696387380.964,8.499999
1696387390.964,1.000000
1696387400.964,1.000000
1696387410.964,1.900002
1696387420.964,1.300009
