epoch,shortterm,midterm,longterm
1696385101.012,0.070000,0.140000,0.200000
1696385110.974,0.060000,0.140000,0.200000
1696385120.974,0.050000,0.130000,0.200000
1696385130.974,0.040000,0.130000,0.190000
1696385140.974,0.040000,0.120000,0.190000
1696385150.974,0.030000,0.120000,0.190000
1696385160.973,0.020000,0.110000,0.180000
1696385170.973,0.020000,0.110000,0.180000
1696385180.974,0.020000,0.100000,0.180000
1696385190.973,0.010000,0.100000,0.180000
1696385200.976,0.010000,0.100000,0.180000
1696385210.974,0.010000,0.090000,0.170000
1696385220.974,0.010000,0.090000,0.170000
1696385230.974,0.010000,0.090000,0.170000
1696385240.973,0.000000,0.080000,0.170000
1696385250.974,0.150000,0.110000,0.180000
1696385260.974,0.130000,0.110000,0.170000
1696385270.975,0.270000,0.140000,0.180000
1696385280.974,0.230000,0.130000,0.180000
1696385290.974,0.270000,0.150000,0.180000
1696385300.974,0.220000,0.140000,0.180000
1696385310.974,0.190000,0.140000,0.180000
1696385320.974,0.160000,0.130000,0.180000
1696385330.974,0.130000,0.130000,0.180000
1696385340.973,0.110000,0.120000,0.170000
1696385350.973,0.100000,0.120000,0.170000
1696385360.974,0.230000,0.150000,0.180000
1696385370.974,0.350000,0.180000,0.190000
1696385380.978,0.450000,0.200000,0.200000
1696385390.974,0.460000,0.210000,0.200000
1696385400.973,0.620000,0.260000,0.220000
1696385410.973,0.530000,0.250000,0.210000
1696385420.974,0.440000,0.240000,0.210000
1696385430.974,0.380000,0.230000,0.210000
1696385440.974,0.320000,0.220000,0.200000
1696385450.974,0.270000,0.210000,0.200000
1696385460.974,0.230000,0.210000,0.200000
1696385470.975,0.190000,0.200000,0.200000
1696385480.974,0.160000,0.190000,0.190000
1696385490.973,0.140000,0.190000,0.190000
1696385500.974,0.110000,0.180000,0.190000
1696385510.974,0.100000,0.170000,0.180000
1696385520.974,0.160000,0.180000,0.190000
1696385530.974,0.130000,0.180000,0.180000
1696385540.974,0.110000,0.170000,0.180000
1696385550.974,0.090000,0.160000,0.180000
1696385560.974,0.150000,0.180000,0.180000
1696385570.974,0.130000,0.170000,0.180000
1696385580.974,0.110000,0.160000,0.180000
1696385590.973,0.090000,0.160000,0.180000
1696385600.974,0.080000,0.150000,0.170000
1696385610.973,0.060000,0.150000,0.170000
1696385620.973,0.050000,0.140000,0.170000
1696385630.974,0.130000,0.150000,0.170000
1696385640.974,0.260000,0.180000,0.180000
1696385650.974,0.370000,0.210000,0.190000
1696385660.974,0.470000,0.240000,0.200000
1696385670.974,0.400000,0.230000,0.200000
1696385680.974,0.420000,0.240000,0.200000
1696385690.973,0.350000,0.230000,0.200000
1696385700.974,0.300000,0.220000,0.200000
1696385710.973,0.250000,0.210000,0.190000
1696385720.974,0.210000,0.200000,0.190000
1696385730.974,0.180000,0.200000,0.190000
1696385740.974,0.150000,0.190000,0.180000
1696385750.973,0.130000,0.180000,0.180000
1696385760.973,0.180000,0.190000,0.180000
1696385770.974,0.150000,0.190000,0.180000
1696385780.973,0.130000,0.180000,0.180000
1696385790.974,0.110000,0.170000,0.180000
1696385800.974,0.090000,0.170000,0.180000
1696385810.974,0.080000,0.160000,0.170000
1696385820.973,0.060000,0.160000,0.170000
1696385830.974,0.050000,0.150000,0.170000
1696385840.974,0.190000,0.180000,0.180000
1696385850.974,0.160000,0.170000,0.180000
1696385860.975,0.140000,0.170000,0.180000
1696385870.974,0.120000,0.160000,0.170000
1696385880.974,0.100000,0.150000,0.170000
1696385890.974,0.080000,0.150000,0.170000
1696385900.974,0.070000,0.140000,0.170000
1696385910.974,0.140000,0.150000,0.170000
1696385920.974,0.270000,0.180000,0.180000
1696385930.973,0.380000,0.210000,0.190000
1696385940.974,0.480000,0.240000,0.200000
1696385950.974,0.560000,0.260000,0.210000
1696385960.974,0.790000,0.320000,0.230000
1696385970.974,0.820000,0.340000,0.240000
1696385980.974,0.850000,0.370000,0.250000
1696385990.976,0.870000,0.390000,0.250000
1696386000.974,0.890000,0.410000,0.260000
1696386010.974,0.910000,0.430000,0.270000
1696386020.974,0.920000,0.450000,0.280000
1696386030.974,0.940000,0.470000,0.290000
1696386040.974,0.950000,0.480000,0.300000
1696386050.974,0.950000,0.500000,0.300000
