epoch,value
1696385101.012,134627328.000000
1696385110.976,135041024.000000
1696385120.975,135106560.000000
1696385130.975,135155712.000000
1696385140.977,135155712.000000
1696385150.975,135155712.000000
1696385160.976,135159808.000000
1696385170.975,135159808.000000
1696385180.978,135155712.000000
1696385190.975,135159808.000000
1696385200.975,135163904.000000
1696385210.975,135163904.000000
1696385220.975,135168000.000000
1696385230.975,135168000.000000
1696385240.975,135168000.000000
1696385250.975,135168000.000000
1696385260.976,135168000.000000
1696385270.975,135168000.000000
1696385280.975,135172096.000000
1696385290.975,135172096.000000
1696385300.975,135172096.000000
1696385310.975,135172096.000000
1696385320.975,135172096.000000
1696385330.976,135172096.000000
1696385340.976,135172096.000000
1696385350.976,135172096.000000
1696385360.976,135012352.000000
1696385370.975,135012352.000000
1696385380.977,135012352.000000
1696385390.975,135057408.000000
1696385400.975,135061504.000000
1696385410.975,135061504.000000
1696385420.975,135061504.000000
1696385430.980,135065600.000000
1696385440.976,135061504.000000
1696385450.975,135081984.000000
1696385460.976,135081984.000000
1696385470.975,135065600.000000
1696385480.975,135065600.000000
1696385490.975,135065600.000000
1696385500.975,135065600.000000
1696385510.975,135069696.000000
1696385520.976,135069696.000000
1696385530.976,135069696.000000
1696385540.977,135069696.000000
1696385550.975,135069696.000000
1696385560.978,135069696.000000
1696385570.976,135069696.000000
1696385580.975,135069696.000000
1696385590.975,135069696.000000
1696385600.975,135069696.000000
1696385610.975,135069696.000000
1696385620.975,135069696.000000
1696385630.975,135135232.000000
1696385640.975,135135232.000000
1696385650.976,135135232.000000
1696385660.975,135135232.000000
1696385670.977,135188480.000000
1696385680.975,135188480.000000
1696385690.975,135188480.000000
1696385700.975,135208960.000000
1696385710.976,135188480.000000
1696385720.975,135192576.000000
1696385730.975,135196672.000000
1696385740.975,135196672.000000
1696385750.975,135200768.000000
1696385760.975,135200768.000000
1696385770.976,135200768.000000
1696385780.975,135200768.000000
1696385790.975,135200768.000000
1696385800.975,135200768.000000
1696385810.975,135200768.000000
1696385820.975,135200768.000000
1696385830.976,135204864.000000
1696385840.976,135200768.000000
1696385850.975,135200768.000000
1696385860.981,135200768.000000
1696385870.976,135204864.000000
1696385880.975,135204864.000000
1696385890.976,135204864.000000
1696385900.977,135204864.000000
1696385910.977,135340032.000000
1696385920.976,135340032.000000
1696385930.975,135340032.000000
1696385940.976,135340032.000000
1696385950.975,135340032.000000
1696385960.975,135340032.000000
1696385970.975,135340032.000000
1696385980.975,135348224.000000
1696385990.978,135348224.000000
1696386000.975,135348224.000000
1696386010.975,135352320.000000
1696386020.975,135352320.000000
1696386030.976,135352320.000000
1696386040.975,135352320.000000
1696386050.975,135352320.000000
1696386060.975,135352320.000000
1696386070.975,135352320.000000
1696386080.975,135352320.000000
1696386090.975,135356416.000000
1696386100.975,135360512.000000
1696386110.975,135360512.000000
1696386120.975,135364608.000000
1696386130.980,135364608.000000
1696386140.975,135364608.000000
1696386150.976,135368704.000000
1696386160.975,135364608.000000
1696386170.976,135364608.000000
1696386180.975,135364608.000000
1696386190.975,135364608.000000
1696386200.983,135364608.000000
1696386210.976,135364608.000000
1696386220.975,135368704.000000
1696386230.976,135368704.000000
1696386240.975,135380992.000000
1696386250.975,135385088.000000
1696386260.975,135385088.000000
1696386270.977,135385088.000000
1696386280.979,135385088.000000
1696386290.975,135389184.000000
1696386300.975,135393280.000000
1696386310.984,135397376.000000
1696386320.976,135397376.000000
1696386330.992,135397376.000000
1696386340.975,135401472.000000
1696386350.976,135450624.000000
1696386360.975,135503872.000000
1696386370.977,135503872.000000
1696386380.977,135585792.000000
1696386390.977,135585792.000000
1696386400.975,135585792.000000
1696386410.975,135663616.000000
1696386420.975,135692288.000000
1696386430.976,135692288.000000
1696386440.976,135696384.000000
1696386450.976,135696384.000000
1696386460.985,135696384.000000
1696386470.976,135745536.000000
1696386480.975,135745536.000000
1696386490.979,135749632.000000
1696386500.979,135749632.000000
1696386510.977,135749632.000000
1696386520.976,135749632.000000
1696386530.975,135749632.000000
1696386540.977,135749632.000000
1696386550.976,135749632.000000
1696386560.976,135753728.000000
1696386570.977,135753728.000000
1696386580.975,135753728.000000
1696386590.975,135757824.000000
1696386600.976,135757824.000000
1696386610.976,135737344.000000
1696386620.975,135761920.000000
1696386630.975,135757824.000000
1696386640.976,135757824.000000
1696386650.975,135819264.000000
1696386660.978,135819264.000000
1696386670.978,135819264.000000
1696386680.975,135819264.000000
1696386690.975,135819264.000000
1696386700.975,135819264.000000
1696386710.976,135823360.000000
1696386720.977,135823360.000000
1696386730.980,135823360.000000
1696386740.975,135839744.000000
1696386750.975,135852032.000000
1696386760.975,135852032.000000
1696386770.980,135852032.000000
1696386780.975,135856128.000000
1696386790.975,135864320.000000
1696386800.977,135864320.000000
1696386810.979,136032256.000000
1696386820.977,136077312.000000
1696386830.975,136081408.000000
1696386840.976,136081408.000000
1696386850.976,136081408.000000
1696386860.977,136081408.000000
1696386870.978,136081408.000000
1696386880.979,136081408.000000
1696386890.979,136081408.000000
1696386900.985,136081408.000000
1696386910.985,136081408.000000
1696386920.985,136081408.000000
1696386930.978,136081408.000000
1696386940.980,136085504.000000
1696386950.975,136085504.000000
1696386960.979,136089600.000000
1696386970.978,136093696.000000
1696386980.975,136089600.000000
1696386990.975,136089600.000000
1696387000.975,136093696.000000
1696387010.977,136093696.000000
1696387020.975,136093696.000000
1696387030.975,136093696.000000
1696387040.976,136093696.000000
1696387050.975,136097792.000000
1696387060.975,136097792.000000
1696387070.975,136097792.000000
1696387080.975,136101888.000000
1696387090.975,136101888.000000
1696387100.975,136101888.000000
1696387110.975,136101888.000000
1696387120.976,136101888.000000
1696387130.975,136163328.000000
1696387140.977,136163328.000000
1696387150.975,136163328.000000
1696387160.975,136163328.000000
1696387170.975,136163328.000000
1696387180.975,136163328.000000
1696387190.975,136163328.000000
1696387200.976,136167424.000000
1696387210.975,136167424.000000
1696387220.975,136167424.000000
1696387230.976,136167424.000000
1696387240.975,136167424.000000
1696387250.976,136167424.000000
1696387260.975,136183808.000000
1696387270.975,136183808.000000
1696387280.975,136175616.000000
1696387290.975,136171520.000000
1696387300.975,136171520.000000
1696387310.975,136175616.000000
1696387320.975,136179712.000000
1696387330.975,136155136.000000
1696387340.976,136208384.000000
1696387350.976,136179712.000000
1696387360.977,136159232.000000
1696387370.976,136790016.000000
1696387380.975,136790016.000000
1696387390.975,136790016.000000
1696387400.975,136790016.000000
1696387410.975,136790016.000000
1696387420.975,136790016.000000
