epoch,value
1696385101.012,167542784.000000
1696385110.976,167444480.000000
1696385120.975,166768640.000000
1696385130.975,166760448.000000
1696385140.977,166264832.000000
1696385150.975,165683200.000000
1696385160.976,165851136.000000
1696385170.975,166068224.000000
1696385180.978,166068224.000000
1696385190.975,166703104.000000
1696385200.975,166703104.000000
1696385210.975,166703104.000000
1696385220.975,166576128.000000
1696385230.975,166576128.000000
1696385240.975,166576128.000000
1696385250.975,166449152.000000
1696385260.976,165834752.000000
1696385270.975,165912576.000000
1696385280.975,165601280.000000
1696385290.975,166318080.000000
1696385300.975,166318080.000000
1696385310.975,166318080.000000
1696385320.975,166334464.000000
1696385330.976,166334464.000000
1696385340.976,166199296.000000
1696385350.976,166199296.000000
1696385360.976,76988416.000000
1696385370.975,69877760.000000
1696385380.977,64946176.000000
1696385390.975,165359616.000000
1696385400.975,165924864.000000
1696385410.975,165924864.000000
1696385420.975,165924864.000000
1696385430.980,162533376.000000
1696385440.976,166043648.000000
1696385450.975,166043648.000000
1696385460.976,166051840.000000
1696385470.975,165924864.000000
1696385480.975,165924864.000000
1696385490.975,165924864.000000
1696385500.975,165564416.000000
1696385510.975,165388288.000000
1696385520.976,165588992.000000
1696385530.976,165986304.000000
1696385540.977,165986304.000000
1696385550.975,165986304.000000
1696385560.978,165986304.000000
1696385570.976,165986304.000000
1696385580.975,165986304.000000
1696385590.975,166113280.000000
1696385600.975,166113280.000000
1696385610.975,165986304.000000
1696385620.975,164958208.000000
1696385630.975,77160448.000000
1696385640.975,71008256.000000
1696385650.976,66400256.000000
1696385660.975,65638400.000000
1696385670.977,165593088.000000
1696385680.975,165720064.000000
1696385690.975,165720064.000000
1696385700.975,165720064.000000
1696385710.976,165646336.000000
1696385720.975,165593088.000000
1696385730.975,165593088.000000
1696385740.975,164970496.000000
1696385750.975,165023744.000000
1696385760.975,164990976.000000
1696385770.976,165208064.000000
1696385780.975,165597184.000000
1696385790.975,165597184.000000
1696385800.975,165470208.000000
1696385810.975,165470208.000000
1696385820.975,165470208.000000
1696385830.976,165470208.000000
1696385840.976,165597184.000000
1696385850.975,165597184.000000
1696385860.981,165015552.000000
1696385870.976,164823040.000000
1696385880.975,165371904.000000
1696385890.976,165371904.000000
1696385900.977,165371904.000000
1696385910.977,155062272.000000
1696385920.976,151396352.000000
1696385930.975,149102592.000000
1696385940.976,149102592.000000
1696385950.975,149102592.000000
1696385960.975,149094400.000000
1696385970.975,149094400.000000
1696385980.975,148733952.000000
1696385990.978,144977920.000000
1696386000.975,148160512.000000
1696386010.975,148885504.000000
1696386020.975,148885504.000000
1696386030.976,148512768.000000
1696386040.975,148512768.000000
1696386050.975,148512768.000000
1696386060.975,148766720.000000
1696386070.975,148766720.000000
1696386080.975,148766720.000000
