epoch,value
1696385101.012,9175040.000000
1696385110.976,9211904.000000
1696385120.975,9220096.000000
1696385130.975,9236480.000000
1696385140.977,9248768.000000
1696385150.975,9265152.000000
1696385160.976,9261056.000000
1696385170.975,9248768.000000
1696385180.978,9244672.000000
1696385190.975,9240576.000000
1696385200.975,9240576.000000
1696385210.975,9240576.000000
1696385220.975,9240576.000000
1696385230.975,9240576.000000
1696385240.975,9240576.000000
1696385250.975,9240576.000000
1696385260.976,9252864.000000
1696385270.975,9265152.000000
1696385280.975,9269248.000000
1696385290.975,9269248.000000
1696385300.975,9261056.000000
1696385310.975,9256960.000000
1696385320.975,9252864.000000
1696385330.976,9252864.000000
1696385340.976,9252864.000000
1696385350.976,9252864.000000
1696385360.976,9252864.000000
1696385370.975,9252864.000000
1696385380.977,9265152.000000
1696385390.975,9273344.000000
1696385400.975,9265152.000000
1696385410.975,9265152.000000
1696385420.975,9265152.000000
1696385430.980,9261056.000000
1696385440.976,9265152.000000
1696385450.975,9261056.000000
1696385460.976,9261056.000000
1696385470.975,9261056.000000
1696385480.975,9261056.000000
1696385490.975,9261056.000000
1696385500.975,9273344.000000
1696385510.975,9281536.000000
1696385520.976,9281536.000000
1696385530.976,9265152.000000
1696385540.977,9265152.000000
1696385550.975,9265152.000000
1696385560.978,9265152.000000
1696385570.976,9265152.000000
1696385580.975,9265152.000000
1696385590.975,9265152.000000
1696385600.975,9265152.000000
1696385610.975,9265152.000000
1696385620.975,9277440.000000
1696385630.975,9273344.000000
1696385640.975,9277440.000000
1696385650.976,9277440.000000
1696385660.975,9277440.000000
1696385670.977,9269248.000000
1696385680.975,9265152.000000
1696385690.975,9265152.000000
1696385700.975,9269248.000000
1696385710.976,9265152.000000
1696385720.975,9265152.000000
1696385730.975,9269248.000000
1696385740.975,9281536.000000
1696385750.975,9285632.000000
1696385760.975,9289728.000000
1696385770.976,9273344.000000
1696385780.975,9269248.000000
1696385790.975,9273344.000000
1696385800.975,9269248.000000
1696385810.975,9269248.000000
1696385820.975,9269248.000000
1696385830.976,9273344.000000
1696385840.976,9269248.000000
1696385850.975,9273344.000000
1696385860.981,9285632.000000
1696385870.976,9281536.000000
1696385880.975,9281536.000000
1696385890.976,9273344.000000
1696385900.977,9273344.000000
1696385910.977,9273344.000000
1696385920.976,9273344.000000
1696385930.975,9273344.000000
1696385940.976,9277440.000000
1696385950.975,9273344.000000
1696385960.975,9273344.000000
1696385970.975,9277440.000000
1696385980.975,9285632.000000
1696385990.978,9285632.000000
1696386000.975,9310208.000000
1696386010.975,9297920.000000
1696386020.975,9297920.000000
1696386030.976,9285632.000000
1696386040.975,9289728.000000
1696386050.975,9285632.000000
1696386060.975,9285632.000000
1696386070.975,9285632.000000
1696386080.975,9289728.000000
1696386090.975,9285632.000000
1696386100.975,9302016.000000
1696386110.975,9293824.000000
1696386120.975,9289728.000000
1696386130.980,9285632.000000
1696386140.975,9285632.000000
1696386150.976,9285632.000000
1696386160.975,9285632.000000
1696386170.976,9285632.000000
1696386180.975,9293824.000000
1696386190.975,9285632.000000
