epoch,value
1696385101.012,102985728.000000
1696385110.976,102608896.000000
1696385120.975,103178240.000000
1696385130.975,103120896.000000
1696385140.977,103579648.000000
1696385150.975,104099840.000000
1696385160.976,103940096.000000
1696385170.975,103759872.000000
1696385180.978,103768064.000000
1696385190.975,103133184.000000
1696385200.975,103129088.000000
1696385210.975,103129088.000000
1696385220.975,103251968.000000
1696385230.975,103251968.000000
1696385240.975,103251968.000000
1696385250.975,103378944.000000
1696385260.976,103972864.000000
1696385270.975,103849984.000000
1696385280.975,104157184.000000
1696385290.975,103456768.000000
1696385300.975,103464960.000000
1696385310.975,103469056.000000
1696385320.975,103456768.000000
1696385330.976,103456768.000000
1696385340.976,103591936.000000
1696385350.976,103591936.000000
1696385360.976,192962560.000000
1696385370.975,200073216.000000
1696385380.977,204992512.000000
1696385390.975,104497152.000000
1696385400.975,103956480.000000
1696385410.975,103956480.000000
1696385420.975,103956480.000000
1696385430.980,107347968.000000
1696385440.976,103837696.000000
1696385450.975,103821312.000000
1696385460.976,103813120.000000
1696385470.975,103956480.000000
1696385480.975,103956480.000000
1696385490.975,103956480.000000
1696385500.975,104304640.000000
1696385510.975,104431616.000000
1696385520.976,104222720.000000
1696385530.976,103870464.000000
1696385540.977,103870464.000000
1696385550.975,103870464.000000
1696385560.978,103870464.000000
1696385570.976,103870464.000000
1696385580.975,103870464.000000
1696385590.975,103743488.000000
1696385600.975,103743488.000000
1696385610.975,103870464.000000
1696385620.975,104861696.000000
1696385630.975,192585728.000000
1696385640.975,198746112.000000
1696385650.976,203370496.000000
1696385660.975,204132352.000000
1696385670.977,104132608.000000
1696385680.975,104009728.000000
1696385690.975,104009728.000000
1696385700.975,103985152.000000
1696385710.976,104083456.000000
1696385720.975,104132608.000000
1696385730.975,104124416.000000
1696385740.975,104734720.000000
1696385750.975,104632320.000000
1696385760.975,104656896.000000
1696385770.976,104480768.000000
1696385780.975,104108032.000000
1696385790.975,104103936.000000
1696385800.975,104235008.000000
1696385810.975,104235008.000000
1696385820.975,104235008.000000
1696385830.976,104226816.000000
1696385840.976,104108032.000000
1696385850.975,104103936.000000
1696385860.981,104665088.000000
1696385870.976,104837120.000000
1696385880.975,104296448.000000
1696385890.976,104304640.000000
1696385900.977,104304640.000000
1696385910.977,114479104.000000
1696385920.976,118145024.000000
1696385930.975,120438784.000000
1696385940.976,120434688.000000
1696385950.975,120438784.000000
1696385960.975,120446976.000000
1696385970.975,120442880.000000
1696385980.975,120786944.000000
1696385990.978,124510208.000000
1696386000.975,121290752.000000
1696386010.975,120598528.000000
1696386020.975,120598528.000000
1696386030.976,120991744.000000
1696386040.975,120987648.000000
1696386050.975,120991744.000000
1696386060.975,120741888.000000
1696386070.975,120741888.000000
1696386080.975,120737792.000000
1696386090.975,120991744.000000
1696386100.975,121331712.000000
1696386110.975,121454592.000000
1696386120.975,120811520.000000
1696386130.980,120815616.000000
1696386140.975,120815616.000000
1696386150.976,125091840.000000
1696386160.975,120815616.000000
1696386170.976,120815616.000000
1696386180.975,120807424.000000
1696386190.975,120815616.000000
1696386200.983,120807424.000000
1696386210.976,120811520.000000
1696386220.975,121290752.000000
1696386230.976,121597952.000000
1696386240.975,121167872.000000
1696386250.975,121298944.000000
1696386260.975,121294848.000000
1696386270.977,121290752.000000
1696386280.979,121298944.000000
1696386290.975,121286656.000000
1696386300.975,121282560.000000
1696386310.984,120905728.000000
1696386320.976,120905728.000000
1696386330.992,120901632.000000
1696386340.975,124665856.000000
1696386350.976,121655296.000000
1696386360.975,121753600.000000
1696386370.977,121438208.000000
1696386380.977,121233408.000000
1696386390.977,121229312.000000
1696386400.975,121233408.000000
1696386410.975,104751104.000000
1696386420.975,104718336.000000
1696386430.976,104718336.000000
1696386440.976,104587264.000000
1696386450.976,104587264.000000
1696386460.985,105111552.000000
1696386470.976,105492480.000000
1696386480.975,104804352.000000
1696386490.979,104800256.000000
1696386500.979,104800256.000000
1696386510.977,104800256.000000
1696386520.976,104800256.000000
1696386530.975,104673280.000000
1696386540.977,104673280.000000
1696386550.976,104673280.000000
1696386560.976,104669184.000000
1696386570.977,104669184.000000
1696386580.975,105132032.000000
1696386590.975,105615360.000000
1696386600.976,105209856.000000
1696386610.976,105234432.000000
1696386620.975,107163648.000000
1696386630.975,104693760.000000
1696386640.976,104697856.000000
1696386650.975,117223424.000000
1696386660.978,120287232.000000
1696386670.978,120414208.000000
1696386680.975,120406016.000000
1696386690.975,121167872.000000
1696386700.975,121511936.000000
1696386710.976,121782272.000000
1696386720.977,121786368.000000
1696386730.980,121475072.000000
1696386740.975,121462784.000000
1696386750.975,121593856.000000
1696386760.975,121593856.000000
1696386770.980,121593856.000000
1696386780.975,121589760.000000
1696386790.975,121581568.000000
1696386800.977,121581568.000000
1696386810.979,123490304.000000
1696386820.977,121663488.000000
1696386830.975,121561088.000000
1696386840.976,121819136.000000
1696386850.976,121643008.000000
1696386860.977,121643008.000000
1696386870.978,121643008.000000
1696386880.979,121655296.000000
1696386890.979,121655296.000000
1696386900.985,121655296.000000
1696386910.985,121147392.000000
1696386920.985,121147392.000000
1696386930.978,121147392.000000
1696386940.980,122073088.000000
1696386950.975,121982976.000000
1696386960.979,121552896.000000
1696386970.978,121688064.000000
1696386980.975,121692160.000000
1696386990.975,121692160.000000
1696387000.975,123019264.000000
1696387010.977,121819136.000000
1696387020.975,121823232.000000
1696387030.975,121823232.000000
1696387040.976,121823232.000000
1696387050.975,121810944.000000
1696387060.975,122130432.000000
1696387070.975,121565184.000000
1696387080.975,121479168.000000
1696387090.975,121438208.000000
1696387100.975,121827328.000000
1696387110.975,121827328.000000
1696387120.976,121827328.000000
1696387130.975,104984576.000000
1696387140.977,104980480.000000
1696387150.975,104980480.000000
1696387160.975,105111552.000000
1696387170.975,105111552.000000
1696387180.975,105832448.000000
1696387190.975,106065920.000000
1696387200.976,105689088.000000
1696387210.975,105492480.000000
1696387220.975,106422272.000000
1696387230.976,105000960.000000
1696387240.975,105000960.000000
1696387250.976,104996864.000000
1696387260.975,104980480.000000
1696387270.975,104984576.000000
1696387280.975,104984576.000000
1696387290.975,105111552.000000
1696387300.975,105676800.000000
1696387310.975,105943040.000000
1696387320.975,105562112.000000
1696387330.975,105582592.000000
1696387340.976,105533440.000000
1696387350.976,105189376.000000
1696387360.977,105205760.000000
1696387370.976,105037824.000000
1696387380.975,105037824.000000
1696387390.975,105037824.000000
1696387400.975,105037824.000000
1696387410.975,105037824.000000
1696387420.975,105648128.000000
