epoch,value
1696389221.444,nan
1696389231.444,96.801121
1696389241.444,94.398305
1696389251.445,99.099730
1696389261.445,98.699443
1696389271.445,96.694057
1696389281.444,98.607366
1696389291.445,98.598714
1696389301.444,89.500984
1696389311.444,98.999792
1696389321.444,98.800042
1696389331.446,91.988144
1696389341.445,94.005359
1696389351.444,95.508079
1696389361.445,97.292231
1696389371.444,89.906889
1696389381.445,98.791454
1696389391.445,99.206092
1696389401.444,92.201709
1696389411.445,98.599407
1696389421.444,98.600652
1696389431.445,89.199034
1696389441.445,98.900412
1696389451.444,98.700874
1696389461.445,92.393187
1696389471.445,95.400793
1696389481.445,96.499296
1696389491.445,91.699474
1696389501.445,98.906980
1696389511.445,98.991683
1696389521.445,80.406284
1696389531.445,64.797702
1696389541.445,56.699961
1696389551.446,58.495662
1696389561.445,95.307219
1696389571.445,94.801034
1696389581.445,67.301302
1696389591.445,8.799592
1696389601.445,73.703764
1696389611.452,94.625611
1696389621.445,73.652712
1696389631.445,80.701483
1696389641.445,72.002717
1696389651.445,61.998387
1696389661.445,97.400143
1696389671.445,93.699769
1696389681.445,76.398857
1696389691.445,97.201139
1696389701.445,58.299791
1696389711.445,32.000437
1696389721.444,83.003515
1696389731.448,80.867695
1696389741.446,64.818095
1696389751.445,76.608058
1696389761.445,94.996653
1696389771.446,82.494133
1696389781.446,93.601018
1696389791.445,73.505422
1696389801.445,86.901446
1696389811.445,66.699866
1696389821.445,46.100803
1696389831.445,61.197179
1696389841.445,57.700529
1696389851.445,86.503059
1696389861.445,86.596140
1696389871.445,83.403318
1696389881.444,87.201115
1696389891.444,99.000068
1696389901.444,96.599859
1696389911.444,98.799686
1696389921.445,98.799811
1696389931.445,92.593922
1696389941.444,97.306868
1696389951.444,96.100166
1696389961.445,87.993522
1696389971.446,98.596307
1696389981.444,99.011882
1696389991.444,89.699238
1696390001.445,98.892523
1696390011.444,98.908063
1696390021.445,99.092983
1696390031.445,91.205113
1696390041.445,98.793590
1696390051.445,98.905262
1696390061.444,95.202668
1696390071.444,97.200622
1696390081.444,96.898888
1696390091.445,95.092433
1696390101.445,98.799774
1696390111.444,98.908579
1696390121.445,96.692012
1696390131.446,55.997230
1696390141.445,65.704596
1696390151.445,82.600309
1696390161.446,74.295154
1696390171.445,97.806564
1696390181.445,47.102007
1696390191.445,25.099512
1696390201.445,39.900280
1696390211.445,36.598082
1696390221.445,53.201246
1696390231.445,93.699685
1696390241.445,90.297742
1696390251.445,52.501283
1696390261.445,97.600145
1696390271.445,97.902717
1696390281.445,33.899453
1696390291.446,70.494184
1696390301.446,29.698392
1696390311.445,56.508501
1696390321.445,72.900015
1696390331.445,84.400877
1696390341.445,59.299405
1696390351.445,51.698414
1696390361.445,85.302020
1696390371.446,33.796918
1696390381.445,94.004727
1696390391.445,89.201703
1696390401.446,48.494118
1696390411.445,79.011084
1696390421.445,86.799177
1696390431.445,83.297328
1696390441.445,69.401841
1696390451.445,55.199886
1696390461.445,90.803593
1696390471.445,60.499784
1696390481.445,31.999110
1696390491.445,53.799606
1696390501.445,29.300050
1696390511.445,50.901188
1696390521.445,58.499353
1696390531.445,56.500837
1696390541.445,34.198216
1696390551.445,20.400039
1696390561.445,25.000821
1696390571.445,76.199147
1696390581.446,44.697098
1696390591.445,27.201381
1696390601.445,78.800821
1696390611.446,32.197909
1696390621.445,33.201643
1696390631.445,41.500660
1696390641.445,44.901935
1696390651.445,58.496099
1696390661.445,13.200386
1696390671.445,3.900059
1696390681.445,50.999385
1696390691.445,29.800191
1696390701.445,28.300071
1696390711.445,52.800259
1696390721.446,47.295803
1696390731.445,45.603464
1696390741.445,42.500784
1696390751.445,17.299934
1696390761.445,69.599219
1696390771.445,55.701094
1696390781.445,16.199102
1696390791.446,66.796879
1696390801.445,69.806628
1696390811.445,58.398554
1696390821.445,45.701291
1696390831.445,52.799916
1696390841.445,35.599999
1696390851.445,31.500501
1696390861.445,19.999162
1696390871.445,21.799935
1696390881.446,36.297571
1696390891.445,52.905233
1696390901.445,43.898511
1696390911.446,29.596579
1696390921.446,17.700995
1696390931.446,45.099851
1696390941.445,13.101318
1696390951.445,44.598600
1696390961.445,22.199877
1696390971.445,31.100460
1696390981.446,58.892327
1696390991.445,39.906478
1696391001.445,19.099957
1696391011.446,36.796159
1696391021.445,59.802981
1696391031.445,47.699985
1696391041.446,29.998110
1696391051.445,43.404275
1696391061.446,55.294832
1696391071.445,34.902095
1696391081.445,58.702690
1696391091.446,60.394409
1696391101.445,28.101761
1696391111.445,53.701627
1696391121.445,41.297812
1696391131.446,34.995870
1696391141.445,30.805077
1696391151.445,28.499259
1696391161.445,28.199956
1696391171.445,42.399531
1696391181.445,39.801681
1696391191.445,48.198413
1696391201.446,45.396827
1696391211.445,53.302493
1696391221.445,42.702037
1696391231.445,39.199077
1696391241.446,52.896302
1696391251.445,47.702539
1696391261.445,43.100883
1696391271.445,46.199913
1696391281.445,12.200480
1696391291.445,28.199208
1696391301.446,46.996048
1696391311.445,52.903666
1696391321.445,75.399145
1696391331.445,70.800880
1696391341.445,38.801401
1696391351.445,65.697650
1696391361.445,57.900040
1696391371.445,54.400659
1696391381.445,52.499323
1696391391.445,22.899984
1696391401.445,28.201012
1696391411.445,57.598001
1696391421.445,25.199647
1696391431.445,59.902223
1696391441.446,38.196591
1696391451.446,44.700105
1696391461.445,47.804500
1696391471.445,57.597359
1696391481.445,59.201694
1696391491.445,48.701584
1696391501.445,21.199726
1696391511.445,38.298128
1696391521.445,33.500442
1696391531.445,31.600226
1696391541.445,24.700183
1696391551.445,54.900529
1696391561.445,21.399531
1696391571.445,41.200867
1696391581.445,9.699744
1696391591.446,52.796864
1696391601.445,45.003763
1696391611.445,46.998839
1696391621.445,29.100461
1696391631.446,18.798516
1696391641.445,17.901578
1696391651.445,39.799154
1696391661.445,46.401431
1696391671.450,37.278847
1696391681.445,53.028767
1696391691.445,44.401245
1696391701.448,44.584983
1696391711.445,43.913027
1696391721.445,63.101998
1696391731.445,52.698928
1696391741.445,8.899790
1696391751.446,57.497261
1696391761.445,60.602767
1696391771.446,42.398312
1696391781.446,32.199731
1696391791.445,55.406195
1696391801.445,55.596407
1696391811.445,52.701173
1696391821.445,26.499867
1696391831.446,29.298148
1696391841.445,49.605579
1696391851.445,77.894811
1696391861.445,49.302722
1696391871.445,51.898223
1696391881.445,9.500407
1696391891.450,50.571435
1696391901.445,72.638167
1696391911.445,58.499975
1696391921.445,75.901409
1696391931.445,47.500393
1696391941.446,94.991080
1696391951.445,83.404634
1696391961.445,79.403334
1696391971.445,98.097342
1696391981.445,62.899599
1696391991.445,31.200005
1696392001.445,73.700130
1696392011.445,87.001080
1696392021.445,55.499031
1696392031.445,55.700289
1696392041.446,56.696220
1696392051.445,33.401818
1696392061.445,38.602261
1696392071.445,48.999685
1696392081.445,37.797915
1696392091.444,68.104723
1696392101.444,97.001120
1696392111.444,95.698766
1696392121.444,93.599928
1696392131.445,98.299640
1696392141.444,98.800527
1696392151.444,89.599649
1696392161.444,99.100128
1696392171.444,98.700607
1696392181.444,89.799790
1696392191.445,98.892574
1696392201.444,98.506855
1696392211.445,96.692963
1696392221.444,97.907146
1696392231.445,97.793411
1696392241.445,87.300115
1696392251.444,98.407156
1696392261.446,98.984153
1696392271.445,89.513579
1696392281.444,98.500159
1696392291.445,99.092681
1696392301.445,89.800430
1696392311.444,98.707626
1696392321.445,99.092062
1696392331.445,96.604699
1696392341.445,90.697416
1696392351.444,95.905584
1696392361.444,96.999368
1696392371.445,97.092563
1696392381.444,98.707915
1696392391.445,98.698664
1696392401.444,93.001716
1696392411.444,98.799900
1696392421.445,98.798225
1696392431.445,89.594284
1696392441.444,98.607469
1696392451.444,98.600076
1696392461.445,87.794160
1696392471.444,95.906222
1696392481.444,97.300343
1696392491.444,94.900508
1696392501.445,98.698187
1696392511.445,98.800553
1696392521.445,89.600155
1696392531.445,98.799468
1696392541.445,98.699961
1696392551.445,95.394116
1696392561.444,99.107856
1696392571.445,98.591435
1696392581.445,86.900693
1696392591.444,98.506778
1696392601.444,95.701001
1696392611.445,93.490833
1696392621.445,93.801290
1696392631.445,98.707177
1696392641.444,98.700801
1696392651.445,96.296908
1696392661.444,99.302511
1696392671.445,98.899521
1696392681.445,96.399950
1696392691.445,98.793614
1696392701.444,96.707954
1696392711.445,92.792342
1696392721.444,97.306757
1696392731.445,99.192860
1696392741.445,96.906718
1696392751.445,99.198979
1696392761.445,99.100414
1696392771.445,92.000469
1696392781.445,98.999978
1696392791.445,98.999195
1696392801.445,89.500888
1696392811.444,99.000354
1696392821.444,96.100742
1696392831.444,95.299441
1696392841.444,96.999788
1696392851.445,98.899605
1696392861.444,90.000344
1696392871.444,99.200109
