epoch,value
1696389221.444,nan
1696389231.444,1.400014
1696389241.444,2.199962
1696389251.444,0.100000
1696389261.444,0.199999
1696389271.444,1.200023
1696389281.444,0.399998
1696389291.444,0.199998
1696389301.444,1.500013
1696389311.444,0.400000
1696389321.444,0.200000
1696389331.444,1.899986
1696389341.445,1.599893
1696389351.444,1.800157
1696389361.444,1.400002
1696389371.444,1.499991
1696389381.444,0.499997
1696389391.444,0.300002
1696389401.444,1.999989
1696389411.444,0.599997
1696389421.444,0.600003
1696389431.444,1.599984
1696389441.444,0.300001
1696389451.444,0.400003
1696389461.445,2.899781
1696389471.444,1.500130
1696389481.444,1.499989
1696389491.445,1.599864
1696389501.444,0.300022
1696389511.445,0.099991
1696389521.444,3.100256
1696389531.445,1.099957
1696389541.445,0.900018
1696389551.445,0.999905
1696389561.445,0.500040
1696389571.445,0.400003
1696389581.444,1.200023
1696389591.445,4.999921
1696389601.444,1.000020
1696389611.452,0.699446
1696389621.445,1.300990
1696389631.445,1.900012
1696389641.444,1.100013
1696389651.445,1.499965
1696389661.445,0.999999
1696389671.445,2.299994
1696389681.445,1.000016
1696389691.445,0.599999
1696389701.445,4.300000
1696389711.445,2.100015
1696389721.444,1.400034
1696389731.445,0.999897
1696389741.444,1.700170
1696389751.444,0.799993
1696389761.445,0.499983
1696389771.445,2.899868
1696389781.444,1.800163
1696389791.445,0.299991
1696389801.444,0.700012
1696389811.444,4.000067
1696389821.444,0.999999
1696389831.445,1.599925
1696389841.445,2.200025
1696389851.444,0.900030
1696389861.445,1.099953
1696389871.444,3.700142
1696389881.444,1.800022
1696389891.444,0.300000
1696389901.444,0.899999
1696389911.444,0.499999
1696389921.444,0.699999
1696389931.444,1.900021
1696389941.444,1.100006
1696389951.444,1.699981
1696389961.445,2.899782
1696389971.444,0.600046
1696389981.444,0.300002
1696389991.444,1.999988
1696390001.444,0.200000
1696390011.444,0.400002
1696390021.445,0.199993
1696390031.444,1.700040
1696390041.444,0.300004
1696390051.444,0.199999
1696390061.444,1.900034
1696390071.444,0.699998
1696390081.444,1.199984
1696390091.444,1.900004
1696390101.444,0.299999
1696390111.444,0.400001
1696390121.444,0.899997
1696390131.446,0.899884
1696390141.445,0.700063
1696390151.445,4.499931
1696390161.444,0.600025
1696390171.445,0.599976
1696390181.444,3.000129
1696390191.445,0.999978
1696390201.444,0.700013
1696390211.445,1.299957
1696390221.445,0.499998
1696390231.445,0.899998
1696390241.445,2.199976
1696390251.445,0.800023
1696390261.445,0.999978
1696390271.444,0.700022
1696390281.445,0.999982
1696390291.445,0.499958
1696390301.444,0.800083
1696390311.445,1.699990
1696390321.444,2.600051
1696390331.444,0.399996
1696390341.445,1.399987
1696390351.445,0.699995
1696390361.445,0.300000
1696390371.444,1.400022
1696390381.445,0.299988
1696390391.445,0.600003
1696390401.445,0.500008
1696390411.444,0.900024
1696390421.445,2.599912
1696390431.445,3.299907
1696390441.445,1.900083
1696390451.445,1.099975
1696390461.444,0.700024
1696390471.444,1.500000
1696390481.445,0.699983
1696390491.445,0.199998
1696390501.445,3.300005
1696390511.445,0.600014
1696390521.444,0.700004
1696390531.444,3.199990
1696390541.445,2.499958
1696390551.445,2.399997
1696390561.445,5.400001
1696390571.445,0.899991
1696390581.444,0.900036
1696390591.445,3.899790
1696390601.445,1.300012
1696390611.444,0.600028
1696390621.445,1.399950
1696390631.445,0.499994
1696390641.444,0.500022
1696390651.445,0.799975
1696390661.445,2.999980
1696390671.444,0.600023
1696390681.445,1.999967
1696390691.445,1.299985
1696390701.445,0.500005
1696390711.444,0.600011
1696390721.445,2.599714
1696390731.445,0.300027
1696390741.445,0.200001
1696390751.445,2.899977
1696390761.445,0.799996
1696390771.444,0.500009
1696390781.445,2.199929
1696390791.444,3.200135
1696390801.444,2.400010
1696390811.445,0.799964
1696390821.444,3.100140
1696390831.444,0.200000
1696390841.445,0.399993
1696390851.444,1.100017
1696390861.445,0.899961
1696390871.445,0.500010
1696390881.444,0.800018
1696390891.444,0.400003
1696390901.445,2.199887
1696390911.444,2.400112
1696390921.444,0.400000
1696390931.444,0.300000
1696390941.444,3.200016
1696390951.445,0.699978
1696390961.445,0.400001
1696390971.444,0.600006
1696390981.444,3.400048
1696390991.444,0.399999
1696391001.444,0.600000
1696391011.444,3.700004
1696391021.445,1.499917
1696391031.445,2.900079
1696391041.444,4.300120
1696391051.444,0.400001
1696391061.444,0.299999
1696391071.445,2.899843
1696391081.444,0.300018
1696391091.444,0.399998
1696391101.445,0.399991
1696391111.444,0.400005
1696391121.445,1.899966
1696391131.445,1.599964
1696391141.444,0.700036
1696391151.445,0.799979
1696391161.445,0.199997
1696391171.445,3.100023
1696391181.444,0.500010
1696391191.445,0.599980
1696391201.445,3.499752
1696391211.445,0.700060
1696391221.444,0.600019
1696391231.445,0.399981
1696391241.444,0.800034
1696391251.445,0.399989
1696391261.445,3.399975
1696391271.445,2.100023
1696391281.444,0.100002
1696391291.445,0.099997
1696391301.444,0.400013
1696391311.445,0.299987
1696391321.445,2.599960
1696391331.445,1.100040
1696391341.444,0.300005
1696391351.445,0.299989
1696391361.445,3.600003
1696391371.445,0.400005
1696391381.445,1.399981
1696391391.445,2.899999
1696391401.444,1.200057
1696391411.445,0.299986
1696391421.445,2.800041
1696391431.444,0.900026
1696391441.444,0.500001
1696391451.444,1.099998
1696391461.444,0.599994
1696391471.445,0.699988
1696391481.445,3.399994
