epoch,value
1696389221.444,nan
1696389231.444,1.800005
1696389241.444,3.399971
1696389251.444,0.800000
1696389261.444,1.099999
1696389271.444,2.100004
1696389281.444,0.999999
1696389291.444,1.199996
1696389301.444,9.000053
1696389311.444,0.600000
1696389321.444,0.999998
1696389331.444,6.099919
1696389341.444,4.400063
1696389351.444,2.700013
1696389361.444,1.300000
1696389371.444,8.599936
1696389381.444,0.700000
1696389391.444,0.500001
1696389401.444,5.799993
1696389411.444,0.800002
1696389421.444,0.799998
1696389431.444,9.200010
1696389441.444,0.800000
1696389451.444,0.899998
1696389461.444,4.700031
1696389471.444,3.100016
1696389481.444,1.999987
1696389491.444,6.699977
1696389501.444,0.800000
1696389511.444,0.899998
1696389521.444,16.499826
1696389531.444,34.099302
1696389541.444,42.399981
1696389551.444,40.500835
1696389561.444,4.199916
1696389571.444,4.799987
1696389581.444,31.500734
1696389591.444,86.198306
1696389601.444,25.300542
1696389611.452,4.696235
1696389621.445,25.019223
1696389631.445,17.400117
1696389641.444,26.900723
1696389651.445,36.498984
1696389661.444,1.600006
1696389671.445,3.999979
1696389681.444,22.600095
1696389691.445,2.199997
1696389701.445,37.399830
1696389711.444,65.900587
1696389721.444,15.600345
1696389731.445,18.098488
1696389741.444,33.502751
1696389751.444,22.600055
1696389761.445,4.499873
1696389771.445,14.599107
1696389781.444,4.600408
1696389791.445,26.199280
1696389801.444,12.400335
1696389811.444,29.299976
1696389821.444,52.899998
1696389831.445,37.199014
1696389841.444,40.100351
1696389851.444,12.600196
1696389861.444,12.299724
1696389871.444,12.900268
1696389881.444,11.000153
1696389891.444,0.700001
1696389901.444,2.500002
1696389911.444,0.699999
1696389921.444,0.500000
1696389931.444,5.500020
1696389941.444,1.600005
1696389951.444,2.199996
1696389961.444,9.099987
1696389971.444,0.799997
1696389981.444,0.700001
1696389991.444,8.300054
1696390001.444,0.899993
1696390011.444,0.600001
1696390021.444,0.699978
1696390031.444,7.100207
1696390041.444,0.900002
1696390051.444,0.899998
1696390061.444,2.900042
1696390071.444,2.099995
1696390081.444,1.899989
1696390091.444,2.999985
1696390101.444,0.899999
1696390111.444,0.700000
