epoch,shortterm,midterm,longterm
1696389211.485,0.320000,0.110000,0.120000
1696389221.450,0.580000,0.170000,0.140000
1696389231.450,0.490000,0.170000,0.140000
1696389241.451,0.410000,0.160000,0.140000
1696389251.450,0.350000,0.150000,0.140000
1696389261.450,0.290000,0.150000,0.130000
1696389271.450,0.250000,0.140000,0.130000
1696389281.452,0.210000,0.140000,0.130000
1696389291.450,0.320000,0.170000,0.140000
1696389301.450,0.270000,0.160000,0.140000
1696389311.452,0.230000,0.150000,0.140000
1696389321.451,0.200000,0.150000,0.130000
1696389331.452,0.160000,0.140000,0.130000
1696389341.450,0.210000,0.160000,0.140000
1696389351.450,0.180000,0.150000,0.130000
1696389361.450,0.150000,0.140000,0.130000
1696389371.450,0.200000,0.160000,0.140000
1696389381.450,0.250000,0.170000,0.140000
1696389391.452,0.210000,0.160000,0.140000
1696389401.450,0.180000,0.160000,0.140000
1696389411.450,0.150000,0.150000,0.130000
1696389421.452,0.130000,0.140000,0.130000
1696389431.450,0.110000,0.140000,0.130000
1696389441.450,0.090000,0.130000,0.130000
1696389451.451,0.080000,0.130000,0.130000
1696389461.450,0.060000,0.120000,0.120000
1696389471.451,0.050000,0.120000,0.120000
1696389481.451,0.040000,0.120000,0.120000
1696389491.450,0.120000,0.130000,0.120000
1696389501.452,0.100000,0.120000,0.120000
1696389511.450,0.080000,0.120000,0.120000
1696389521.450,0.150000,0.130000,0.120000
1696389531.450,0.280000,0.160000,0.130000
1696389541.450,0.390000,0.190000,0.140000
1696389551.450,0.490000,0.220000,0.150000
1696389561.452,0.570000,0.240000,0.160000
1696389571.450,0.630000,0.270000,0.170000
1696389581.451,0.690000,0.290000,0.180000
1696389591.450,0.740000,0.320000,0.190000
1696389601.450,0.780000,0.340000,0.200000
1696389611.450,0.810000,0.360000,0.210000
1696389621.451,0.990000,0.420000,0.230000
1696389631.450,0.990000,0.440000,0.240000
1696389641.450,0.990000,0.450000,0.250000
1696389651.450,1.000000,0.470000,0.260000
1696389661.452,1.000000,0.490000,0.260000
1696389671.452,1.000000,0.510000,0.270000
1696389681.450,1.000000,0.520000,0.280000
1696389691.450,1.000000,0.540000,0.290000
1696389701.452,1.000000,0.560000,0.300000
1696389711.450,1.080000,0.590000,0.310000
1696389721.450,1.070000,0.600000,0.320000
1696389731.452,1.060000,0.620000,0.330000
1696389741.450,1.050000,0.630000,0.330000
1696389751.450,1.040000,0.640000,0.340000
1696389761.451,1.030000,0.650000,0.350000
1696389771.452,1.030000,0.670000,0.360000
1696389781.452,1.020000,0.680000,0.360000
1696389791.451,1.020000,0.690000,0.370000
1696389801.452,1.020000,0.700000,0.380000
1696389811.450,1.090000,0.730000,0.390000
1696389821.452,1.070000,0.740000,0.400000
1696389831.450,1.060000,0.740000,0.400000
1696389841.451,1.050000,0.750000,0.410000
1696389851.450,1.040000,0.760000,0.420000
1696389861.450,1.040000,0.770000,0.420000
1696389871.463,1.030000,0.780000,0.430000
1696389881.451,0.940000,0.770000,0.430000
1696389891.452,0.800000,0.740000,0.430000
1696389901.450,0.760000,0.730000,0.430000
1696389911.450,0.640000,0.710000,0.420000
1696389921.452,0.540000,0.690000,0.420000
1696389931.450,0.460000,0.660000,0.410000
1696389941.450,0.390000,0.640000,0.410000
1696389951.450,0.330000,0.620000,0.400000
1696389961.450,0.280000,0.600000,0.400000
1696389971.450,0.230000,0.580000,0.390000
1696389981.451,0.200000,0.560000,0.390000
1696389991.450,0.170000,0.540000,0.380000
1696390001.452,0.140000,0.520000,0.380000
1696390011.450,0.120000,0.500000,0.370000
1696390021.451,0.100000,0.490000,0.370000
1696390031.451,0.080000,0.470000,0.360000
1696390041.450,0.070000,0.450000,0.360000
1696390051.450,0.060000,0.440000,0.360000
1696390061.451,0.200000,0.460000,0.360000
1696390071.450,0.170000,0.440000,0.360000
1696390081.450,0.140000,0.430000,0.360000
1696390091.450,0.120000,0.410000,0.350000
1696390101.450,0.100000,0.400000,0.350000
1696390111.452,0.080000,0.380000,0.340000
1696390121.451,0.070000,0.370000,0.340000
1696390131.450,0.140000,0.380000,0.340000
1696390141.450,0.270000,0.400000,0.350000
1696390151.452,0.390000,0.420000,0.360000
1696390161.450,0.480000,0.440000,0.370000
1696390171.452,0.560000,0.460000,0.370000
1696390181.450,0.790000,0.510000,0.390000
1696390191.453,0.900000,0.540000,0.400000
1696390201.450,0.920000,0.560000,0.410000
1696390211.452,0.930000,0.570000,0.420000
1696390221.451,0.940000,0.590000,0.420000
1696390231.452,0.950000,0.600000,0.430000
1696390241.450,0.960000,0.610000,0.440000
1696390251.450,0.970000,0.630000,0.440000
1696390261.450,0.970000,0.640000,0.450000
1696390271.452,0.980000,0.650000,0.460000
1696390281.451,1.050000,0.680000,0.470000
1696390291.450,1.050000,0.690000,0.470000
1696390301.451,1.110000,0.720000,0.480000
1696390311.452,1.090000,0.730000,0.490000
1696390321.450,1.080000,0.740000,0.500000
1696390331.450,1.070000,0.750000,0.500000
1696390341.451,1.060000,0.760000,0.510000
1696390351.450,1.050000,0.760000,0.510000
