epoch,value
1696389211.485,136921088.000000
1696389221.451,137334784.000000
1696389231.451,137400320.000000
1696389241.452,137453568.000000
1696389251.452,137453568.000000
1696389261.453,137453568.000000
1696389271.451,137453568.000000
1696389281.451,137453568.000000
1696389291.452,137453568.000000
1696389301.453,137457664.000000
1696389311.452,137457664.000000
1696389321.452,137457664.000000
1696389331.451,137461760.000000
1696389341.452,137461760.000000
1696389351.455,137465856.000000
1696389361.451,137469952.000000
1696389371.452,137469952.000000
1696389381.451,137469952.000000
1696389391.452,137469952.000000
1696389401.453,137469952.000000
1696389411.451,137469952.000000
1696389421.453,137474048.000000
1696389431.451,137474048.000000
1696389441.451,137474048.000000
1696389451.451,137474048.000000
1696389461.452,137474048.000000
1696389471.451,137478144.000000
1696389481.453,137478144.000000
1696389491.453,137478144.000000
1696389501.451,137478144.000000
1696389511.452,137478144.000000
1696389521.454,137318400.000000
1696389531.453,137318400.000000
1696389541.455,137318400.000000
1696389551.455,137322496.000000
1696389561.454,137367552.000000
1696389571.456,137367552.000000
1696389581.451,137371648.000000
1696389591.456,137371648.000000
1696389601.451,137371648.000000
1696389611.466,137371648.000000
1696389621.457,137371648.000000
1696389631.451,137371648.000000
1696389641.451,137371648.000000
1696389651.457,137371648.000000
1696389661.458,137371648.000000
1696389671.462,137371648.000000
1696389681.470,137371648.000000
1696389691.455,137371648.000000
1696389701.451,137375744.000000
1696389711.457,137375744.000000
1696389721.453,137375744.000000
1696389731.456,137375744.000000
1696389741.451,137375744.000000
1696389751.451,137375744.000000
1696389761.451,137375744.000000
1696389771.452,137379840.000000
1696389781.453,137375744.000000
1696389791.451,137375744.000000
1696389801.451,137375744.000000
1696389811.452,137379840.000000
1696389821.452,137383936.000000
1696389831.451,137383936.000000
1696389841.452,137383936.000000
1696389851.454,137388032.000000
1696389861.453,137388032.000000
1696389871.451,137388032.000000
1696389881.451,137605120.000000
1696389891.451,137658368.000000
1696389901.451,137605120.000000
1696389911.451,137605120.000000
1696389921.451,137605120.000000
1696389931.454,137605120.000000
1696389941.452,137609216.000000
1696389951.453,137609216.000000
1696389961.452,137613312.000000
1696389971.451,137613312.000000
1696389981.455,137613312.000000
1696389991.454,137613312.000000
1696390001.451,137613312.000000
1696390011.455,137592832.000000
1696390021.471,137646080.000000
1696390031.453,137613312.000000
1696390041.455,137613312.000000
1696390051.456,137666560.000000
1696390061.451,137617408.000000
1696390071.453,137617408.000000
1696390081.453,137621504.000000
1696390091.451,137621504.000000
1696390101.451,137621504.000000
1696390111.451,137621504.000000
1696390121.452,137621504.000000
1696390131.451,137420800.000000
1696390141.462,137420800.000000
1696390151.457,137420800.000000
1696390161.451,137420800.000000
1696390171.456,137420800.000000
1696390181.461,137424896.000000
1696390191.460,137424896.000000
1696390201.457,137449472.000000
1696390211.455,137433088.000000
1696390221.452,137433088.000000
1696390231.456,137433088.000000
1696390241.460,137433088.000000
1696390251.462,137433088.000000
1696390261.459,137433088.000000
1696390271.451,137433088.000000
1696390281.453,137433088.000000
1696390291.452,137433088.000000
1696390301.453,137433088.000000
1696390311.451,137437184.000000
1696390321.452,137441280.000000
1696390331.452,137441280.000000
1696390341.451,137445376.000000
1696390351.455,137445376.000000
1696390361.452,137445376.000000
1696390371.452,137445376.000000
1696390381.453,137445376.000000
1696390391.452,137445376.000000
1696390401.452,137453568.000000
1696390411.454,137453568.000000
1696390421.465,137457664.000000
1696390431.462,137461760.000000
1696390441.458,137461760.000000
1696390451.454,137461760.000000
1696390461.453,137510912.000000
1696390471.459,137564160.000000
1696390481.451,137564160.000000
1696390491.452,137609216.000000
1696390501.456,137646080.000000
1696390511.451,137646080.000000
1696390521.451,137646080.000000
1696390531.451,137674752.000000
1696390541.451,137682944.000000
1696390551.458,137687040.000000
1696390561.451,137687040.000000
1696390571.462,137691136.000000
1696390581.452,137736192.000000
1696390591.453,137740288.000000
1696390601.455,137736192.000000
1696390611.451,137736192.000000
1696390621.451,137814016.000000
1696390631.456,137814016.000000
1696390641.451,137814016.000000
1696390651.452,137814016.000000
1696390661.455,137814016.000000
1696390671.454,137822208.000000
1696390681.452,137822208.000000
1696390691.456,137822208.000000
1696390701.459,137822208.000000
1696390711.454,137822208.000000
1696390721.451,137822208.000000
1696390731.453,137822208.000000
1696390741.451,137822208.000000
1696390751.451,137822208.000000
1696390761.451,137822208.000000
1696390771.451,137822208.000000
1696390781.462,137830400.000000
1696390791.451,137826304.000000
1696390801.451,137830400.000000
1696390811.456,137830400.000000
1696390821.457,137830400.000000
1696390831.451,137834496.000000
1696390841.453,137834496.000000
1696390851.452,137850880.000000
1696390861.453,137854976.000000
1696390871.458,137854976.000000
1696390881.451,137863168.000000
1696390891.452,137867264.000000
1696390901.459,137867264.000000
1696390911.453,137867264.000000
1696390921.453,138035200.000000
1696390931.451,138084352.000000
1696390941.454,138088448.000000
1696390951.452,138084352.000000
