epoch,value
1696389211.485,30101504.000000
1696389221.451,30212096.000000
1696389231.451,30261248.000000
1696389241.452,30248960.000000
1696389251.452,30248960.000000
1696389261.453,30248960.000000
1696389271.451,30248960.000000
1696389281.451,30244864.000000
1696389291.452,30244864.000000
1696389301.453,30240768.000000
1696389311.452,30240768.000000
1696389321.452,30240768.000000
1696389331.451,30240768.000000
1696389341.452,30248960.000000
1696389351.455,30285824.000000
1696389361.451,30265344.000000
1696389371.452,30261248.000000
1696389381.451,30261248.000000
1696389391.452,30261248.000000
1696389401.453,30261248.000000
1696389411.451,30261248.000000
1696389421.453,30261248.000000
1696389431.451,30261248.000000
1696389441.451,30261248.000000
1696389451.451,30261248.000000
1696389461.452,30285824.000000
1696389471.451,30302208.000000
1696389481.453,30302208.000000
1696389491.453,30277632.000000
1696389501.451,30277632.000000
1696389511.452,30277632.000000
1696389521.454,30273536.000000
1696389531.453,30273536.000000
1696389541.455,30273536.000000
1696389551.455,30273536.000000
1696389561.454,30273536.000000
1696389571.456,30273536.000000
1696389581.451,30306304.000000
1696389591.456,30285824.000000
1696389601.451,30306304.000000
1696389611.466,30277632.000000
1696389621.457,30277632.000000
1696389631.451,30277632.000000
1696389641.451,30277632.000000
1696389651.457,30277632.000000
1696389661.458,30277632.000000
1696389671.462,30277632.000000
1696389681.470,30277632.000000
1696389691.455,30277632.000000
1696389701.451,30281728.000000
1696389711.457,30318592.000000
1696389721.453,30306304.000000
1696389731.456,30306304.000000
1696389741.451,30298112.000000
1696389751.451,30298112.000000
1696389761.451,30298112.000000
1696389771.452,30298112.000000
1696389781.453,30289920.000000
1696389791.451,30289920.000000
1696389801.451,30289920.000000
1696389811.452,30298112.000000
1696389821.452,30298112.000000
1696389831.451,30334976.000000
1696389841.452,30318592.000000
1696389851.454,30302208.000000
1696389861.453,30302208.000000
1696389871.451,30302208.000000
1696389881.451,30302208.000000
1696389891.451,30302208.000000
1696389901.451,30302208.000000
1696389911.451,30302208.000000
1696389921.451,30302208.000000
1696389931.454,30302208.000000
1696389941.452,30310400.000000
1696389951.453,30339072.000000
1696389961.452,30351360.000000
1696389971.451,30310400.000000
1696389981.455,30310400.000000
1696389991.454,30310400.000000
1696390001.451,30310400.000000
1696390011.455,30310400.000000
1696390021.471,30310400.000000
1696390031.453,30310400.000000
1696390041.455,30310400.000000
1696390051.456,30310400.000000
1696390061.451,30318592.000000
1696390071.453,30355456.000000
1696390081.453,30326784.000000
1696390091.451,30326784.000000
1696390101.451,30326784.000000
1696390111.451,30326784.000000
1696390121.452,30326784.000000
1696390131.451,30326784.000000
1696390141.462,30326784.000000
1696390151.457,30334976.000000
1696390161.451,30334976.000000
