epoch,value
1696389211.485,9416704.000000
1696389221.451,9490432.000000
1696389231.451,9515008.000000
1696389241.452,9510912.000000
1696389251.452,9506816.000000
1696389261.453,9506816.000000
1696389271.451,9498624.000000
1696389281.451,9498624.000000
1696389291.452,9498624.000000
1696389301.453,9498624.000000
1696389311.452,9498624.000000
1696389321.452,9498624.000000
1696389331.451,9498624.000000
1696389341.452,9519104.000000
1696389351.455,9519104.000000
1696389361.451,9515008.000000
1696389371.452,9502720.000000
1696389381.451,9502720.000000
1696389391.452,9502720.000000
1696389401.453,9502720.000000
1696389411.451,9502720.000000
1696389421.453,9502720.000000
1696389431.451,9502720.000000
1696389441.451,9502720.000000
1696389451.451,9502720.000000
1696389461.452,9523200.000000
1696389471.451,9527296.000000
1696389481.453,9523200.000000
1696389491.453,9506816.000000
1696389501.451,9506816.000000
1696389511.452,9506816.000000
1696389521.454,9506816.000000
1696389531.453,9506816.000000
1696389541.455,9506816.000000
1696389551.455,9506816.000000
1696389561.454,9506816.000000
1696389571.456,9506816.000000
1696389581.451,9539584.000000
1696389591.456,9527296.000000
1696389601.451,9531392.000000
1696389611.466,9531392.000000
1696389621.457,9519104.000000
1696389631.451,9515008.000000
1696389641.451,9515008.000000
1696389651.457,9515008.000000
1696389661.458,9515008.000000
1696389671.462,9515008.000000
1696389681.470,9515008.000000
1696389691.455,9515008.000000
1696389701.451,9535488.000000
1696389711.457,9539584.000000
1696389721.453,9523200.000000
1696389731.456,9523200.000000
1696389741.451,9515008.000000
1696389751.451,9515008.000000
1696389761.451,9515008.000000
1696389771.452,9515008.000000
1696389781.453,9519104.000000
1696389791.451,9515008.000000
1696389801.451,9515008.000000
1696389811.452,9510912.000000
1696389821.452,9531392.000000
1696389831.451,9527296.000000
1696389841.452,9527296.000000
1696389851.454,9519104.000000
1696389861.453,9515008.000000
1696389871.451,9515008.000000
1696389881.451,9515008.000000
1696389891.451,9515008.000000
1696389901.451,9510912.000000
1696389911.451,9510912.000000
1696389921.451,9510912.000000
1696389931.454,9510912.000000
1696389941.452,9531392.000000
1696389951.453,9531392.000000
1696389961.452,9543680.000000
1696389971.451,9519104.000000
1696389981.455,9519104.000000
1696389991.454,9515008.000000
1696390001.451,9515008.000000
1696390011.455,9515008.000000
1696390021.471,9515008.000000
1696390031.453,9515008.000000
1696390041.455,9515008.000000
1696390051.456,9515008.000000
1696390061.451,9531392.000000
1696390071.453,9527296.000000
1696390081.453,9531392.000000
1696390091.451,9515008.000000
1696390101.451,9515008.000000
1696390111.451,9515008.000000
1696390121.452,9515008.000000
1696390131.451,9515008.000000
1696390141.462,9515008.000000
1696390151.457,9515008.000000
1696390161.451,9515008.000000
1696390171.456,9515008.000000
1696390181.461,9551872.000000
1696390191.460,9551872.000000
1696390201.457,9555968.000000
1696390211.455,9535488.000000
1696390221.452,9535488.000000
1696390231.456,9535488.000000
1696390241.460,9535488.000000
1696390251.462,9531392.000000
1696390261.459,9527296.000000
1696390271.451,9527296.000000
1696390281.453,9531392.000000
1696390291.452,9531392.000000
1696390301.453,9547776.000000
1696390311.451,9555968.000000
1696390321.452,9551872.000000
1696390331.452,9547776.000000
1696390341.451,9535488.000000
1696390351.455,9535488.000000
1696390361.452,9535488.000000
1696390371.452,9535488.000000
1696390381.453,9535488.000000
1696390391.452,9535488.000000
1696390401.452,9539584.000000
1696390411.454,9539584.000000
1696390421.465,9555968.000000
1696390431.462,9555968.000000
1696390441.458,9551872.000000
1696390451.454,9551872.000000
1696390461.453,9551872.000000
1696390471.459,9535488.000000
1696390481.451,9535488.000000
1696390491.452,9535488.000000
1696390501.456,9535488.000000
1696390511.451,9535488.000000
1696390521.451,9535488.000000
1696390531.451,9535488.000000
1696390541.451,9551872.000000
1696390551.458,9564160.000000
1696390561.451,9572352.000000
1696390571.462,9572352.000000
1696390581.452,9564160.000000
1696390591.453,9560064.000000
1696390601.455,9555968.000000
1696390611.451,9555968.000000
1696390621.451,9555968.000000
1696390631.456,9551872.000000
1696390641.451,9551872.000000
1696390651.452,9551872.000000
1696390661.455,9564160.000000
1696390671.454,9568256.000000
1696390681.452,9568256.000000
1696390691.456,9551872.000000
1696390701.459,9551872.000000
1696390711.454,9551872.000000
1696390721.451,9551872.000000
1696390731.453,9551872.000000
