epoch,value
1696389211.485,106250240.000000
1696389221.451,107102208.000000
1696389231.451,107307008.000000
1696389241.452,106680320.000000
1696389251.452,106684416.000000
1696389261.453,106684416.000000
1696389271.451,106565632.000000
1696389281.451,106569728.000000
1696389291.452,106569728.000000
1696389301.453,106569728.000000
1696389311.452,106569728.000000
1696389321.452,106569728.000000
1696389331.451,110084096.000000
1696389341.452,107438080.000000
1696389351.455,107429888.000000
1696389361.451,106876928.000000
1696389371.452,106766336.000000
1696389381.451,106766336.000000
1696389391.452,106766336.000000
1696389401.453,106647552.000000
1696389411.451,106774528.000000
1696389421.453,106770432.000000
1696389431.451,106643456.000000
1696389441.451,106643456.000000
1696389451.451,106643456.000000
1696389461.452,107831296.000000
1696389471.451,107212800.000000
1696389481.453,107536384.000000
1696389491.453,106971136.000000
1696389501.451,106971136.000000
1696389511.452,106971136.000000
1696389521.454,144666624.000000
1696389531.453,199647232.000000
1696389541.455,207249408.000000
1696389551.455,207880192.000000
1696389561.454,198438912.000000
1696389571.456,206057472.000000
1696389581.451,208896000.000000
1696389591.456,196579328.000000
1696389601.451,202444800.000000
1696389611.466,207843328.000000
1696389621.457,208371712.000000
1696389631.451,195678208.000000
1696389641.451,202407936.000000
1696389651.457,207486976.000000
1696389661.458,207486976.000000
1696389671.462,198344704.000000
1696389681.470,204439552.000000
1696389691.455,207360000.000000
1696389701.451,195383296.000000
1696389711.457,201326592.000000
1696389721.453,207147008.000000
1696389731.456,112324608.000000
1696389741.451,197758976.000000
1696389751.451,202584064.000000
1696389761.451,207536128.000000
1696389771.452,145641472.000000
1696389781.453,199532544.000000
1696389791.451,206647296.000000
1696389801.451,207663104.000000
1696389811.452,196743168.000000
1696389821.452,204283904.000000
1696389831.451,208465920.000000
1696389841.452,147329024.000000
1696389851.454,199954432.000000
1696389861.453,206688256.000000
1696389871.451,208084992.000000
1696389881.451,107229184.000000
1696389891.451,107175936.000000
1696389901.451,107106304.000000
1696389911.451,107106304.000000
1696389921.451,107098112.000000
1696389931.454,106971136.000000
1696389941.452,107782144.000000
1696389951.453,107483136.000000
1696389961.452,107909120.000000
1696389971.451,107106304.000000
1696389981.455,107106304.000000
1696389991.454,107184128.000000
1696390001.451,107110400.000000
1696390011.455,107122688.000000
1696390021.471,107220992.000000
1696390031.453,107229184.000000
1696390041.455,107229184.000000
1696390051.456,107175936.000000
1696390061.451,107630592.000000
