epoch,value
1699755291.093,nan
1699755301.093,2.100018
1699755311.093,0.599999
1699755321.093,1.299995
1699755331.093,2.499992
1699755341.093,1.900001
1699755351.093,1.900000
1699755361.093,3.100006
1699755371.093,0.699997
1699755381.093,0.500004
1699755391.093,1.799989
1699755401.093,1.400006
1699755411.093,0.900000
1699755421.093,1.899998
1699755431.093,0.500002
1699755441.094,2.499907
1699755451.094,3.899924
1699755461.094,3.300113
1699755471.093,1.800027
1699755481.093,2.199998
1699755491.093,2.299991
1699755501.093,0.600009
1699755511.093,0.299997
1699755521.093,2.299996
1699755531.093,0.400001
1699755541.093,0.400002
1699755551.093,1.399995
1699755561.093,0.400001
1699755571.093,0.500001
1699755581.093,2.599966
1699755591.094,3.099917
1699755601.093,2.000052
1699755611.095,4.599338
1699755621.093,2.900431
1699755631.093,0.699998
1699755641.093,2.600026
1699755651.093,0.500005
1699755661.093,0.799990
1699755671.094,2.299878
1699755681.093,0.900042
1699755691.093,0.600006
1699755701.093,1.099997
1699755711.093,2.799979
1699755721.093,1.900015
1699755731.093,0.399998
1699755741.093,1.800008
1699755751.093,0.300000
1699755761.093,0.999995
1699755771.093,2.100002
1699755781.093,0.299998
1699755791.093,1.000022
1699755801.093,1.499979
1699755811.093,0.700001
1699755821.093,1.599997
1699755831.093,3.899976
1699755841.093,1.400001
1699755851.093,0.799997
1699755861.094,5.399840
1699755871.093,3.300080
1699755881.093,2.700005
1699755891.094,4.899974
1699755901.094,2.999934
1699755911.094,2.699994
1699755921.094,6.599748
1699755931.094,8.200206
1699755941.094,5.300085
1699755951.094,2.100008
1699755961.094,6.199925
1699755971.093,2.900096
1699755981.093,2.400000
1699755991.094,3.699910
1699756001.093,0.000000
1699756011.094,2.799927
1699756021.093,1.200034
1699756031.096,8.598166
1699756041.094,0.800148
1699756051.093,5.700168
1699756061.094,0.100000
1699756071.093,1.000004
1699756081.094,0.999953
1699756091.093,1.100049
1699756101.094,1.199968
1699756111.094,1.400034
1699756121.094,3.099911
1699756131.093,10.000321
1699756141.093,2.599996
1699756151.094,2.799932
1699756161.093,2.700074
1699756171.094,2.799923
1699756181.094,5.000116
1699756191.093,3.500040
1699756201.093,2.200016
1699756211.093,2.199992
1699756221.093,0.499997
1699756231.093,0.699999
1699756241.093,2.300004
1699756251.093,1.000009
1699756261.093,0.399997
1699756271.093,2.799998
1699756281.093,0.500003
1699756291.093,0.800001
1699756301.094,1.999893
1699756311.094,6.200087
1699756321.094,0.700015
1699756331.093,0.400001
1699756341.094,1.999958
1699756351.093,2.100057
1699756361.093,2.299987
1699756371.094,4.599895
1699756381.093,3.100076
1699756391.093,1.599994
1699756401.093,3.300006
1699756411.093,2.500004
1699756421.093,4.299995
1699756431.094,5.899867
1699756441.093,3.400079
1699756451.093,0.600000
1699756461.094,3.499813
1699756471.094,3.000076
1699756481.094,3.800023
1699756491.094,2.499980
1699756501.094,3.600031
1699756511.093,2.200045
1699756521.094,1.999955
1699756531.094,3.899995
1699756541.094,2.400002
1699756551.094,2.500002
1699756561.094,5.199988
1699756571.093,3.000075
1699756581.094,2.999988
1699756591.094,3.999999
1699756601.093,3.700029
1699756611.094,2.199926
1699756621.094,4.400028
1699756631.094,2.099985
1699756641.093,3.000091
1699756651.094,4.099849
1699756661.093,4.800166
1699756671.093,1.500003
1699756681.093,2.299996
1699756691.093,2.500010
1699756701.093,2.299998
1699756711.093,3.299994
1699756721.094,1.999951
1699756731.094,1.800006
1699756741.094,2.600039
1699756751.094,4.099993
1699756761.094,2.099948
1699756771.093,3.400124
1699756781.094,1.899951
1699756791.093,0.300006
1699756801.094,1.899941
1699756811.093,2.900125
1699756821.093,1.100001
1699756831.093,0.500001
1699756841.095,1.099855
1699756851.093,2.100257
1699756861.093,0.700000
1699756871.093,0.800004
1699756881.093,2.600001
1699756891.093,0.799995
1699756901.093,1.400015
1699756911.093,2.699989
1699756921.093,1.300007
1699756931.093,1.099999
1699756941.093,1.799999
1699756951.093,0.599992
1699756961.093,0.700006
1699756971.093,2.500010
1699756981.093,1.200000
1699756991.093,0.500001
1699757001.093,2.499999
1699757011.093,0.300000
1699757021.093,2.300003
1699757031.093,2.299987
1699757041.093,2.400003
1699757051.093,0.500002
1699757061.093,2.299963
