epoch,value
1699755291.093,nan
1699755301.093,2.000017
1699755311.093,0.299999
1699755321.093,0.499999
1699755331.093,2.199990
1699755341.093,1.400002
1699755351.093,1.099997
1699755361.093,9.200039
1699755371.093,0.799999
1699755381.093,0.400002
1699755391.093,7.999958
1699755401.093,0.100000
1699755411.093,0.700002
1699755421.093,4.299989
1699755431.093,0.600001
1699755441.094,46.698337
1699755451.094,62.998938
1699755461.093,68.902074
1699755471.093,45.400770
1699755481.093,0.999998
1699755491.093,2.300005
1699755501.093,0.100001
1699755511.093,0.599996
1699755521.093,3.499979
1699755531.093,0.900002
1699755541.093,0.400002
1699755551.093,7.999966
1699755561.093,0.800003
1699755571.093,0.900001
1699755581.093,3.499955
1699755591.094,11.199699
1699755601.093,55.201430
1699755611.095,68.490442
1699755621.093,67.209659
1699755631.093,16.299943
1699755641.093,19.900258
1699755651.093,0.400004
1699755661.093,0.399995
1699755671.094,6.899640
1699755681.093,1.500069
1699755691.093,0.400004
1699755701.093,0.799998
1699755711.093,7.799942
1699755721.093,1.100010
1699755731.093,0.199999
1699755741.093,8.100026
1699755751.093,0.100000
1699755761.093,2.299989
1699755771.093,2.100005
1699755781.093,0.399996
1699755791.093,0.200004
1699755801.093,8.499893
1699755811.093,0.200001
1699755821.093,1.799997
1699755831.093,3.499974
1699755841.093,1.500001
1699755851.093,0.799996
1699755861.094,13.899626
1699755871.093,68.801546
1699755881.093,55.400188
1699755891.093,59.499614
1699755901.094,81.398342
1699755911.094,82.299776
1699755921.094,92.396319
1699755931.094,96.002322
1699755941.094,98.601920
1699755951.094,53.100054
1699755961.094,38.299572
1699755971.093,62.402004
1699755981.093,58.099952
1699755991.094,27.999334
1699756001.093,1.200030
1699756011.094,53.298704
1699756021.093,39.501031
1699756031.095,64.787535
1699756041.094,31.905255
1699756051.093,53.101571
1699756061.093,3.199992
1699756071.093,28.100062
1699756081.094,24.698809
1699756091.093,30.801402
1699756101.094,37.898904
1699756111.093,38.000939
1699756121.094,23.499365
1699756131.093,95.503003
1699756141.093,94.299908
1699756151.094,79.498031
1699756161.093,92.102470
1699756171.094,98.797226
1699756181.093,67.601639
1699756191.093,11.100188
1699756201.093,1.100001
1699756211.093,8.299959
1699756221.093,0.700001
1699756231.093,0.499999
1699756241.093,7.700002
1699756251.093,0.300001
1699756261.093,0.500000
1699756271.093,3.099979
1699756281.093,0.700004
1699756291.093,0.300000
1699756301.094,1.299929
1699756311.094,49.000701
1699756321.093,6.600147
1699756331.093,5.300019
1699756341.094,58.798820
1699756351.093,69.601768
1699756361.093,60.699669
1699756371.094,83.098068
1699756381.093,95.902459
1699756391.093,67.099758
1699756401.093,79.500103
1699756411.093,98.500120
1699756421.093,98.499909
1699756431.094,38.499084
1699756441.093,71.601663
1699756451.093,23.700017
1699756461.094,96.094825
1699756471.094,94.902438
1699756481.094,80.600406
1699756491.094,69.799667
1699756501.094,92.400554
1699756511.093,78.401619
1699756521.094,44.599031
1699756531.094,94.499981
1699756541.094,52.100019
1699756551.094,34.599969
1699756561.094,96.799768
1699756571.093,91.602346
1699756581.093,82.099669
1699756591.093,96.600063
1699756601.093,99.700701
1699756611.094,63.697959
1699756621.094,72.600289
1699756631.094,62.599798
1699756641.093,99.502726
1699756651.094,98.396408
1699756661.093,84.602877
1699756671.093,9.700024
1699756681.093,46.999895
1699756691.093,82.500274
1699756701.093,68.799974
1699756711.093,99.200056
1699756721.094,40.498956
1699756731.094,50.600149
1699756741.093,77.501268
1699756751.094,46.399890
1699756761.094,68.098411
1699756771.093,76.002598
1699756781.094,19.899537
1699756791.093,7.700139
1699756801.094,43.298677
1699756811.093,8.200339
1699756821.093,0.600004
1699756831.093,0.100000
1699756841.095,0.699916
1699756851.093,1.900211
1699756861.093,0.400000
1699756871.093,0.700004
1699756881.093,1.700001
1699756891.093,0.300001
1699756901.093,2.100004
1699756911.093,9.499962
1699756921.093,1.600010
1699756931.093,4.299988
1699756941.093,1.900001
1699756951.093,0.300000
1699756961.093,0.800000
1699756971.093,2.699990
1699756981.093,0.300001
1699756991.093,0.200000
1699757001.093,2.299996
1699757011.093,0.400000
1699757021.093,2.000002
1699757031.093,9.099952
1699757041.093,1.400001
1699757051.093,0.700004
1699757061.093,6.199908
