epoch,shortterm,midterm,longterm
1699755281.144,0.700000,1.030000,0.930000
1699755291.102,0.750000,1.030000,0.930000
1699755301.100,0.790000,1.020000,0.930000
1699755311.103,0.820000,1.020000,0.930000
1699755321.101,0.850000,1.020000,0.930000
1699755331.102,0.870000,1.020000,0.930000
1699755341.101,0.890000,1.020000,0.930000
1699755351.104,0.910000,1.020000,0.930000
1699755361.102,0.920000,1.020000,0.930000
1699755371.100,0.940000,1.020000,0.930000
1699755381.101,0.950000,1.020000,0.940000
1699755391.099,0.950000,1.020000,0.940000
1699755401.106,0.960000,1.010000,0.940000
1699755411.101,0.970000,1.010000,0.940000
1699755421.104,1.050000,1.030000,0.940000
1699755431.100,1.040000,1.030000,0.950000
1699755441.108,1.190000,1.060000,0.960000
1699755451.099,1.320000,1.090000,0.970000
1699755461.104,1.420000,1.120000,0.980000
1699755471.101,1.430000,1.130000,0.990000
1699755481.100,1.360000,1.130000,0.990000
1699755491.099,1.310000,1.120000,0.990000
1699755501.108,1.260000,1.120000,0.990000
1699755511.101,1.220000,1.120000,0.990000
1699755521.105,1.180000,1.110000,0.990000
1699755531.103,1.160000,1.110000,0.990000
1699755541.101,1.130000,1.100000,0.990000
1699755551.100,1.180000,1.120000,1.000000
1699755561.100,1.160000,1.110000,1.000000
1699755571.100,1.130000,1.110000,1.000000
1699755581.100,1.180000,1.120000,1.000000
1699755591.104,1.240000,1.130000,1.010000
1699755601.100,1.350000,1.160000,1.020000
1699755611.103,1.450000,1.190000,1.030000
1699755621.099,1.540000,1.220000,1.040000
1699755631.104,1.610000,1.240000,1.050000
1699755641.101,1.590000,1.250000,1.060000
1699755651.100,1.500000,1.240000,1.060000
1699755661.102,1.420000,1.230000,1.060000
1699755671.119,1.440000,1.240000,1.060000
1699755681.100,1.370000,1.240000,1.060000
1699755691.100,1.310000,1.230000,1.060000
1699755701.102,1.260000,1.220000,1.060000
1699755711.101,1.220000,1.210000,1.060000
1699755721.100,1.190000,1.200000,1.060000
1699755731.104,1.160000,1.200000,1.050000
1699755741.103,1.130000,1.190000,1.050000
1699755751.102,1.110000,1.180000,1.050000
1699755761.100,1.100000,1.180000,1.050000
1699755771.100,1.080000,1.170000,1.050000
1699755781.104,1.070000,1.160000,1.050000
1699755791.100,1.060000,1.160000,1.050000
1699755801.099,1.120000,1.170000,1.050000
1699755811.103,1.100000,1.160000,1.050000
1699755821.103,1.090000,1.160000,1.050000
1699755831.101,1.070000,1.150000,1.050000
1699755841.100,1.060000,1.150000,1.050000
1699755851.102,1.050000,1.140000,1.050000
1699755861.099,1.120000,1.150000,1.050000
1699755871.103,1.260000,1.180000,1.060000
1699755881.103,1.370000,1.210000,1.080000
1699755891.100,1.470000,1.240000,1.090000
1699755901.102,1.550000,1.260000,1.100000
1699755911.105,1.620000,1.290000,1.110000
1699755921.105,1.760000,1.330000,1.120000
1699755931.106,1.800000,1.350000,1.130000
1699755941.106,1.830000,1.370000,1.140000
1699755951.108,1.860000,1.390000,1.150000
1699755961.115,1.880000,1.410000,1.160000
1699755971.107,1.900000,1.430000,1.170000
1699755981.099,1.910000,1.450000,1.180000
1699755991.104,1.930000,1.470000,1.190000
1699756001.099,1.940000,1.490000,1.200000
1699756011.101,1.950000,1.510000,1.210000
1699756021.107,2.030000,1.540000,1.220000
1699756031.099,2.030000,1.550000,1.220000
1699756041.101,2.020000,1.560000,1.230000
1699756051.100,2.020000,1.580000,1.240000
1699756061.104,2.100000,1.610000,1.260000
1699756071.099,2.080000,1.620000,1.270000
1699756081.103,2.440000,1.720000,1.300000
1699756091.099,2.520000,1.760000,1.320000
1699756101.113,2.440000,1.770000,1.330000
1699756111.107,2.370000,1.770000,1.330000
1699756121.100,2.310000,1.780000,1.340000
1699756131.099,2.260000,1.790000,1.350000
1699756141.100,2.220000,1.800000,1.360000
1699756151.111,2.190000,1.800000,1.370000
1699756161.100,2.160000,1.810000,1.370000
1699756171.112,2.130000,1.820000,1.380000
1699756181.099,2.190000,1.840000,1.390000
1699756191.101,2.080000,1.830000,1.390000
1699756201.104,1.920000,1.800000,1.390000
1699756211.099,1.770000,1.780000,1.380000
1699756221.102,1.650000,1.750000,1.380000
1699756231.101,1.550000,1.720000,1.370000
1699756241.100,1.470000,1.700000,1.370000
1699756251.100,1.400000,1.680000,1.360000
1699756261.099,1.330000,1.650000,1.360000
1699756271.100,1.280000,1.630000,1.360000
1699756281.100,1.240000,1.610000,1.350000
1699756291.101,1.200000,1.590000,1.350000
1699756301.100,1.170000,1.570000,1.340000
1699756311.107,1.370000,1.600000,1.360000
1699756321.100,1.470000,1.610000,1.360000
1699756331.101,1.620000,1.640000,1.380000
1699756341.104,1.680000,1.660000,1.380000
1699756351.101,1.730000,1.670000,1.390000
1699756361.102,1.770000,1.680000,1.400000
1699756371.127,1.810000,1.690000,1.400000
