epoch,value
1699755281.134,152694784.000000
1699755291.101,153018368.000000
1699755301.101,153083904.000000
1699755311.103,153133056.000000
1699755321.101,153133056.000000
1699755331.105,153133056.000000
1699755341.102,153133056.000000
1699755351.106,153133056.000000
1699755361.101,153137152.000000
1699755371.101,153137152.000000
1699755381.101,153137152.000000
1699755391.101,153141248.000000
1699755401.104,153141248.000000
1699755411.101,153137152.000000
1699755421.101,153141248.000000
1699755431.101,153149440.000000
1699755441.109,152936448.000000
1699755451.109,152936448.000000
1699755461.103,152936448.000000
1699755471.102,152981504.000000
1699755481.101,152985600.000000
1699755491.104,153038848.000000
1699755501.104,153038848.000000
1699755511.101,153018368.000000
1699755521.101,153038848.000000
1699755531.101,153030656.000000
1699755541.101,152985600.000000
1699755551.103,152985600.000000
1699755561.101,152985600.000000
1699755571.101,152985600.000000
1699755581.101,152985600.000000
1699755591.102,153124864.000000
1699755601.101,153124864.000000
1699755611.101,153124864.000000
1699755621.101,153100288.000000
1699755631.107,153100288.000000
1699755641.105,153157632.000000
1699755651.101,153157632.000000
1699755661.103,153157632.000000
1699755671.101,153161728.000000
1699755681.101,153161728.000000
1699755691.101,153161728.000000
1699755701.101,153161728.000000
1699755711.102,153165824.000000
1699755721.101,153169920.000000
1699755731.101,153169920.000000
1699755741.102,153169920.000000
1699755751.101,153169920.000000
1699755761.103,153587712.000000
1699755771.101,153587712.000000
1699755781.102,153587712.000000
1699755791.101,153587712.000000
1699755801.104,153587712.000000
1699755811.102,153587712.000000
1699755821.101,153587712.000000
1699755831.103,153591808.000000
1699755841.102,153591808.000000
1699755851.101,153591808.000000
1699755861.102,153706496.000000
1699755871.101,153726976.000000
1699755881.101,153726976.000000
1699755891.101,153726976.000000
1699755901.107,153726976.000000
1699755911.101,153726976.000000
1699755921.110,152944640.000000
1699755931.101,137412608.000000
1699755941.104,137592832.000000
1699755951.102,137596928.000000
1699755961.116,134103040.000000
1699755971.103,134103040.000000
1699755981.118,134103040.000000
1699755991.106,134103040.000000
1699756001.101,134103040.000000
1699756011.102,134103040.000000
1699756021.101,134103040.000000
1699756031.101,120373248.000000
1699756041.101,120373248.000000
1699756051.101,118263808.000000
1699756061.103,118267904.000000
1699756071.103,118267904.000000
1699756081.101,118276096.000000
1699756091.103,118272000.000000
1699756101.111,118272000.000000
1699756111.102,118272000.000000
1699756121.101,118272000.000000
1699756131.101,105619456.000000
1699756141.110,105619456.000000
1699756151.101,106037248.000000
1699756161.114,106037248.000000
1699756171.101,106016768.000000
1699756181.109,106086400.000000
1699756191.101,106225664.000000
1699756201.101,106229760.000000
1699756211.102,106229760.000000
1699756221.102,106229760.000000
1699756231.101,106229760.000000
1699756241.104,106233856.000000
1699756251.104,106217472.000000
1699756261.102,106270720.000000
1699756271.101,106237952.000000
1699756281.101,106237952.000000
1699756291.101,106237952.000000
1699756301.102,106242048.000000
1699756311.106,106373120.000000
1699756321.101,106377216.000000
1699756331.123,106377216.000000
1699756341.101,106377216.000000
1699756351.101,106377216.000000
1699756361.101,106377216.000000
1699756371.101,106377216.000000
1699756381.113,106377216.000000
1699756391.111,106377216.000000
1699756401.102,106401792.000000
1699756411.103,106381312.000000
1699756421.101,106385408.000000
1699756431.101,106385408.000000
1699756441.101,106389504.000000
1699756451.101,106389504.000000
1699756461.101,106393600.000000
1699756471.101,106393600.000000
1699756481.104,106397696.000000
1699756491.103,106397696.000000
1699756501.106,106401792.000000
1699756511.101,106401792.000000
1699756521.102,106401792.000000
1699756531.101,106450944.000000
1699756541.107,106500096.000000
1699756551.108,106504192.000000
1699756561.113,106582016.000000
1699756571.103,106582016.000000
1699756581.103,106582016.000000
1699756591.112,106586112.000000
1699756601.117,106622976.000000
1699756611.107,106631168.000000
1699756621.108,106659840.000000
1699756631.108,106659840.000000
1699756641.111,106659840.000000
1699756651.101,106663936.000000
1699756661.108,106668032.000000
1699756671.101,106672128.000000
1699756681.110,106672128.000000
1699756691.102,106676224.000000
1699756701.101,106676224.000000
1699756711.102,106676224.000000
1699756721.107,106676224.000000
1699756731.111,106676224.000000
1699756741.103,106676224.000000
1699756751.102,106676224.000000
1699756761.108,106676224.000000
1699756771.106,106680320.000000
1699756781.102,106680320.000000
1699756791.102,106684416.000000
1699756801.102,106684416.000000
1699756811.101,106762240.000000
1699756821.101,106762240.000000
1699756831.101,106762240.000000
1699756841.101,106762240.000000
1699756851.101,106762240.000000
1699756861.102,106762240.000000
1699756871.102,106762240.000000
1699756881.101,106762240.000000
1699756891.103,106762240.000000
1699756901.102,106766336.000000
1699756911.102,106770432.000000
1699756921.103,106790912.000000
1699756931.101,108023808.000000
1699756941.102,108019712.000000
1699756951.101,107999232.000000
1699756961.101,108003328.000000
1699756971.101,108027904.000000
1699756981.103,108040192.000000
1699756991.101,108118016.000000
1699757001.101,108167168.000000
1699757011.102,108167168.000000
1699757021.101,108175360.000000
1699757031.101,108175360.000000
1699757041.101,108179456.000000
1699757051.104,108179456.000000
1699757061.101,108179456.000000
