epoch,value
1699755281.134,124919808.000000
1699755291.101,124551168.000000
1699755301.101,124002304.000000
1699755311.103,123867136.000000
1699755321.101,123867136.000000
1699755331.105,123748352.000000
1699755341.102,123539456.000000
1699755351.106,123285504.000000
1699755361.101,123564032.000000
1699755371.101,123564032.000000
1699755381.101,123564032.000000
1699755391.101,123707392.000000
1699755401.104,123707392.000000
1699755411.101,123580416.000000
1699755421.101,123834368.000000
1699755431.101,123834368.000000
1699755441.109,34750464.000000
1699755451.109,25432064.000000
1699755461.103,22216704.000000
1699755471.102,122417152.000000
1699755481.101,123355136.000000
1699755491.104,123625472.000000
1699755501.104,123604992.000000
1699755511.101,123625472.000000
1699755521.101,123609088.000000
1699755531.101,123617280.000000
1699755541.101,123625472.000000
1699755551.103,123633664.000000
1699755561.101,123633664.000000
1699755571.101,123633664.000000
1699755581.101,122970112.000000
1699755591.102,115216384.000000
1699755601.101,114929664.000000
1699755611.101,115146752.000000
1699755621.101,115146752.000000
1699755631.107,115146752.000000
1699755641.105,123289600.000000
1699755651.101,123289600.000000
1699755661.103,123289600.000000
1699755671.101,119508992.000000
1699755681.101,123289600.000000
1699755691.101,123289600.000000
1699755701.101,122650624.000000
1699755711.102,122523648.000000
1699755721.101,122859520.000000
1699755731.101,122859520.000000
1699755741.102,123367424.000000
1699755751.101,123367424.000000
1699755761.103,123035648.000000
1699755771.101,123162624.000000
1699755781.102,123162624.000000
1699755791.101,123162624.000000
1699755801.104,123035648.000000
1699755811.102,123035648.000000
1699755821.101,122683392.000000
1699755831.103,122167296.000000
1699755841.102,122748928.000000
1699755851.101,122748928.000000
1699755861.102,65019904.000000
1699755871.101,53465088.000000
1699755881.101,35196928.000000
1699755891.101,30371840.000000
1699755901.107,25292800.000000
1699755911.101,20086784.000000
1699755921.110,13545472.000000
1699755931.101,5976064.000000
1699755941.104,5234688.000000
1699755951.102,4894720.000000
1699755961.116,8990720.000000
1699755971.103,9007104.000000
1699755981.118,9023488.000000
1699755991.106,9277440.000000
1699756001.101,9277440.000000
1699756011.102,9277440.000000
1699756021.101,9023488.000000
1699756031.101,7331840.000000
1699756041.101,7331840.000000
1699756051.101,9236480.000000
1699756061.103,8605696.000000
1699756071.103,8638464.000000
1699756081.101,5685248.000000
1699756091.103,8941568.000000
1699756101.111,8941568.000000
1699756111.102,8941568.000000
1699756121.101,9068544.000000
1699756131.101,13389824.000000
1699756141.110,13389824.000000
1699756151.101,12627968.000000
1699756161.114,12627968.000000
1699756171.101,12627968.000000
1699756181.109,11902976.000000
1699756191.101,198463488.000000
1699756201.101,198791168.000000
1699756211.102,199172096.000000
1699756221.102,199045120.000000
1699756231.101,199045120.000000
1699756241.104,199045120.000000
1699756251.104,199045120.000000
1699756261.102,199045120.000000
1699756271.101,199045120.000000
1699756281.101,199045120.000000
1699756291.101,199045120.000000
1699756301.102,196157440.000000
1699756311.106,185335808.000000
1699756321.101,182509568.000000
1699756331.123,182718464.000000
1699756341.101,182710272.000000
1699756351.101,182710272.000000
1699756361.101,182710272.000000
1699756371.101,182329344.000000
1699756381.113,182329344.000000
1699756391.111,182329344.000000
1699756401.102,182329344.000000
1699756411.103,182329344.000000
1699756421.101,181985280.000000
1699756431.101,181673984.000000
1699756441.101,181665792.000000
1699756451.101,182247424.000000
1699756461.101,178872320.000000
1699756471.101,182374400.000000
1699756481.104,182374400.000000
1699756491.103,182374400.000000
1699756501.106,182374400.000000
1699756511.101,182374400.000000
1699756521.102,182374400.000000
1699756531.101,182374400.000000
1699756541.107,181886976.000000
1699756551.108,181616640.000000
1699756561.113,181919744.000000
1699756571.103,181919744.000000
1699756581.103,181919744.000000
1699756591.112,182427648.000000
1699756601.117,182427648.000000
1699756611.107,182427648.000000
1699756621.108,182300672.000000
1699756631.108,182173696.000000
1699756641.111,182181888.000000
1699756651.101,179679232.000000
1699756661.108,181321728.000000
1699756671.101,181432320.000000
1699756681.110,182059008.000000
1699756691.102,181862400.000000
1699756701.101,181862400.000000
1699756711.102,181862400.000000
1699756721.107,181735424.000000
1699756731.111,181743616.000000
1699756741.103,181751808.000000
1699756751.102,181997568.000000
1699756761.108,181997568.000000
1699756771.106,181997568.000000
1699756781.102,180994048.000000
1699756791.102,181248000.000000
1699756801.102,181112832.000000
1699756811.101,198344704.000000
1699756821.101,198344704.000000
1699756831.101,198344704.000000
1699756841.101,197378048.000000
1699756851.101,198217728.000000
1699756861.102,198217728.000000
1699756871.102,198217728.000000
1699756881.101,198217728.000000
1699756891.103,198217728.000000
1699756901.102,197763072.000000
1699756911.102,197578752.000000
1699756921.103,198074368.000000
1699756931.101,196820992.000000
1699756941.102,197083136.000000
1699756951.101,197083136.000000
1699756961.101,196956160.000000
1699756971.101,196956160.000000
1699756981.103,196956160.000000
1699756991.101,196829184.000000
1699757001.101,196956160.000000
1699757011.102,196956160.000000
1699757021.101,196571136.000000
1699757031.101,195862528.000000
1699757041.101,196374528.000000
1699757051.104,196341760.000000
1699757061.101,196849664.000000
