epoch,value
1699755281.134,36585472.000000
1699755291.101,36626432.000000
1699755301.101,36659200.000000
1699755311.103,36659200.000000
1699755321.101,36659200.000000
1699755331.105,36651008.000000
1699755341.102,36712448.000000
1699755351.106,36716544.000000
1699755361.101,36691968.000000
1699755371.101,36691968.000000
1699755381.101,36691968.000000
1699755391.101,36675584.000000
1699755401.104,36675584.000000
1699755411.101,36675584.000000
1699755421.101,36675584.000000
1699755431.101,36675584.000000
1699755441.109,36675584.000000
1699755451.109,36675584.000000
1699755461.103,36700160.000000
1699755471.102,36716544.000000
1699755481.101,36712448.000000
1699755491.104,36696064.000000
1699755501.104,36696064.000000
1699755511.101,36696064.000000
1699755521.101,36712448.000000
1699755531.101,36712448.000000
1699755541.101,36712448.000000
1699755551.103,36696064.000000
1699755561.101,36696064.000000
1699755571.101,36696064.000000
1699755581.101,36737024.000000
1699755591.102,36728832.000000
1699755601.101,36728832.000000
1699755611.101,36712448.000000
1699755621.101,36712448.000000
1699755631.107,36712448.000000
1699755641.105,36712448.000000
1699755651.101,36712448.000000
1699755661.103,36712448.000000
1699755671.101,36720640.000000
1699755681.101,36704256.000000
1699755691.101,36704256.000000
1699755701.101,36728832.000000
1699755711.102,36745216.000000
1699755721.101,36728832.000000
1699755731.101,36728832.000000
1699755741.102,36728832.000000
1699755751.101,36728832.000000
1699755761.103,36728832.000000
1699755771.101,36728832.000000
1699755781.102,36728832.000000
1699755791.101,36728832.000000
1699755801.104,36728832.000000
1699755811.102,36728832.000000
1699755821.101,36765696.000000
1699755831.103,36769792.000000
1699755841.102,36741120.000000
1699755851.101,36741120.000000
1699755861.102,36749312.000000
1699755871.101,36749312.000000
1699755881.101,36749312.000000
1699755891.101,36741120.000000
1699755901.107,36741120.000000
1699755911.101,36741120.000000
1699755921.110,36749312.000000
1699755931.101,36757504.000000
1699755941.104,36757504.000000
1699755951.102,36757504.000000
1699755961.116,36790272.000000
1699755971.103,36753408.000000
1699755981.118,36753408.000000
1699755991.106,36753408.000000
1699756001.101,36753408.000000
1699756011.102,36753408.000000
1699756021.101,36753408.000000
1699756031.101,30502912.000000
1699756041.101,30502912.000000
1699756051.101,30371840.000000
1699756061.103,30388224.000000
1699756071.103,30388224.000000
1699756081.101,30404608.000000
1699756091.103,30380032.000000
1699756101.111,30380032.000000
1699756111.102,30380032.000000
1699756121.101,30371840.000000
1699756131.101,19914752.000000
1699756141.110,19914752.000000
1699756151.101,19914752.000000
1699756161.114,19914752.000000
1699756171.101,19914752.000000
1699756181.109,19931136.000000
1699756191.101,19922944.000000
1699756201.101,19922944.000000
1699756211.102,19914752.000000
1699756221.102,19914752.000000
1699756231.101,19914752.000000
1699756241.104,19914752.000000
1699756251.104,19914752.000000
1699756261.102,19914752.000000
1699756271.101,19914752.000000
1699756281.101,19914752.000000
1699756291.101,19914752.000000
1699756301.102,19914752.000000
1699756311.106,19939328.000000
1699756321.101,19939328.000000
1699756331.123,19931136.000000
1699756341.101,19931136.000000
1699756351.101,19931136.000000
1699756361.101,19931136.000000
1699756371.101,19931136.000000
1699756381.113,19931136.000000
1699756391.111,19931136.000000
1699756401.102,19931136.000000
1699756411.103,19931136.000000
1699756421.101,19931136.000000
1699756431.101,19947520.000000
1699756441.101,19922944.000000
1699756451.101,19922944.000000
1699756461.101,19922944.000000
1699756471.101,19922944.000000
1699756481.104,19922944.000000
1699756491.103,19922944.000000
1699756501.106,19922944.000000
1699756511.101,19922944.000000
1699756521.102,19922944.000000
1699756531.101,19922944.000000
1699756541.107,19922944.000000
1699756551.108,19939328.000000
1699756561.113,19935232.000000
1699756571.103,19935232.000000
1699756581.103,19935232.000000
1699756591.112,19935232.000000
1699756601.117,19939328.000000
1699756611.107,19939328.000000
1699756621.108,19939328.000000
1699756631.108,19939328.000000
1699756641.111,19939328.000000
1699756651.101,19939328.000000
1699756661.108,19931136.000000
1699756671.101,19947520.000000
1699756681.110,19939328.000000
1699756691.102,19939328.000000
1699756701.101,19939328.000000
1699756711.102,19939328.000000
1699756721.107,19939328.000000
1699756731.111,19939328.000000
1699756741.103,19939328.000000
1699756751.102,19939328.000000
1699756761.108,19939328.000000
1699756771.106,19939328.000000
1699756781.102,19947520.000000
1699756791.102,19939328.000000
1699756801.102,19947520.000000
1699756811.101,19922944.000000
1699756821.101,19922944.000000
1699756831.101,19922944.000000
1699756841.101,19922944.000000
1699756851.101,19922944.000000
1699756861.102,19922944.000000
1699756871.102,19922944.000000
1699756881.101,19922944.000000
1699756891.103,19922944.000000
1699756901.102,19922944.000000
1699756911.102,19939328.000000
1699756921.103,19931136.000000
1699756931.101,19935232.000000
1699756941.102,19927040.000000
1699756951.101,19927040.000000
1699756961.101,19927040.000000
1699756971.101,19931136.000000
1699756981.103,19931136.000000
1699756991.101,19935232.000000
1699757001.101,19939328.000000
1699757011.102,19939328.000000
1699757021.101,19963904.000000
1699757031.101,19963904.000000
1699757041.101,19939328.000000
1699757051.104,19939328.000000
1699757061.101,19939328.000000
