epoch,value
1699755281.134,117858304.000000
1699755291.101,117825536.000000
1699755301.101,118267904.000000
1699755311.103,118345728.000000
1699755321.101,118345728.000000
1699755331.105,118472704.000000
1699755341.102,118607872.000000
1699755351.106,118853632.000000
1699755361.101,118599680.000000
1699755371.101,118603776.000000
1699755381.101,118603776.000000
1699755391.101,118480896.000000
1699755401.104,118480896.000000
1699755411.101,118611968.000000
1699755421.101,118353920.000000
1699755431.101,118345728.000000
1699755441.109,207642624.000000
1699755451.109,216961024.000000
1699755461.103,220131328.000000
1699755471.102,119869440.000000
1699755481.101,118939648.000000
1699755491.104,118636544.000000
1699755501.104,118657024.000000
1699755511.101,118657024.000000
1699755521.101,118636544.000000
1699755531.101,118636544.000000
1699755541.101,118673408.000000
1699755551.103,118681600.000000
1699755561.101,118681600.000000
1699755571.101,118681600.000000
1699755581.101,119283712.000000
1699755591.102,126906368.000000
1699755601.101,127193088.000000
1699755611.101,127000576.000000
1699755621.101,127025152.000000
1699755631.107,127025152.000000
1699755641.105,118833152.000000
1699755651.101,118833152.000000
1699755661.103,118833152.000000
1699755671.101,122601472.000000
1699755681.101,118837248.000000
1699755691.101,118837248.000000
1699755701.101,119431168.000000
1699755711.102,119529472.000000
1699755721.101,119205888.000000
1699755731.101,119205888.000000
1699755741.102,118710272.000000
1699755751.101,118710272.000000
1699755761.103,118628352.000000
1699755771.101,118501376.000000
1699755781.102,118501376.000000
1699755791.101,118501376.000000
1699755801.104,118628352.000000
1699755811.102,118628352.000000
1699755821.101,118919168.000000
1699755831.103,119431168.000000
1699755841.102,118890496.000000
1699755851.101,118890496.000000
1699755861.102,176500736.000000
1699755871.101,188035072.000000
1699755881.101,206303232.000000
1699755891.101,211136512.000000
1699755901.107,216215552.000000
1699755911.101,221421568.000000
1699755921.110,229416960.000000
1699755931.101,253640704.000000
1699755941.104,254189568.000000
1699755951.102,254521344.000000
1699755961.116,253886464.000000
1699755971.103,253915136.000000
1699755981.118,253898752.000000
1699755991.106,253648896.000000
1699756001.101,253648896.000000
1699756011.102,253648896.000000
1699756021.101,253906944.000000
1699756031.101,279334912.000000
1699756041.101,279334912.000000
1699756051.101,279617536.000000
1699756061.103,280207360.000000
1699756071.103,280174592.000000
1699756081.101,283099136.000000
1699756091.103,279883776.000000
1699756101.111,279883776.000000
1699756111.102,279883776.000000
1699756121.101,279769088.000000
1699756131.101,305229824.000000
1699756141.110,305229824.000000
1699756151.101,305573888.000000
1699756161.114,305573888.000000
1699756171.101,305594368.000000
1699756181.109,306204672.000000
1699756191.101,119517184.000000
1699756201.101,119205888.000000
1699756211.102,118837248.000000
1699756221.102,118964224.000000
1699756231.101,118964224.000000
1699756241.104,118960128.000000
1699756251.104,118976512.000000
1699756261.102,118923264.000000
1699756271.101,118956032.000000
1699756281.101,118956032.000000
1699756291.101,118956032.000000
1699756301.102,121806848.000000
1699756311.106,132489216.000000
1699756321.101,135315456.000000
1699756331.123,135114752.000000
1699756341.101,135127040.000000
1699756351.101,135127040.000000
1699756361.101,135127040.000000
1699756371.101,135512064.000000
1699756381.113,135512064.000000
1699756391.111,135512064.000000
1699756401.102,135487488.000000
1699756411.103,135507968.000000
1699756421.101,135835648.000000
1699756431.101,136130560.000000
1699756441.101,136163328.000000
1699756451.101,135581696.000000
1699756461.101,138956800.000000
1699756471.101,135454720.000000
1699756481.104,135450624.000000
1699756491.103,135450624.000000
1699756501.106,135446528.000000
1699756511.101,135446528.000000
1699756521.102,135446528.000000
1699756531.101,135397376.000000
1699756541.107,135831552.000000
1699756551.108,136077312.000000
1699756561.113,135712768.000000
1699756571.103,135712768.000000
1699756581.103,135712768.000000
1699756591.112,135200768.000000
1699756601.117,135159808.000000
1699756611.107,135151616.000000
1699756621.108,135249920.000000
1699756631.108,135376896.000000
1699756641.111,135368704.000000
1699756651.101,137867264.000000
1699756661.108,136216576.000000
1699756671.101,136089600.000000
1699756681.110,135471104.000000
1699756691.102,135671808.000000
1699756701.101,135671808.000000
1699756711.102,135671808.000000
1699756721.107,135798784.000000
1699756731.111,135790592.000000
1699756741.103,135782400.000000
1699756751.102,135536640.000000
1699756761.108,135536640.000000
1699756771.106,135532544.000000
1699756781.102,136511488.000000
1699756791.102,136269824.000000
1699756801.102,136396800.000000
1699756811.101,119123968.000000
1699756821.101,119123968.000000
1699756831.101,119123968.000000
1699756841.101,120090624.000000
1699756851.101,119255040.000000
1699756861.102,119255040.000000
1699756871.102,119255040.000000
1699756881.101,119255040.000000
1699756891.103,119255040.000000
1699756901.102,119681024.000000
1699756911.102,119844864.000000
1699756921.103,119349248.000000
1699756931.101,119230464.000000
1699756941.102,118988800.000000
1699756951.101,119009280.000000
1699756961.101,119132160.000000
1699756971.101,119103488.000000
1699756981.103,119091200.000000
1699756991.101,119136256.000000
1699757001.101,118956032.000000
1699757011.102,118956032.000000
1699757021.101,119296000.000000
1699757031.101,120000512.000000
1699757041.101,119525376.000000
1699757051.104,119558144.000000
1699757061.101,119054336.000000
