epoch,value
1699759325.280,nan
1699759335.281,98.493210
1699759345.281,98.405054
1699759355.281,89.093679
1699759365.281,98.707369
1699759375.281,98.794957
1699759385.281,98.697703
1699759395.280,90.309001
1699759405.281,98.791603
1699759415.281,98.106238
1699759425.281,94.299749
1699759435.281,96.994518
1699759445.280,97.007549
1699759455.280,89.699195
1699759465.281,98.799085
1699759475.280,98.900475
1699759485.281,95.293433
1699759495.281,84.004115
1699759505.282,54.590915
1699759515.281,81.510670
1699759525.281,77.402237
1699759535.305,0.000000
1699759545.280,74.784921
1699759555.281,95.492343
1699759565.281,98.798278
1699759575.280,89.006650
1699759585.281,98.090726
1699759595.281,98.902248
1699759605.281,95.805861
1699759615.282,98.290929
1699759625.281,98.909672
1699759635.283,97.877047
1699759645.280,97.125290
1699759655.281,97.796536
1699759665.281,54.196018
1699759675.281,59.402352
1699759685.281,61.599257
1699759695.281,95.800100
1699759705.281,89.199075
1699759715.281,99.304745
1699759725.281,98.894859
1699759735.281,89.200513
1699759745.281,99.099961
1699759755.281,99.300051
1699759765.281,96.104978
1699759775.281,98.100469
1699759785.280,97.202030
1699759795.281,90.392372
1699759805.281,97.800839
1699759815.281,98.899874
1699759825.281,89.205020
1699759835.281,98.994678
1699759845.281,99.100614
1699759855.281,96.298583
1699759865.281,98.401266
1699759875.281,98.699797
1699759885.283,91.384328
1699759895.280,96.023606
1699759905.281,96.992235
1699759915.281,94.700618
1699759925.280,89.005442
1699759935.281,70.093695
1699759945.281,42.301266
1699759955.281,33.699697
1699759965.281,92.700528
1699759975.281,44.000543
1699759985.281,19.099591
1699759995.281,67.401790
1699760005.281,90.996675
1699760015.281,9.100098
1699760025.281,51.998696
1699760035.281,46.200839
1699760045.281,52.001246
1699760055.281,21.600593
1699760065.282,44.994920
1699760075.281,48.002880
1699760085.281,85.902656
1699760095.281,19.499809
1699760105.281,86.897810
1699760115.281,22.800200
1699760125.281,64.100755
1699760135.281,65.899185
1699760145.281,19.100381
1699760155.282,63.194944
1699760165.285,70.279657
1699760175.281,30.311374
1699760185.281,14.400027
1699760195.281,48.500554
1699760205.281,48.999740
1699760215.281,47.699955
1699760225.281,7.400139
1699760235.285,10.695490
1699760245.281,4.301792
1699760255.281,6.799807
1699760265.281,22.599828
1699760275.281,57.000145
1699760285.281,66.500735
1699760295.281,34.800118
1699760305.281,29.099775
1699760315.281,8.200039
1699760325.281,81.700971
1699760335.281,23.899582
1699760345.281,8.799849
1699760355.281,29.701167
1699760365.281,36.800395
1699760375.281,6.399517
1699760385.281,8.100297
1699760395.281,19.899612
1699760405.282,31.797725
1699760415.281,0.000000
1699760425.281,17.400429
1699760435.281,0.199988
1699760445.280,27.302943
1699760455.281,98.697304
1699760465.281,89.694209
1699760475.281,98.900120
1699760485.281,98.605097
1699760495.281,87.698554
1699760505.281,96.596477
1699760515.280,95.506612
1699760525.281,94.899416
1699760535.281,98.799680
1699760545.281,98.394654
1699760555.281,95.400034
1699760565.282,85.591768
1699760575.281,83.707560
1699760585.281,75.600471
1699760595.281,95.001976
1699760605.281,1.799977
1699760615.282,54.194726
1699760625.281,58.405301
1699760635.282,84.293541
1699760645.281,60.004994
1699760655.281,48.998992
1699760665.281,39.301770
1699760675.282,78.091370
1699760685.281,77.304733
1699760695.281,53.401614
1699760705.281,79.500030
1699760715.281,56.700859
1699760725.281,89.298778
1699760735.281,92.097815
1699760745.281,29.799184
1699760755.281,39.402139
1699760765.281,3.499950
1699760775.284,41.486040
1699760785.281,8.302869
1699760795.281,31.599911
1699760805.281,43.299471
1699760815.281,57.601769
1699760825.281,82.195216
1699760835.281,77.602782
1699760845.281,65.198583
1699760855.281,57.298777
1699760865.281,12.600547
1699760875.281,30.999665
1699760885.281,2.300017
1699760895.281,30.899720
1699760905.280,89.306630
1699760915.281,98.792957
1699760925.280,99.106563
1699760935.281,88.893585
1699760945.281,98.700602
1699760955.281,99.000708
1699760965.280,95.806338
1699760975.281,97.492662
1699760985.281,96.998463
1699760995.283,88.086045
1699761005.281,97.215675
1699761015.281,98.607044
1699761025.281,98.694627
1699761035.281,89.400118
1699761045.281,98.804401
1699761055.281,98.595127
1699761065.281,96.205220
1699761075.281,98.694886
1699761085.281,99.000108
1699761095.281,95.599804
1699761105.281,96.999850
1699761115.281,96.099448
1699761125.281,89.400537
