epoch,value
1699759325.280,nan
1699759335.280,0.799997
1699759345.280,1.000005
1699759355.280,2.599948
1699759365.280,0.700014
1699759375.280,0.900004
1699759385.281,0.999923
1699759395.280,2.000141
1699759405.280,0.799994
1699759415.280,1.100006
1699759425.280,2.599990
1699759435.281,1.399941
1699759445.280,1.600073
1699759455.280,2.600001
1699759465.280,1.100000
1699759475.280,1.000001
1699759485.281,3.099850
1699759495.280,2.900044
1699759505.281,1.499975
1699759515.281,3.699999
1699759525.280,2.400046
1699759535.285,0.099956
1699759545.280,2.601234
1699759555.280,2.799986
1699759565.280,0.799995
1699759575.280,2.600031
1699759585.280,1.299963
1699759595.280,0.500012
1699759605.280,1.600007
1699759615.280,1.199991
1699759625.280,0.800003
1699759635.281,1.499831
1699759645.280,0.700082
1699759655.280,1.199994
1699759665.281,5.299678
1699759675.281,6.500008
1699759685.281,1.999974
1699759695.280,1.700125
1699759705.280,2.999978
1699759715.280,0.500003
1699759725.280,0.599998
1699759735.280,2.200005
1699759745.280,0.499999
1699759755.280,0.400000
1699759765.280,2.099978
1699759775.280,1.000006
1699759785.280,1.800021
1699759795.280,4.099948
1699759805.280,1.500001
1699759815.280,0.700004
1699759825.280,2.399977
1699759835.280,0.500007
1699759845.280,0.400001
1699759855.280,1.599983
1699759865.280,1.100012
1699759875.280,0.699996
1699759885.281,1.999777
1699759895.280,1.700190
1699759905.280,1.400002
1699759915.280,2.399991
1699759925.280,2.400004
1699759935.281,1.599888
1699759945.281,3.099973
1699759955.281,5.200116
1699759965.281,3.599976
1699759975.281,2.299998
1699759985.281,1.599960
1699759995.281,2.800067
1699760005.281,3.599869
1699760015.281,0.800011
1699760025.281,3.200053
1699760035.281,3.100066
1699760045.281,5.799982
1699760055.280,1.600040
1699760065.281,2.499972
1699760075.281,3.799830
1699760085.281,4.600094
1699760095.281,1.400007
1699760105.281,3.099983
1699760115.281,2.699967
1699760125.281,3.100028
1699760135.281,4.499962
1699760145.281,2.900016
1699760155.281,2.900078
1699760165.284,3.498761
1699760175.281,3.401107
1699760185.281,1.400002
1699760195.281,2.200025
1699760205.281,4.999986
1699760215.281,2.200000
1699760225.281,1.000022
1699760235.281,0.999987
1699760245.281,0.400002
1699760255.281,0.500000
1699760265.281,1.899976
1699760275.281,9.399823
1699760285.281,2.600030
1699760295.281,1.900003
1699760305.281,2.399980
1699760315.281,1.000013
1699760325.281,3.400013
1699760335.281,2.499955
1699760345.281,0.700011
1699760355.281,1.100009
1699760365.281,3.300033
1699760375.281,1.099972
1699760385.281,0.800005
1699760395.281,1.199970
1699760405.281,2.100068
1699760415.281,0.399996
1699760425.281,1.200028
1699760435.281,2.699937
1699760445.280,1.300091
1699760455.280,0.899994
1699760465.280,2.099996
1699760475.280,0.500002
1699760485.280,0.699997
1699760495.280,4.299884
1699760505.280,1.800049
1699760515.280,2.200004
1699760525.280,2.399992
1699760535.280,0.900008
1699760545.280,0.800001
1699760555.280,2.099985
1699760565.281,2.599857
1699760575.281,3.199975
1699760585.281,4.199939
1699760595.281,4.000092
1699760605.281,0.799989
1699760615.281,4.499958
1699760625.281,4.700009
1699760635.281,6.200225
1699760645.281,3.199902
1699760655.281,5.500011
1699760665.280,1.700055
1699760675.281,2.499992
1699760685.281,5.599864
1699760695.281,2.199999
1699760705.281,2.300000
1699760715.281,5.100068
1699760725.281,3.000019
1699760735.281,3.899902
1699760745.281,2.800007
1699760755.281,1.900010
1699760765.281,0.399996
1699760775.284,2.099287
1699760785.281,1.000348
1699760795.281,0.999993
1699760805.281,2.099982
1699760815.281,2.100057
1699760825.281,3.999949
1699760835.281,3.599984
1699760845.281,5.299912
1699760855.281,2.400021
1699760865.281,1.100005
1699760875.281,3.500042
1699760885.281,0.199997
1699760895.280,3.900281
1699760905.280,3.000017
1699760915.280,0.599997
1699760925.280,0.200001
1699760935.280,3.099977
1699760945.280,0.400002
1699760955.280,0.600002
1699760965.280,1.400000
1699760975.280,1.399986
1699760985.280,1.800004
1699760995.281,3.899566
1699761005.280,1.200120
1699761015.280,0.900016
1699761025.280,0.599998
1699761035.280,2.300006
1699761045.280,0.799996
1699761055.280,0.600001
1699761065.280,1.700007
1699761075.280,1.000000
1699761085.280,0.600000
1699761095.280,1.799990
1699761105.280,2.299992
1699761115.280,1.999996
1699761125.280,2.700014
