epoch,value
1699759325.280,nan
1699759335.280,0.299999
1699759345.280,0.700004
1699759355.280,2.299954
1699759365.280,0.600012
1699759375.280,0.500002
1699759385.281,0.899932
1699759395.280,2.000144
1699759405.280,0.499995
1699759415.280,1.000005
1699759425.280,7.599980
1699759435.281,1.399941
1699759445.280,1.400062
1699759455.280,2.300000
1699759465.280,0.800000
1699759475.280,0.700001
1699759485.281,54.797392
1699759495.280,87.201275
1699759505.281,56.799060
1699759515.281,96.200096
1699759525.280,80.001359
1699759535.284,2.699138
1699759545.280,9.103194
1699759555.280,2.199996
1699759565.280,0.399997
1699759575.280,2.500027
1699759585.280,0.699981
1699759595.280,0.500011
1699759605.280,8.300041
1699759615.280,0.699995
1699759625.280,0.900003
1699759635.281,6.899226
1699759645.280,2.100244
1699759655.280,1.199995
1699759665.281,36.097849
1699759675.281,78.600040
1699759685.281,63.999930
1699759695.280,41.502540
1699759705.280,1.899988
1699759715.280,0.900007
1699759725.280,0.099999
1699759735.280,2.500008
1699759745.280,0.599999
1699759755.280,0.200000
1699759765.280,7.599920
1699759775.280,1.200006
1699759785.280,1.000012
1699759795.280,7.699909
1699759805.280,0.600000
1699759815.280,0.600004
1699759825.280,1.899981
1699759835.280,0.500006
1699759845.280,0.500001
1699759855.280,8.499917
1699759865.280,0.300004
1699759875.280,0.399997
1699759885.281,0.999889
1699759895.280,1.700190
1699759905.280,1.300003
1699759915.280,1.099995
1699759925.280,2.300001
1699759935.281,6.099579
1699759945.281,43.899632
1699759955.281,53.601167
1699759965.281,95.799284
1699759975.281,45.899989
1699759985.281,33.899163
1699759995.281,70.301657
1699760005.281,94.396581
1699760015.281,27.800452
1699760025.281,56.400938
1699760035.281,51.501058
1699760045.281,70.499653
1699760055.280,23.300568
1699760065.280,47.299561
1699760075.281,53.497557
1699760085.281,98.802082
1699760095.281,20.900081
1699760105.281,90.299625
1699760115.281,39.199510
1699760125.281,66.700717
1699760135.281,71.699399
1699760145.281,36.000157
1699760155.280,68.802021
1699760165.284,73.573905
1699760175.281,45.415180
1699760185.281,15.799843
1699760195.281,51.000569
1699760205.281,66.299848
1699760215.281,50.199957
1699760225.280,8.700204
1699760235.281,22.599686
1699760245.281,10.100071
1699760255.281,9.000004
1699760265.281,25.499682
1699760275.281,82.498465
1699760285.281,69.500799
1699760295.281,36.800014
1699760305.281,44.499691
1699760315.281,9.600122
1699760325.281,85.200361
1699760335.281,39.799265
1699760345.281,9.200137
1699760355.281,31.200244
1699760365.281,53.300445
1699760375.281,9.599792
1699760385.281,11.000042
1699760395.281,32.899176
1699760405.281,40.401280
1699760415.281,0.799992
1699760425.280,18.600439
1699760435.281,15.499645
1699760445.280,13.800947
1699760455.280,0.699995
1699760465.280,2.299997
1699760475.280,0.300001
1699760485.280,0.399999
1699760495.280,3.599898
1699760505.280,1.100029
1699760515.280,2.400002
1699760525.280,8.299996
1699760535.280,0.400003
1699760545.280,0.300000
1699760555.280,7.999948
1699760565.281,1.199934
1699760575.281,86.399341
1699760585.281,89.898602
1699760595.281,99.202442
1699760605.281,2.399970
1699760615.281,64.699351
1699760625.281,70.900164
1699760635.280,90.803230
1699760645.281,64.798038
1699760655.281,68.800059
1699760665.280,41.501312
1699760675.280,80.799846
1699760685.281,94.397868
1699760695.281,55.699821
1699760705.281,82.100060
1699760715.281,72.900973
1699760725.281,93.400592
1699760735.281,97.297459
1699760745.281,45.100259
1699760755.281,43.000107
1699760765.281,4.399958
1699760775.284,54.281597
1699760785.281,9.603335
1699760795.281,33.099759
1699760805.281,45.799588
1699760815.281,74.502074
1699760825.281,86.498977
1699760835.281,80.699662
1699760845.281,82.698544
1699760855.281,60.700599
1699760865.281,15.800297
1699760875.281,48.199779
1699760885.281,3.799945
1699760895.280,14.101033
1699760905.280,2.000008
1699760915.280,0.399999
1699760925.280,0.400002
1699760935.280,2.299989
1699760945.280,0.800003
1699760955.280,0.600002
1699760965.280,8.199999
1699760975.280,0.599999
1699760985.280,2.299988
1699760995.281,1.799804
1699761005.280,1.500147
1699761015.280,0.300005
1699761025.280,0.499998
1699761035.280,1.800005
1699761045.280,0.299998
1699761055.280,0.300001
1699761065.280,8.500051
1699761075.280,0.300000
1699761085.280,0.499999
1699761095.280,8.599972
1699761105.280,1.699992
1699761115.280,1.999996
1699761125.280,2.300012
