epoch,shortterm,midterm,longterm
1699759315.337,0.250000,0.100000,0.180000
1699759325.293,0.360000,0.130000,0.190000
1699759335.293,0.460000,0.160000,0.200000
1699759345.293,0.550000,0.190000,0.210000
1699759355.293,0.620000,0.210000,0.220000
1699759365.294,0.680000,0.240000,0.230000
1699759375.295,0.730000,0.260000,0.240000
1699759385.301,0.770000,0.290000,0.250000
1699759395.294,0.800000,0.310000,0.250000
1699759405.295,0.830000,0.340000,0.260000
1699759415.295,0.860000,0.360000,0.270000
1699759425.293,0.880000,0.380000,0.280000
1699759435.294,0.900000,0.400000,0.290000
1699759445.293,0.920000,0.420000,0.300000
1699759455.293,1.000000,0.460000,0.310000
1699759465.293,1.000000,0.480000,0.320000
1699759475.294,1.000000,0.490000,0.320000
1699759485.300,1.080000,0.530000,0.340000
1699759495.294,1.220000,0.580000,0.360000
1699759505.294,1.340000,0.620000,0.370000
1699759515.294,1.440000,0.670000,0.390000
1699759525.311,1.530000,0.710000,0.410000
1699759535.294,1.600000,0.760000,0.430000
1699759545.294,1.510000,0.770000,0.430000
1699759555.294,1.430000,0.770000,0.440000
1699759565.295,1.360000,0.780000,0.450000
1699759575.294,1.470000,0.820000,0.470000
1699759585.294,1.400000,0.830000,0.470000
1699759595.293,1.330000,0.830000,0.480000
1699759605.293,1.280000,0.840000,0.480000
1699759615.295,1.240000,0.850000,0.490000
1699759625.294,1.200000,0.850000,0.490000
1699759635.294,1.170000,0.860000,0.500000
1699759645.293,1.140000,0.860000,0.510000
1699759655.294,1.120000,0.870000,0.510000
1699759665.297,1.260000,0.900000,0.530000
1699759675.297,1.370000,0.940000,0.550000
1699759685.293,1.470000,0.980000,0.560000
1699759695.294,1.470000,0.990000,0.570000
1699759705.294,1.550000,1.030000,0.590000
1699759715.293,1.460000,1.030000,0.590000
1699759725.294,1.390000,1.030000,0.600000
1699759735.293,1.330000,1.020000,0.600000
1699759745.294,1.280000,1.020000,0.610000
1699759755.294,1.240000,1.020000,0.610000
1699759765.293,1.200000,1.020000,0.620000
1699759775.294,1.170000,1.020000,0.620000
1699759785.294,1.140000,1.020000,0.630000
1699759795.293,1.120000,1.020000,0.630000
1699759805.293,1.100000,1.020000,0.640000
1699759815.293,1.080000,1.020000,0.640000
1699759825.294,1.070000,1.020000,0.640000
1699759835.294,1.060000,1.010000,0.650000
1699759845.293,1.050000,1.010000,0.650000
1699759855.294,1.120000,1.030000,0.660000
1699759865.295,1.100000,1.030000,0.670000
1699759875.294,1.090000,1.030000,0.670000
1699759885.294,1.070000,1.030000,0.670000
1699759895.294,1.060000,1.030000,0.680000
1699759905.293,1.050000,1.020000,0.680000
1699759915.294,1.040000,1.020000,0.680000
1699759925.294,1.040000,1.020000,0.690000
1699759935.294,1.110000,1.040000,0.700000
1699759945.294,1.250000,1.070000,0.710000
1699759955.296,1.360000,1.100000,0.730000
1699759965.298,1.460000,1.130000,0.740000
1699759975.301,1.550000,1.160000,0.750000
1699759985.294,1.620000,1.190000,0.770000
1699759995.303,1.680000,1.220000,0.780000
1699760005.312,1.730000,1.240000,0.800000
1699760015.293,1.770000,1.270000,0.810000
1699760025.302,1.800000,1.290000,0.820000
1699760035.296,1.830000,1.320000,0.840000
1699760045.294,1.940000,1.360000,0.850000
1699760055.293,1.950000,1.380000,0.870000
1699760065.294,1.960000,1.400000,0.880000
1699760075.294,2.050000,1.440000,0.900000
