epoch,value
1699759315.337,110391296.000000
1699759325.296,110751744.000000
1699759335.296,110817280.000000
1699759345.296,110866432.000000
1699759355.297,110874624.000000
1699759365.300,110870528.000000
1699759375.296,110874624.000000
1699759385.296,110874624.000000
1699759395.296,110927872.000000
1699759405.296,110911488.000000
1699759415.296,110878720.000000
1699759425.296,110878720.000000
1699759435.296,110882816.000000
1699759445.297,110882816.000000
1699759455.296,110882816.000000
1699759465.296,110882816.000000
1699759475.296,110915584.000000
1699759485.299,111017984.000000
1699759495.296,111017984.000000
1699759505.297,111017984.000000
1699759515.296,111017984.000000
1699759525.296,111017984.000000
1699759535.296,111017984.000000
1699759545.296,111054848.000000
1699759555.296,111054848.000000
1699759565.296,111054848.000000
1699759575.296,111054848.000000
1699759585.296,111108096.000000
1699759595.296,111063040.000000
1699759605.296,111058944.000000
1699759615.296,111058944.000000
1699759625.296,111058944.000000
1699759635.296,111063040.000000
1699759645.296,111058944.000000
1699759655.296,111058944.000000
1699759665.296,111198208.000000
1699759675.296,111198208.000000
1699759685.296,111198208.000000
1699759695.300,111243264.000000
1699759705.296,111243264.000000
1699759715.297,111243264.000000
1699759725.296,111243264.000000
1699759735.296,111243264.000000
1699759745.296,111243264.000000
1699759755.298,111243264.000000
1699759765.296,111243264.000000
1699759775.296,111243264.000000
1699759785.296,111247360.000000
1699759795.296,111247360.000000
1699759805.296,111247360.000000
1699759815.296,111247360.000000
1699759825.296,111247360.000000
1699759835.296,111247360.000000
1699759845.297,111251456.000000
1699759855.296,111251456.000000
1699759865.296,111251456.000000
1699759875.298,111251456.000000
1699759885.309,111255552.000000
1699759895.297,111251456.000000
1699759905.296,111255552.000000
1699759915.296,111255552.000000
1699759925.296,111259648.000000
1699759935.296,111398912.000000
1699759945.299,111398912.000000
1699759955.296,111423488.000000
1699759965.296,111398912.000000
1699759975.296,111398912.000000
1699759985.296,111398912.000000
1699759995.301,111378432.000000
1699760005.296,111378432.000000
1699760015.296,111398912.000000
1699760025.296,111398912.000000
1699760035.298,111398912.000000
1699760045.296,111403008.000000
1699760055.296,111403008.000000
1699760065.310,111403008.000000
1699760075.296,111456256.000000
1699760085.296,111407104.000000
1699760095.296,111407104.000000
1699760105.296,111407104.000000
1699760115.296,111407104.000000
1699760125.296,111411200.000000
1699760135.296,111411200.000000
1699760145.296,111411200.000000
1699760155.296,111415296.000000
1699760165.298,111415296.000000
1699760175.319,111415296.000000
1699760185.303,111415296.000000
1699760195.296,111415296.000000
1699760205.296,111419392.000000
1699760215.296,111419392.000000
1699760225.296,111439872.000000
1699760235.296,111423488.000000
1699760245.296,111419392.000000
1699760255.296,111419392.000000
1699760265.298,111419392.000000
1699760275.296,111427584.000000
1699760285.296,111431680.000000
1699760295.296,111431680.000000
1699760305.296,111431680.000000
1699760315.296,111431680.000000
1699760325.296,111431680.000000
1699760335.297,111435776.000000
1699760345.300,111435776.000000
1699760355.308,111435776.000000
1699760365.298,111435776.000000
1699760375.298,111435776.000000
1699760385.296,111435776.000000
1699760395.296,111443968.000000
1699760405.296,111439872.000000
1699760415.296,111439872.000000
1699760425.303,111439872.000000
1699760435.311,111439872.000000
1699760445.296,111517696.000000
1699760455.296,111521792.000000
1699760465.296,111525888.000000
1699760475.296,111525888.000000
1699760485.296,111525888.000000
1699760495.297,111525888.000000
1699760505.300,111529984.000000
1699760515.296,111538176.000000
1699760525.297,111542272.000000
1699760535.296,111562752.000000
1699760545.297,111562752.000000
1699760555.296,111542272.000000
1699760565.296,111726592.000000
1699760575.296,111779840.000000
1699760585.305,111779840.000000
1699760595.296,111861760.000000
1699760605.296,111861760.000000
1699760615.296,111865856.000000
1699760625.296,111861760.000000
1699760635.296,111931392.000000
1699760645.296,111931392.000000
1699760655.296,111931392.000000
1699760665.296,111931392.000000
1699760675.296,111931392.000000
1699760685.296,111935488.000000
1699760695.301,111935488.000000
1699760705.296,111955968.000000
1699760715.296,111935488.000000
1699760725.296,111935488.000000
1699760735.296,111943680.000000
1699760745.300,111947776.000000
1699760755.296,111947776.000000
1699760765.299,111947776.000000
1699760775.302,111943680.000000
1699760785.297,111943680.000000
1699760795.299,111947776.000000
1699760805.296,111968256.000000
1699760815.296,111947776.000000
1699760825.296,111931392.000000
1699760835.296,111984640.000000
1699760845.302,108118016.000000
1699760855.296,108273664.000000
1699760865.296,108290048.000000
1699760875.296,108552192.000000
1699760885.296,108556288.000000
1699760895.296,108630016.000000
1699760905.297,108630016.000000
1699760915.299,108630016.000000
1699760925.296,108630016.000000
1699760935.296,108630016.000000
1699760945.296,108630016.000000
1699760955.297,108630016.000000
1699760965.296,108630016.000000
1699760975.296,108634112.000000
1699760985.296,108617728.000000
1699760995.296,108654592.000000
1699761005.296,108654592.000000
1699761015.296,108654592.000000
1699761025.296,108744704.000000
1699761035.296,108793856.000000
1699761045.296,108793856.000000
1699761055.296,108814336.000000
1699761065.296,108797952.000000
1699761075.296,108785664.000000
1699761085.296,108785664.000000
1699761095.296,108797952.000000
1699761105.296,108818432.000000
1699761115.296,108802048.000000
1699761125.296,108802048.000000
