epoch,value
1699759315.337,193126400.000000
1699759325.296,193335296.000000
1699759335.296,193318912.000000
1699759345.296,193318912.000000
1699759355.297,193175552.000000
1699759365.300,193073152.000000
1699759375.296,193073152.000000
1699759385.296,192663552.000000
1699759395.296,192937984.000000
1699759405.296,192937984.000000
1699759415.296,192790528.000000
1699759425.296,192643072.000000
1699759435.296,192925696.000000
1699759445.297,192761856.000000
1699759455.296,193150976.000000
1699759465.296,193150976.000000
1699759475.296,193150976.000000
1699759485.299,184950784.000000
1699759495.296,184832000.000000
1699759505.297,184832000.000000
1699759515.296,184315904.000000
1699759525.296,184315904.000000
1699759535.296,184147968.000000
1699759545.296,191766528.000000
1699759555.296,192299008.000000
1699759565.296,192483328.000000
1699759575.296,192618496.000000
1699759585.296,192618496.000000
1699759595.296,192618496.000000
1699759605.296,192745472.000000
1699759615.296,192745472.000000
1699759625.296,192745472.000000
1699759635.296,189227008.000000
1699759645.296,192618496.000000
1699759655.296,192212992.000000
1699759665.296,101707776.000000
1699759675.296,95039488.000000
1699759685.296,92311552.000000
1699759695.300,192393216.000000
1699759705.296,192393216.000000
1699759715.297,192393216.000000
1699759725.296,192393216.000000
1699759735.296,192401408.000000
1699759745.296,192401408.000000
1699759755.298,192401408.000000
1699759765.296,192528384.000000
1699759775.296,191979520.000000
1699759785.296,191803392.000000
1699759795.296,191827968.000000
1699759805.296,192147456.000000
1699759815.296,192323584.000000
1699759825.296,192577536.000000
1699759835.296,192577536.000000
1699759845.297,192577536.000000
1699759855.296,192577536.000000
1699759865.296,192450560.000000
1699759875.298,192450560.000000
1699759885.309,189059072.000000
1699759895.297,192028672.000000
1699759905.296,192131072.000000
1699759915.296,191909888.000000
1699759925.296,192348160.000000
1699759935.296,181989376.000000
1699759945.299,178434048.000000
1699759955.296,176656384.000000
1699759965.296,176648192.000000
1699759975.296,176648192.000000
1699759985.296,176005120.000000
1699759995.301,176005120.000000
1699760005.296,176005120.000000
1699760015.296,175710208.000000
1699760025.296,175169536.000000
1699760035.298,175271936.000000
1699760045.296,176091136.000000
1699760055.296,176091136.000000
1699760065.310,176091136.000000
1699760075.296,173756416.000000
1699760085.296,175845376.000000
1699760095.296,175845376.000000
1699760105.296,175845376.000000
1699760115.296,175591424.000000
1699760125.296,175591424.000000
1699760135.296,175296512.000000
1699760145.296,175144960.000000
1699760155.296,175288320.000000
1699760165.298,175710208.000000
1699760175.319,175710208.000000
1699760185.303,175710208.000000
1699760195.296,175710208.000000
1699760205.296,175837184.000000
1699760215.296,175837184.000000
1699760225.296,175845376.000000
1699760235.296,172359680.000000
1699760245.296,175591424.000000
1699760255.296,175296512.000000
1699760265.298,175296512.000000
1699760275.296,175280128.000000
1699760285.296,175456256.000000
1699760295.296,175464448.000000
1699760305.296,175980544.000000
1699760315.296,175980544.000000
1699760325.296,175980544.000000
1699760335.297,175734784.000000
1699760345.300,175734784.000000
1699760355.308,175734784.000000
1699760365.298,175988736.000000
1699760375.298,175693824.000000
1699760385.296,175423488.000000
1699760395.296,172056576.000000
1699760405.296,175464448.000000
1699760415.296,175472640.000000
1699760425.303,175472640.000000
1699760435.311,175607808.000000
1699760445.296,191758336.000000
1699760455.296,191758336.000000
1699760465.296,192147456.000000
1699760475.296,192147456.000000
1699760485.296,192147456.000000
1699760495.297,191836160.000000
1699760505.300,191430656.000000
1699760515.296,191549440.000000
1699760525.297,191860736.000000
1699760535.296,191860736.000000
1699760545.297,191860736.000000
1699760555.296,192122880.000000
1699760565.296,154132480.000000
1699760575.296,127467520.000000
1699760585.305,105889792.000000
1699760595.296,100683776.000000
1699760605.296,95731712.000000
1699760615.296,87220224.000000
1699760625.296,85180416.000000
1699760635.296,56332288.000000
1699760645.296,56795136.000000
1699760655.296,56803328.000000
1699760665.296,56676352.000000
1699760675.296,56676352.000000
1699760685.296,56549376.000000
1699760695.301,56549376.000000
1699760705.296,56557568.000000
1699760715.296,56811520.000000
1699760725.296,56811520.000000
1699760735.296,30212096.000000
1699760745.300,29634560.000000
1699760755.296,30216192.000000
1699760765.299,30511104.000000
1699760775.302,30519296.000000
1699760785.297,30519296.000000
1699760795.299,30527488.000000
1699760805.296,30375936.000000
1699760815.296,30654464.000000
1699760825.296,30654464.000000
1699760835.296,5386240.000000
1699760845.302,9195520.000000
1699760855.296,8519680.000000
1699760865.296,8470528.000000
1699760875.296,8757248.000000
1699760885.296,9068544.000000
1699760895.296,194994176.000000
1699760905.297,195502080.000000
1699760915.299,195502080.000000
1699760925.296,195502080.000000
1699760935.296,195366912.000000
1699760945.296,195366912.000000
1699760955.297,195366912.000000
1699760965.296,195358720.000000
1699760975.296,194936832.000000
1699760985.296,194887680.000000
1699760995.296,190980096.000000
1699761005.296,194977792.000000
1699761015.296,195289088.000000
1699761025.296,195289088.000000
1699761035.296,195424256.000000
1699761045.296,195424256.000000
1699761055.296,195424256.000000
1699761065.296,195543040.000000
1699761075.296,195543040.000000
1699761085.296,195543040.000000
1699761095.296,195080192.000000
1699761105.296,194912256.000000
1699761115.296,194809856.000000
1699761125.296,195366912.000000
