epoch,value
1699759315.337,19968000.000000
1699759325.296,19984384.000000
1699759335.296,19984384.000000
1699759345.296,19984384.000000
1699759355.297,19984384.000000
1699759365.300,19976192.000000
1699759375.296,19976192.000000
1699759385.296,19976192.000000
1699759395.296,19976192.000000
1699759405.296,19976192.000000
1699759415.296,19976192.000000
1699759425.296,20000768.000000
1699759435.296,20008960.000000
1699759445.297,19992576.000000
1699759455.296,19984384.000000
1699759465.296,19984384.000000
1699759475.296,19984384.000000
1699759485.299,19976192.000000
1699759495.296,19976192.000000
1699759505.297,19976192.000000
1699759515.296,19984384.000000
1699759525.296,19984384.000000
1699759535.296,19984384.000000
1699759545.296,20000768.000000
1699759555.296,20008960.000000
1699759565.296,19992576.000000
1699759575.296,19984384.000000
1699759585.296,19984384.000000
1699759595.296,19984384.000000
1699759605.296,19984384.000000
1699759615.296,19984384.000000
1699759625.296,19984384.000000
1699759635.296,19984384.000000
1699759645.296,19984384.000000
1699759655.296,19984384.000000
1699759665.296,20008960.000000
1699759675.296,20008960.000000
1699759685.296,19984384.000000
1699759695.300,19984384.000000
1699759705.296,19984384.000000
1699759715.297,19984384.000000
1699759725.296,19984384.000000
1699759735.296,19976192.000000
1699759745.296,19976192.000000
1699759755.298,19976192.000000
1699759765.296,19976192.000000
1699759775.296,19976192.000000
1699759785.296,20008960.000000
1699759795.296,20008960.000000
1699759805.296,19984384.000000
1699759815.296,19984384.000000
1699759825.296,19984384.000000
1699759835.296,19984384.000000
1699759845.297,19984384.000000
1699759855.296,19984384.000000
1699759865.296,19984384.000000
1699759875.298,19984384.000000
1699759885.309,19984384.000000
1699759895.297,19984384.000000
1699759905.296,20008960.000000
1699759915.296,20008960.000000
1699759925.296,19984384.000000
1699759935.296,19984384.000000
1699759945.299,19984384.000000
1699759955.296,19984384.000000
1699759965.296,19984384.000000
1699759975.296,19984384.000000
1699759985.296,19984384.000000
1699759995.301,19984384.000000
1699760005.296,19984384.000000
1699760015.296,19984384.000000
1699760025.296,19984384.000000
1699760035.298,20008960.000000
1699760045.296,19992576.000000
1699760055.296,19992576.000000
1699760065.310,19992576.000000
1699760075.296,19992576.000000
1699760085.296,19984384.000000
1699760095.296,19984384.000000
1699760105.296,19984384.000000
1699760115.296,19984384.000000
1699760125.296,19984384.000000
1699760135.296,19984384.000000
1699760145.296,20008960.000000
1699760155.296,19992576.000000
1699760165.298,19992576.000000
1699760175.319,19992576.000000
1699760185.303,19992576.000000
1699760195.296,19992576.000000
1699760205.296,19992576.000000
1699760215.296,19992576.000000
1699760225.296,19992576.000000
1699760235.296,19992576.000000
1699760245.296,19992576.000000
1699760255.296,19992576.000000
1699760265.298,19992576.000000
1699760275.296,20000768.000000
1699760285.296,20000768.000000
1699760295.296,20000768.000000
1699760305.296,19992576.000000
1699760315.296,19992576.000000
1699760325.296,19992576.000000
1699760335.297,19984384.000000
1699760345.300,19984384.000000
1699760355.308,19984384.000000
1699760365.298,19984384.000000
1699760375.298,19984384.000000
1699760385.296,20000768.000000
1699760395.296,20008960.000000
1699760405.296,19992576.000000
1699760415.296,19992576.000000
1699760425.303,19992576.000000
1699760435.311,19984384.000000
1699760445.296,19984384.000000
1699760455.296,19984384.000000
1699760465.296,19976192.000000
1699760475.296,19976192.000000
1699760485.296,19976192.000000
1699760495.297,19976192.000000
1699760505.300,20008960.000000
1699760515.296,20008960.000000
1699760525.297,20000768.000000
1699760535.296,20000768.000000
1699760545.297,20000768.000000
1699760555.296,19992576.000000
1699760565.296,19992576.000000
1699760575.296,19992576.000000
1699760585.305,19984384.000000
1699760595.296,19984384.000000
1699760605.296,19984384.000000
1699760615.296,19984384.000000
1699760625.296,20008960.000000
1699760635.296,20008960.000000
1699760645.296,20000768.000000
1699760655.296,19992576.000000
1699760665.296,19992576.000000
1699760675.296,19992576.000000
1699760685.296,19992576.000000
1699760695.301,19992576.000000
1699760705.296,19992576.000000
1699760715.296,19984384.000000
1699760725.296,19984384.000000
1699760735.296,19984384.000000
1699760745.300,20017152.000000
1699760755.296,20000768.000000
1699760765.299,20000768.000000
1699760775.302,19992576.000000
1699760785.297,19992576.000000
1699760795.299,19992576.000000
1699760805.296,19992576.000000
1699760815.296,19992576.000000
1699760825.296,19992576.000000
1699760835.296,19992576.000000
1699760845.302,19628032.000000
1699760855.296,19628032.000000
1699760865.296,19644416.000000
1699760875.296,19644416.000000
1699760885.296,19628032.000000
1699760895.296,19619840.000000
1699760905.297,19619840.000000
1699760915.299,19619840.000000
1699760925.296,19619840.000000
1699760935.296,19619840.000000
1699760945.296,19619840.000000
1699760955.297,19619840.000000
1699760965.296,19619840.000000
1699760975.296,19619840.000000
1699760985.296,19636224.000000
1699760995.296,19644416.000000
1699761005.296,19619840.000000
1699761015.296,19619840.000000
1699761025.296,19619840.000000
1699761035.296,19615744.000000
1699761045.296,19619840.000000
1699761055.296,19619840.000000
1699761065.296,19628032.000000
1699761075.296,19628032.000000
1699761085.296,19628032.000000
1699761095.296,19619840.000000
1699761105.296,19652608.000000
1699761115.296,19652608.000000
1699761125.296,19644416.000000
