epoch,value
1699759315.337,8507392.000000
1699759325.296,8536064.000000
1699759335.296,8552448.000000
1699759345.296,8552448.000000
1699759355.297,8552448.000000
1699759365.300,8552448.000000
1699759375.296,8552448.000000
1699759385.296,8552448.000000
1699759395.296,8556544.000000
1699759405.296,8552448.000000
1699759415.296,8552448.000000
1699759425.296,8556544.000000
1699759435.296,8560640.000000
1699759445.297,8556544.000000
1699759455.296,8556544.000000
1699759465.296,8556544.000000
1699759475.296,8556544.000000
1699759485.299,8552448.000000
1699759495.296,8552448.000000
1699759505.297,8552448.000000
1699759515.296,8552448.000000
1699759525.296,8552448.000000
1699759535.296,8552448.000000
1699759545.296,8568832.000000
1699759555.296,8564736.000000
1699759565.296,8560640.000000
1699759575.296,8556544.000000
1699759585.296,8556544.000000
1699759595.296,8556544.000000
1699759605.296,8556544.000000
1699759615.296,8556544.000000
1699759625.296,8556544.000000
1699759635.296,8556544.000000
1699759645.296,8556544.000000
1699759655.296,8556544.000000
1699759665.296,8560640.000000
1699759675.296,8589312.000000
1699759685.296,8589312.000000
1699759695.300,8585216.000000
1699759705.296,8585216.000000
1699759715.297,8585216.000000
1699759725.296,8585216.000000
1699759735.296,8585216.000000
1699759745.296,8585216.000000
1699759755.298,8585216.000000
1699759765.296,8585216.000000
1699759775.296,8585216.000000
1699759785.296,8593408.000000
1699759795.296,8597504.000000
1699759805.296,8589312.000000
1699759815.296,8589312.000000
1699759825.296,8585216.000000
1699759835.296,8585216.000000
1699759845.297,8585216.000000
1699759855.296,8585216.000000
1699759865.296,8585216.000000
1699759875.298,8585216.000000
1699759885.309,8585216.000000
1699759895.297,8585216.000000
1699759905.296,8597504.000000
1699759915.296,8589312.000000
1699759925.296,8585216.000000
1699759935.296,8585216.000000
1699759945.299,8585216.000000
1699759955.296,8585216.000000
1699759965.296,8593408.000000
1699759975.296,8593408.000000
1699759985.296,8593408.000000
1699759995.301,8593408.000000
1699760005.296,8593408.000000
1699760015.296,8593408.000000
1699760025.296,8597504.000000
1699760035.298,8593408.000000
1699760045.296,8597504.000000
1699760055.296,8597504.000000
1699760065.310,8597504.000000
1699760075.296,8597504.000000
1699760085.296,8597504.000000
1699760095.296,8593408.000000
1699760105.296,8593408.000000
1699760115.296,8593408.000000
1699760125.296,8593408.000000
1699760135.296,8593408.000000
1699760145.296,8601600.000000
1699760155.296,8597504.000000
1699760165.298,8601600.000000
1699760175.319,8593408.000000
1699760185.303,8593408.000000
1699760195.296,8593408.000000
1699760205.296,8593408.000000
1699760215.296,8593408.000000
1699760225.296,8593408.000000
1699760235.296,8593408.000000
1699760245.296,8597504.000000
1699760255.296,8593408.000000
1699760265.298,8597504.000000
1699760275.296,8593408.000000
1699760285.296,8597504.000000
1699760295.296,8593408.000000
1699760305.296,8593408.000000
1699760315.296,8593408.000000
1699760325.296,8593408.000000
1699760335.297,8593408.000000
1699760345.300,8593408.000000
1699760355.308,8593408.000000
1699760365.298,8593408.000000
1699760375.298,8593408.000000
1699760385.296,8593408.000000
1699760395.296,8597504.000000
1699760405.296,8601600.000000
1699760415.296,8597504.000000
1699760425.303,8597504.000000
1699760435.311,8593408.000000
1699760445.296,8593408.000000
1699760455.296,8593408.000000
1699760465.296,8593408.000000
1699760475.296,8593408.000000
1699760485.296,8593408.000000
1699760495.297,8593408.000000
1699760505.300,8601600.000000
1699760515.296,8609792.000000
1699760525.297,8601600.000000
1699760535.296,8601600.000000
1699760545.297,8601600.000000
1699760555.296,8593408.000000
1699760565.296,8593408.000000
1699760575.296,8593408.000000
1699760585.305,8593408.000000
1699760595.296,8593408.000000
1699760605.296,8593408.000000
1699760615.296,8593408.000000
1699760625.296,8597504.000000
1699760635.296,8593408.000000
1699760645.296,8597504.000000
1699760655.296,8593408.000000
1699760665.296,8593408.000000
1699760675.296,8593408.000000
1699760685.296,8593408.000000
1699760695.301,8593408.000000
1699760705.296,8593408.000000
1699760715.296,8593408.000000
1699760725.296,8593408.000000
1699760735.296,8593408.000000
1699760745.300,8609792.000000
1699760755.296,8605696.000000
1699760765.299,8597504.000000
1699760775.302,8593408.000000
1699760785.297,8593408.000000
1699760795.299,8593408.000000
1699760805.296,8593408.000000
1699760815.296,8593408.000000
1699760825.296,8593408.000000
1699760835.296,8593408.000000
1699760845.302,8474624.000000
1699760855.296,8474624.000000
1699760865.296,8478720.000000
1699760875.296,8478720.000000
1699760885.296,8482816.000000
1699760895.296,8478720.000000
1699760905.297,8474624.000000
1699760915.299,8474624.000000
1699760925.296,8474624.000000
1699760935.296,8474624.000000
1699760945.296,8474624.000000
1699760955.297,8474624.000000
1699760965.296,8474624.000000
1699760975.296,8474624.000000
1699760985.296,8478720.000000
1699760995.296,8495104.000000
1699761005.296,8482816.000000
1699761015.296,8478720.000000
1699761025.296,8478720.000000
1699761035.296,8474624.000000
1699761045.296,8474624.000000
1699761055.296,8470528.000000
1699761065.296,8470528.000000
1699761075.296,8470528.000000
1699761085.296,8470528.000000
1699761095.296,8470528.000000
1699761105.296,8474624.000000
1699761115.296,8482816.000000
1699761125.296,8474624.000000
