epoch,value
1699759315.337,120221696.000000
1699759325.296,119607296.000000
1699759335.296,119541760.000000
1699759345.296,119492608.000000
1699759355.297,119627776.000000
1699759365.300,119742464.000000
1699759375.296,119738368.000000
1699759385.296,120147968.000000
1699759395.296,119816192.000000
1699759405.296,119836672.000000
1699759415.296,120016896.000000
1699759425.296,120135680.000000
1699759435.296,119836672.000000
1699759445.297,120020992.000000
1699759455.296,119640064.000000
1699759465.296,119640064.000000
1699759475.296,119607296.000000
1699759485.299,127717376.000000
1699759495.296,127836160.000000
1699759505.297,127836160.000000
1699759515.296,128344064.000000
1699759525.296,128344064.000000
1699759535.296,128512000.000000
1699759545.296,120823808.000000
1699759555.296,120287232.000000
1699759565.296,120123392.000000
1699759575.296,120000512.000000
1699759585.296,119947264.000000
1699759595.296,119992320.000000
1699759605.296,119869440.000000
1699759615.296,119869440.000000
1699759625.296,119869440.000000
1699759635.296,123383808.000000
1699759645.296,119996416.000000
1699759655.296,120401920.000000
1699759665.296,210739200.000000
1699759675.296,217378816.000000
1699759685.296,220131328.000000
1699759695.300,120008704.000000
1699759705.296,120008704.000000
1699759715.297,120008704.000000
1699759725.296,120008704.000000
1699759735.296,120008704.000000
1699759745.296,120008704.000000
1699759755.298,120008704.000000
1699759765.296,119881728.000000
1699759775.296,120430592.000000
1699759785.296,120561664.000000
1699759795.296,120532992.000000
1699759805.296,120246272.000000
1699759815.296,120070144.000000
1699759825.296,119820288.000000
1699759835.296,119820288.000000
1699759845.297,119816192.000000
1699759855.296,119816192.000000
1699759865.296,119943168.000000
1699759875.298,119943168.000000
1699759885.309,123330560.000000
1699759895.297,120365056.000000
1699759905.296,120221696.000000
1699759915.296,120451072.000000
1699759925.296,120037376.000000
1699759935.296,130256896.000000
1699759945.299,133812224.000000
1699759955.296,135565312.000000
1699759965.296,135589888.000000
1699759975.296,135589888.000000
1699759985.296,136232960.000000
1699759995.301,136253440.000000
1699760005.296,136253440.000000
1699760015.296,136527872.000000
1699760025.296,137064448.000000
1699760035.298,136941568.000000
1699760045.296,136130560.000000
1699760055.296,136130560.000000
1699760065.310,136130560.000000
1699760075.296,138412032.000000
1699760085.296,136380416.000000
1699760095.296,136384512.000000
1699760105.296,136384512.000000
1699760115.296,136638464.000000
1699760125.296,136634368.000000
1699760135.296,136929280.000000
1699760145.296,137048064.000000
1699760155.296,136921088.000000
1699760165.298,136495104.000000
1699760175.319,136503296.000000
1699760185.303,136503296.000000
1699760195.296,136503296.000000
1699760205.296,136372224.000000
1699760215.296,136372224.000000
1699760225.296,136343552.000000
1699760235.296,139845632.000000
1699760245.296,136613888.000000
1699760255.296,136912896.000000
1699760265.298,136908800.000000
1699760275.296,136912896.000000
1699760285.296,136728576.000000
1699760295.296,136724480.000000
1699760305.296,136216576.000000
1699760315.296,136216576.000000
1699760325.296,136216576.000000
1699760335.297,136466432.000000
1699760345.300,136466432.000000
1699760355.308,136466432.000000
1699760365.298,136212480.000000
1699760375.298,136507392.000000
1699760385.296,136761344.000000
1699760395.296,140107776.000000
1699760405.296,136716288.000000
1699760415.296,136712192.000000
1699760425.303,136712192.000000
1699760435.311,136589312.000000
1699760445.296,120360960.000000
1699760455.296,120356864.000000
1699760465.296,119971840.000000
1699760475.296,119971840.000000
1699760485.296,119971840.000000
1699760495.297,120283136.000000
1699760505.300,120643584.000000
1699760515.296,120508416.000000
1699760525.297,120209408.000000
1699760535.296,120188928.000000
1699760545.297,120188928.000000
1699760555.296,119963648.000000
1699760565.296,157769728.000000
1699760575.296,184381440.000000
1699760585.305,205967360.000000
1699760595.296,211091456.000000
1699760605.296,216043520.000000
1699760615.296,224550912.000000
1699760625.296,226566144.000000
1699760635.296,255348736.000000
1699760645.296,254889984.000000
1699760655.296,254894080.000000
1699760665.296,255021056.000000
1699760675.296,255021056.000000
1699760685.296,255143936.000000
1699760695.301,255143936.000000
1699760705.296,255115264.000000
1699760715.296,254889984.000000
1699760725.296,254889984.000000
1699760735.296,281481216.000000
1699760745.300,282005504.000000
1699760755.296,281444352.000000
1699760765.299,281157632.000000
1699760775.302,281165824.000000
1699760785.297,281165824.000000
1699760795.299,281153536.000000
1699760805.296,281284608.000000
1699760815.296,281026560.000000
1699760825.296,281042944.000000
1699760835.296,306257920.000000
1699760845.302,306814976.000000
1699760855.296,307335168.000000
1699760865.296,307347456.000000
1699760875.296,306798592.000000
1699760885.296,306495488.000000
1699760895.296,120508416.000000
1699760905.297,120004608.000000
1699760915.299,120004608.000000
1699760925.296,120004608.000000
1699760935.296,120139776.000000
1699760945.296,120139776.000000
1699760955.297,120139776.000000
1699760965.296,120147968.000000
1699760975.296,120565760.000000
1699760985.296,120610816.000000
1699760995.296,124456960.000000
1699761005.296,120496128.000000
1699761015.296,120188928.000000
1699761025.296,120098816.000000
1699761035.296,119922688.000000
1699761045.296,119918592.000000
1699761055.296,119902208.000000
1699761065.296,119791616.000000
1699761075.296,119803904.000000
1699761085.296,119803904.000000
1699761095.296,120262656.000000
1699761105.296,120373248.000000
1699761115.296,120483840.000000
1699761125.296,119943168.000000
