epoch,value
1696111812.549,nan
1696111822.549,95.798779
1696111832.549,99.001804
1696111842.549,99.200142
1696111852.549,95.699533
1696111862.549,99.000693
1696111872.549,99.098137
1696111882.549,88.499357
1696111892.550,22.598302
1696111902.550,68.401222
1696111912.550,33.899784
1696111922.551,41.994119
1696111932.550,19.401974
1696111942.550,5.900230
1696111952.550,51.599648
1696111962.550,25.700012
1696111972.550,70.500723
1696111982.552,30.294369
1696111992.550,13.902461
1696112002.550,0.000000
1696112012.552,54.093209
1696112022.551,6.900178
1696112032.550,28.403275
1696112042.550,8.000118
1696112052.550,14.600120
1696112062.550,50.800295
1696112072.550,74.797107
1696112082.550,34.301044
1696112092.551,98.591295
1696112102.552,65.192894
1696112112.550,27.304785
1696112122.549,71.007345
1696112132.550,81.393523
1696112142.550,82.997277
1696112152.551,63.096396
1696112162.550,20.202274
1696112172.550,66.597688
1696112182.550,69.499382
1696112192.551,59.694206
1696112202.549,68.214032
1696112212.549,98.899460
1696112222.549,98.700448
1696112232.549,89.600551
1696112242.550,99.092708
1696112252.549,98.806955
1696112262.549,94.301144
1696112272.549,97.598865
1696112282.549,96.899450
1696112292.549,45.199769
1696112302.550,44.696881
1696112312.551,0.000000
1696112322.550,18.401480
1696112332.550,21.100319
1696112342.557,71.548782
1696112352.550,41.729043
1696112362.550,13.400314
1696112372.550,70.499370
1696112382.550,24.199989
1696112392.571,62.967781
1696112402.550,53.111831
1696112412.550,41.198534
1696112422.550,28.800662
1696112432.550,3.700036
1696112442.552,28.695062
1696112452.550,40.606559
1696112462.549,97.808122
1696112472.551,96.684994
1696112482.550,60.506532
1696112492.550,60.799651
1696112502.550,84.798641
1696112512.550,63.999459
1696112522.551,43.196217
1696112532.550,96.108191
1696112542.550,54.099694
1696112552.550,80.100810
1696112562.550,89.299153
1696112572.550,57.399908
1696112582.552,71.288177
1696112592.550,97.617232
1696112602.567,95.640284
1696112612.550,46.077013
1696112622.550,82.799290
1696112632.550,66.400001
1696112642.550,79.699108
1696112652.549,89.307952
1696112662.550,64.794951
1696112672.550,60.399757
1696112682.550,89.600649
1696112692.550,89.799663
1696112702.551,79.192268
1696112712.550,97.409537
1696112722.550,97.800713
1696112732.550,68.797563
1696112742.581,86.332047
1696112752.552,91.874099
1696112762.550,81.809207
1696112772.551,93.690000
1696112782.549,97.923812
1696112792.549,98.398112
1696112802.549,95.301734
1696112812.549,98.600219
1696112822.549,98.299859
1696112832.549,89.799005
1696112842.549,98.700761
1696112852.549,98.799155
1696112862.550,92.392266
1696112872.550,97.301118
1696112882.549,97.308268
1696112892.550,84.291700
1696112902.550,97.397801
1696112912.550,87.405134
1696112922.550,35.198946
1696112932.551,74.093865
1696112942.550,74.904798
1696112952.549,81.507742
1696112962.550,97.692399
1696112972.550,96.499421
1696112982.550,74.197739
1696112992.549,78.708604
1696113002.550,56.296796
1696113012.551,70.788629
1696113022.550,56.908537
1696113032.550,29.299851
1696113042.550,27.100069
1696113052.550,56.699580
1696113062.550,93.800651
1696113072.550,14.599742
1696113082.550,59.400426
1696113092.550,85.700022
1696113102.551,73.590363
1696113112.552,57.393644
1696113122.552,92.306808
1696113132.550,97.317863
1696113142.551,82.791874
1696113152.550,97.006128
1696113162.550,97.503467
1696113172.550,83.598441
1696113182.550,75.301275
1696113192.550,88.899966
1696113202.550,97.198562
1696113212.550,77.900898
1696113222.550,91.599578
1696113232.550,94.300454
1696113242.550,79.301153
1696113252.551,96.788843
1696113262.551,97.198625
1696113272.550,75.708518
