epoch,value
1696111812.549,nan
1696111822.549,2.000010
1696111832.549,0.500000
1696111842.549,0.300000
1696111852.549,2.399999
1696111862.549,0.300001
1696111872.549,0.400000
1696111882.549,9.099758
1696111892.549,75.598504
1696111902.549,28.800685
1696111912.549,63.900060
1696111922.549,56.199941
1696111932.549,79.998368
1696111942.549,93.001842
1696111952.549,47.598894
1696111962.549,73.700045
1696111972.549,27.000661
1696111982.549,68.798285
1696111992.549,85.500295
1696112002.550,99.192665
1696112012.549,45.602895
1696112022.549,91.802968
1696112032.549,70.498541
1696112042.549,86.899678
1696112052.549,84.800306
1696112062.549,48.899861
1696112072.549,21.300001
1696112082.549,64.500164
1696112092.549,0.900020
1696112102.549,29.999315
1696112112.549,71.199910
1696112122.549,27.900648
1696112132.549,14.799656
1696112142.549,13.799823
1696112152.549,33.701204
1696112162.549,78.400036
1696112172.549,32.098908
1696112182.549,29.601016
1696112192.549,38.298864
1696112202.549,30.201458
1696112212.549,0.800001
1696112222.549,0.900000
1696112232.549,7.500020
1696112242.549,0.400001
1696112252.549,0.599996
1696112262.549,3.000024
1696112272.549,0.999995
1696112282.549,1.300002
1696112292.549,52.398897
1696112302.549,54.299817
1696112312.549,99.500421
1696112322.549,80.897892
1696112332.549,78.100124
1696112342.549,27.299935
1696112352.549,57.100095
1696112362.549,86.100172
1696112372.549,28.300149
1696112382.549,73.799661
1696112392.550,34.795104
1696112402.549,44.506262
1696112412.549,57.799295
1696112422.549,70.500796
1696112432.549,95.300114
1696112442.549,70.901394
1696112452.549,58.198733
1696112462.549,1.200027
1696112472.549,2.700002
1696112482.549,37.999928
1696112492.549,37.399958
1696112502.549,11.799865
1696112512.549,33.999727
1696112522.549,55.999994
1696112532.549,3.100003
1696112542.549,44.800199
1696112552.549,18.799840
1696112562.549,9.600011
1696112572.549,41.300119
1696112582.549,27.700510
1696112592.549,1.099975
1696112602.550,2.399674
1696112612.549,53.108368
1696112622.549,15.399661
1696112632.549,32.100103
1696112642.549,14.199993
1696112652.549,9.800212
1696112662.549,34.099164
1696112672.549,35.500004
1696112682.549,10.099994
1696112692.549,9.400024
1696112702.549,19.000403
1696112712.549,1.099975
1696112722.549,1.000002
1696112732.549,29.299932
1696112742.549,10.900196
1696112752.549,4.399915
1696112762.550,14.598920
1696112772.549,4.700468
1696112782.549,0.900018
1696112792.549,0.799997
1696112802.549,2.700024
1696112812.549,0.600001
1696112822.549,0.499995
1696112832.549,7.700003
1696112842.549,0.400001
1696112852.549,0.699999
1696112862.549,4.100042
1696112872.549,1.199991
1696112882.549,1.299998
1696112892.549,13.099442
1696112902.549,1.500000
1696112912.549,11.600247
1696112922.549,60.798778
1696112932.549,25.099991
1696112942.549,23.899948
1696112952.549,13.400328
1696112962.549,1.099977
1696112972.549,1.999992
1696112982.549,21.699938
1696112992.549,17.100476
1696113002.549,41.299948
1696113012.550,27.797583
1696113022.549,41.003603
1696113032.549,69.698692
1696113042.549,71.899797
1696113052.549,42.399897
1696113062.549,4.800046
1696113072.549,84.499243
1696113082.549,39.300141
1696113092.549,12.899983
1696113102.549,22.300429
1696113112.549,40.300016
1696113122.549,4.800013
1696113132.549,1.099997
1696113142.549,14.999703
1696113152.549,1.599991
1696113162.549,1.300034
1696113172.549,14.199513
1696113182.549,23.700799
1696113192.549,10.300000
1696113202.549,1.399966
1696113212.549,20.500464
1696113222.549,5.700013
1696113232.549,3.399995
1696113242.549,15.700011
1696113252.549,1.800006
1696113262.549,1.399956
1696113272.549,23.000699
1696113282.549,2.500005
1696113292.549,1.100000
1696113302.549,13.499740
1696113312.549,8.699951
1696113322.549,1.500048
1696113332.550,13.798509
1696113342.550,26.600479
1696113352.549,22.701556
1696113362.549,14.099710
1696113372.549,23.001169
1696113382.549,0.599999
1696113392.549,0.600002
1696113402.549,3.400002
1696113412.549,0.700004
1696113422.549,0.399996
1696113432.549,8.300027
1696113442.549,0.800000
1696113452.549,0.299999
1696113462.549,9.600078
1696113472.549,1.300010
1696113482.549,1.399986
1696113492.549,1.399991
1696113502.549,66.797595
1696113512.549,87.799615
1696113522.549,79.100253
1696113532.549,5.599960
1696113542.549,5.100149
1696113552.549,61.498734
1696113562.549,84.700027
1696113572.549,31.699960
1696113582.551,69.287498
1696113592.549,68.013667
1696113602.549,59.998648
1696113612.550,26.598056
1696113622.549,56.204121
1696113632.549,15.200461
1696113642.549,54.498137
1696113652.549,46.701078
1696113662.549,48.600193
1696113672.549,10.599762
1696113682.549,21.300434
1696113692.549,2.099957
1696113702.549,50.301013
1696113712.549,49.099085
1696113722.549,41.900684
1696113732.549,12.499744
1696113742.549,37.400200
1696113752.549,22.800436
1696113762.549,9.399985
1696113772.550,13.198849
1696113782.549,30.302669
1696113792.549,35.000055
1696113802.549,12.599694
1696113812.549,76.800338
1696113822.549,57.699965
1696113832.549,33.000684
1696113842.549,66.599909
1696113852.549,9.000011
1696113862.549,6.999995
1696113872.549,32.399992
1696113882.549,30.299328
1696113892.549,13.800303
1696113902.549,29.499394
1696113912.549,16.000318
1696113922.549,46.500015
1696113932.549,20.000042
1696113942.549,54.398690
1696113952.549,51.801178
1696113962.549,45.799042
1696113972.549,13.499971
1696113982.549,1.100050
1696113992.549,0.599996
1696114002.549,4.500012
1696114012.549,0.700002
1696114022.549,0.500001
1696114032.549,7.599954
1696114042.549,0.400001
1696114052.549,0.499999
1696114062.549,3.400010
1696114072.549,1.500009
1696114082.549,1.399991
1696114092.549,48.399084
1696114102.549,66.798558
1696114112.549,55.700016
1696114122.549,13.500252
1696114132.549,0.800000
1696114142.549,26.900073
1696114152.549,84.099803
1696114162.549,3.100001
1696114172.549,13.800033
1696114182.549,35.100112
1696114192.549,69.098286
1696114202.549,81.799661
1696114212.549,65.100193
1696114222.549,37.400000
1696114232.549,25.900570
1696114242.549,64.200061
1696114252.550,56.094963
1696114262.549,58.503926
1696114272.549,20.900443
1696114282.549,43.299060
1696114292.549,21.599980
1696114302.549,33.400772
1696114312.549,39.399160
1696114322.549,31.400607
1696114332.549,1.399973
1696114342.549,11.499907
1696114352.549,4.700133
1696114362.549,0.999979
1696114372.549,21.500413
1696114382.549,19.899524
1696114392.549,8.300191
1696114402.549,4.500021
1696114412.549,23.199948
1696114422.549,12.599741
1696114432.549,7.499863
1696114442.549,51.502015
1696114452.549,1.299981
1696114462.549,7.899965
1696114472.549,22.099945
1696114482.549,8.999988
1696114492.549,7.799986
1696114502.549,26.900103
1696114512.549,35.099995
1696114522.549,54.201193
1696114532.550,33.897008
1696114542.549,37.302952
1696114552.549,36.000295
1696114562.549,40.099210
1696114572.549,25.100503
1696114582.549,17.600009
1696114592.549,39.700030
1696114602.549,74.698236
1696114612.549,99.102205
1696114622.549,95.800012
1696114632.549,92.197407
1696114642.549,99.700319
1696114652.549,21.100523
1696114662.551,14.997313
1696114672.549,22.304011
1696114682.549,16.899948
1696114692.549,24.400124
1696114702.549,5.199988
1696114712.549,1.199972
1696114722.549,18.599844
1696114732.549,9.900108
1696114742.550,1.299883
1696114752.549,1.600140
1696114762.549,43.399956
1696114772.549,48.001098
1696114782.549,9.700247
1696114792.549,3.100000
1696114802.549,1.299995
1696114812.549,0.899998
1696114822.549,7.700027
1696114832.549,0.400002
1696114842.549,0.899995
1696114852.549,1.799994
1696114862.549,0.400001
1696114872.549,0.600000
1696114882.549,2.000000
1696114892.549,0.499999
1696114902.549,1.399998
1696114912.549,8.100053
1696114922.549,0.899958
1696114932.549,0.200009
1696114942.549,1.900002
1696114952.549,0.500000
1696114962.549,0.199999
1696114972.549,1.799975
1696114982.549,0.800012
1696114992.549,0.700001
1696115002.549,0.600000
1696115012.549,1.100003
1696115022.549,2.000018
1696115032.549,1.599984
1696115042.549,3.100003
1696115052.549,0.399999
1696115062.549,0.800002
1696115072.549,1.699999
1696115082.549,0.699997
1696115092.549,0.900002
1696115102.549,2.100004
1696115112.549,0.599998
1696115122.549,0.600002
1696115132.549,1.699998
1696115142.549,1.900006
1696115152.549,1.899994
1696115162.549,2.199994
1696115172.549,0.600001
1696115182.549,0.300001
1696115192.549,2.299992
1696115202.549,0.500000
1696115212.549,0.500002
1696115222.549,8.199983
1696115232.549,0.500000
1696115242.549,0.600001
1696115252.549,7.799999
1696115262.549,1.700012
1696115272.549,1.300002
1696115282.549,1.699936
1696115292.549,1.300033
1696115302.549,0.400001
1696115312.549,0.100000
1696115322.549,8.200016
1696115332.549,0.200000
1696115342.549,0.500001
1696115352.549,8.099993
1696115362.549,0.300000
1696115372.549,0.300000
1696115382.549,9.500013
1696115392.549,1.400004
1696115402.549,1.299995
