epoch,value
1696111812.549,nan
1696111822.549,2.100021
1696111832.549,0.399999
1696111842.549,0.500001
1696111852.549,1.899989
1696111862.549,0.200002
1696111872.549,0.400000
1696111882.549,1.399968
1696111892.550,0.799939
1696111902.549,1.400086
1696111912.549,4.600073
1696111922.549,2.599970
1696111932.550,0.799958
1696111942.550,3.599998
1696111952.550,0.899993
1696111962.550,1.000002
1696111972.549,2.500182
1696111982.551,0.699834
1696111992.550,1.000164
1696112002.550,4.099915
1696112012.551,1.299826
1696112022.549,3.000650
1696112032.550,2.299866
1696112042.550,3.099973
1696112052.550,1.000003
1696112062.550,0.800002
1696112072.550,1.000005
1696112082.550,0.299997
1696112092.549,0.700054
1696112102.552,1.299659
1696112112.550,0.500094
1696112122.549,0.500037
1696112132.550,0.599953
1696112142.550,0.999979
1696112152.549,1.300114
1696112162.549,5.400050
1696112172.550,1.199892
1696112182.549,0.700064
1696112192.551,2.899458
1696112202.549,1.300273
1696112212.549,0.100000
1696112222.549,0.300000
1696112232.549,1.600004
1696112242.549,0.299999
1696112252.549,0.599993
1696112262.549,3.500032
1696112272.549,1.400006
1696112282.549,1.299997
1696112292.549,2.199950
1696112302.550,0.899937
1696112312.549,0.600036
1696112322.550,3.399778
1696112332.550,1.000007
1696112342.557,0.799425
1696112352.550,3.002141
1696112362.550,0.800007
1696112372.549,0.500025
1696112382.550,6.199641
1696112392.552,1.099751
1696112402.550,0.800185
1696112412.550,2.299971
1696112422.549,1.200074
1696112432.550,1.099943
1696112442.549,0.700043
1696112452.550,3.399769
1696112462.549,0.600049
1696112472.549,0.799987
1696112482.549,3.600048
1696112492.549,0.499992
1696112502.550,1.499923
1696112512.550,4.999971
1696112522.551,2.699759
1696112532.549,0.300042
1696112542.549,3.599997
1696112552.550,0.699962
1696112562.550,1.399994
1696112572.549,2.600157
1696112582.549,0.700007
1696112592.550,0.399974
1696112602.557,1.598792
1696112612.550,3.602733
1696112622.550,2.099997
1696112632.549,2.300118
1696112642.550,1.499921
1696112652.549,0.700054
1696112662.550,0.099992
1696112672.550,0.699998
1696112682.550,0.700004
1696112692.550,0.299999
1696112702.549,2.800185
1696112712.550,0.399975
1696112722.549,0.600034
1696112732.550,3.199844
1696112742.549,1.200080
1696112752.551,0.099977
1696112762.550,2.200287
1696112772.549,1.000104
1696112782.549,0.600008
1696112792.549,0.400001
1696112802.549,1.900016
1696112812.549,0.299997
1696112822.549,0.299999
1696112832.549,0.899991
1696112842.549,0.300003
1696112852.549,0.499995
1696112862.549,2.900061
1696112872.550,1.099898
1696112882.549,1.300109
1696112892.550,1.699829
1696112902.550,1.100008
1696112912.549,1.200088
1696112922.550,1.299906
1696112932.551,0.799932
1696112942.550,0.800063
1696112952.549,0.900073
1696112962.550,0.499961
1696112972.550,0.699999
1696112982.550,3.800023
1696112992.549,1.000064
1696113002.549,1.100009
1696113012.551,0.499890
1696113022.549,2.400530
1696113032.549,0.599987
1696113042.550,0.999948
1696113052.550,3.099987
1696113062.549,0.600036
1696113072.550,0.699960
1696113082.550,2.799976
1696113092.550,0.500001
1696113102.549,0.700058
1696113112.549,3.000008
1696113122.549,0.900001
1696113132.549,0.299997
1696113142.551,3.499428
1696113152.550,0.600052
1696113162.549,0.400032
1696113172.550,3.399713
1696113182.549,1.200098
1696113192.549,0.400001
1696113202.550,0.199984
1696113212.550,3.900040
1696113222.549,0.200013
1696113232.549,1.500006
1696113242.549,2.800020
1696113252.549,0.599998
1696113262.551,0.599890
1696113272.549,2.900537
1696113282.549,0.199998
1696113292.549,0.500008
1696113302.550,0.499962
1696113312.550,0.499989
1696113322.549,0.200018
1696113332.550,0.299967
1696113342.550,0.800019
1696113352.549,0.800057
1696113362.551,1.599722
1696113372.549,1.000210
1696113382.549,0.299994
1696113392.549,0.800011
1696113402.549,1.399998
1696113412.549,0.600003
1696113422.549,0.600000
1696113432.549,1.199999
1696113442.549,0.300000
1696113452.549,0.599999
1696113462.549,2.300005
1696113472.549,1.400022
1696113482.549,1.099989
1696113492.550,2.399784
1696113502.549,0.500022
1696113512.550,1.099939
1696113522.550,0.900005
1696113532.550,0.600001
1696113542.549,0.300022
1696113552.550,0.999928
1696113562.550,1.000003
1696113572.550,0.799987
1696113582.551,4.499433
1696113592.549,2.300458
1696113602.550,2.199838
1696113612.551,0.599912
1696113622.552,3.999856
1696113632.549,1.000275
1696113642.550,0.699932
1696113652.550,1.500026
1696113662.549,0.600040
1696113672.550,0.499963
1696113682.549,0.700050
1696113692.549,0.299994
1696113702.549,1.700020
1696113712.550,4.699704
1696113722.549,2.000137
1696113732.550,0.499960
1696113742.550,3.900069
1696113752.549,0.700033
1696113762.549,0.600000
1696113772.550,2.499819
1696113782.549,1.900165
1696113792.549,0.300002
1696113802.550,0.499959
1696113812.550,3.900019
1696113822.551,1.599801
1696113832.549,3.000550
1696113842.549,2.200029
1696113852.550,0.599960
1696113862.549,0.200013
1696113872.549,1.600003
1696113882.550,0.599960
1696113892.549,0.500026
1696113902.550,0.399976
1696113912.549,0.300022
1696113922.549,0.599993
1696113932.549,1.000011
1696113942.551,2.599504
1696113952.549,2.400459
1696113962.550,2.399830
1696113972.550,0.999997
1696113982.549,1.100110
1696113992.549,0.299998
1696114002.549,1.600004
1696114012.549,0.500002
1696114022.549,0.300000
1696114032.549,1.099990
1696114042.549,0.600007
1696114052.549,0.299998
1696114062.549,3.399956
1696114072.549,1.300031
1696114082.549,1.699986
1696114092.549,1.399950
1696114102.549,0.899994
1696114112.550,1.099945
1696114122.549,0.800053
1696114132.549,0.900001
1696114142.549,0.700003
1696114152.550,1.099928
1696114162.550,0.799995
1696114172.549,0.300021
1696114182.550,0.899932
1696114192.550,4.200000
1696114202.550,2.499999
1696114212.550,0.600001
1696114222.552,0.699878
1696114232.549,0.500126
1696114242.549,0.799994
1696114252.550,0.899920
1696114262.550,1.000020
1696114272.549,0.600038
1696114282.550,0.699954
1696114292.550,0.799998
1696114302.549,1.300093
1696114312.551,1.599745
1696114322.549,0.400066
1696114332.550,0.000000
1696114342.550,2.299991
1696114352.549,0.900068
1696114362.550,0.599956
1696114372.549,0.500036
1696114382.550,3.299762
1696114392.549,0.700039
1696114402.549,0.300006
1696114412.549,3.499985
1696114422.551,0.699891
1696114432.550,0.800058
1696114442.549,1.600133
1696114452.549,0.499992
1696114462.550,0.699961
1696114472.550,4.199984
1696114482.550,0.700000
1696114492.550,0.399999
1696114502.549,3.400190
1696114512.550,0.299984
1696114522.549,0.900055
1696114532.550,2.099834
1696114542.549,2.000172
1696114552.549,2.100001
1696114562.550,2.499842
1696114572.549,0.600046
1696114582.549,0.600000
1696114592.549,0.700001
1696114602.550,0.799936
1696114612.549,1.300096
1696114622.549,1.300001
1696114632.550,1.299879
1696114642.551,0.699909
1696114652.549,0.900202
1696114662.551,0.499908
1696114672.549,1.200220
1696114682.549,0.999995
1696114692.549,1.000009
1696114702.549,0.499989
1696114712.550,0.399974
1696114722.550,0.599997
1696114732.550,0.600006
1696114742.551,0.499930
1696114752.550,0.200027
1696114762.550,0.600001
1696114772.549,0.500039
1696114782.549,1.600041
1696114792.549,2.800001
1696114802.549,1.399989
1696114812.549,0.500000
1696114822.549,0.999996
1696114832.549,0.600009
1696114842.549,0.599996
1696114852.549,2.600001
1696114862.549,0.399997
1696114872.549,0.300003
1696114882.549,1.799980
1696114892.549,0.600004
1696114902.549,1.899982
1696114912.549,2.300032
1696114922.549,1.399937
1696114932.549,0.700023
1696114942.549,3.100008
1696114952.549,0.500004
1696114962.549,0.499999
1696114972.549,2.799928
1696114982.549,0.700018
1696114992.549,0.399997
1696115002.549,0.400000
1696115012.549,2.200013
1696115022.549,1.100000
1696115032.549,0.699992
1696115042.549,3.400062
1696115052.549,0.399998
1696115062.549,0.400002
1696115072.549,2.099963
1696115082.549,0.300004
1696115092.549,0.399999
1696115102.549,1.699995
1696115112.549,0.499998
1696115122.550,0.399972
1696115132.549,2.100151
1696115142.549,1.600004
1696115152.549,1.799964
1696115162.549,3.000048
1696115172.550,0.299978
1696115182.549,0.400028
1696115192.549,2.300027
1696115202.549,0.599999
1696115212.549,0.299997
1696115222.549,1.200017
1696115232.549,0.300001
1696115242.549,0.399999
1696115252.549,1.599989
1696115262.549,1.200019
1696115272.549,1.599981
1696115282.549,1.699951
1696115292.549,1.800036
1696115302.549,0.500009
1696115312.549,0.399994
1696115322.549,0.700000
1696115332.550,0.299978
1696115342.549,0.500043
1696115352.549,1.599996
1696115362.549,0.499997
1696115372.549,0.399998
1696115382.549,2.900008
1696115392.549,1.200006
1696115402.549,1.100002
