epoch,value
1696097421.132,nan
1696097431.132,0.299999
1696097441.132,0.000000
1696097451.132,0.000000
1696097461.132,0.000000
1696097471.132,0.000000
1696097481.133,0.000000
1696097491.132,0.000000
1696097501.133,0.000000
1696097511.132,0.200014
1696097521.132,0.199998
1696097531.132,0.000000
1696097541.132,0.000000
1696097551.132,0.100000
1696097561.132,0.000000
1696097571.132,0.200002
1696097581.133,0.399967
1696097591.132,0.000000
1696097601.132,0.100001
1696097611.132,0.000000
1696097621.132,0.000000
1696097631.132,0.100000
1696097641.132,0.099999
1696097651.132,0.099999
1696097661.132,0.000000
1696097671.133,0.000000
1696097681.132,0.100006
1696097691.132,0.100000
1696097701.132,0.000000
1696097711.132,0.000000
1696097721.133,0.000000
1696097731.132,0.100008
1696097741.132,0.000000
1696097751.132,0.100000
1696097761.132,0.299997
1696097771.132,0.000000
1696097781.132,0.000000
1696097791.132,0.000000
1696097801.132,0.000000
1696097811.132,0.199999
1696097821.133,0.299978
1696097831.133,0.199999
1696097841.132,0.000000
1696097851.133,0.000000
1696097861.132,0.000000
1696097871.132,0.000000
1696097881.132,0.200001
1696097891.132,0.000000
1696097901.132,0.100000
1696097911.132,0.100001
1696097921.132,0.000000
1696097931.132,0.199998
1696097941.132,0.200001
1696097951.132,0.100001
1696097961.133,0.099988
1696097971.133,0.100003
1696097981.132,0.100009
1696097991.132,0.199998
1696098001.133,0.099995
1696098011.132,0.000000
1696098021.132,0.000000
1696098031.133,0.199985
1696098041.132,0.100008
1696098051.132,0.199996
1696098061.133,0.099992
1696098071.133,0.000000
1696098081.132,0.200010
1696098091.132,0.100000
1696098101.132,0.000000
1696098111.132,0.200002
1696098121.132,0.000000
1696098131.132,0.000000
1696098141.132,0.100001
1696098151.132,0.000000
1696098161.133,0.099992
1696098171.133,0.100001
1696098181.132,0.100007
1696098191.132,0.000000
1696098201.133,0.000000
1696098211.132,0.000000
1696098221.133,0.000000
1696098231.132,0.000000
1696098241.133,0.299994
1696098251.133,0.000000
1696098261.133,0.099999
1696098271.133,0.000000
1696098281.137,0.099958
1696098291.133,0.000000
1696098301.132,0.000000
1696098311.132,0.100001
1696098321.133,0.000000
1696098331.133,0.200002
1696098341.133,0.399972
1696098351.133,0.200001
1696098361.133,0.300015
1696098371.133,0.000000
1696098381.133,0.099992
1696098391.133,0.200002
1696098401.132,0.000000
1696098411.132,0.100000
1696098421.133,0.299992
1696098431.132,0.000000
1696098441.133,0.099993
1696098451.133,0.100004
1696098461.133,0.299998
1696098471.133,0.099993
1696098481.132,0.200022
1696098491.133,0.000000
1696098501.133,0.200014
1696098511.134,0.199976
1696098521.133,0.100005
1696098531.133,0.000000
1696098541.133,0.000000
1696098551.133,0.000000
1696098561.132,0.000000
1696098571.133,0.099997
1696098581.133,0.099996
1696098591.133,0.100000
1696098601.132,0.100006
1696098611.133,0.000000
1696098621.133,0.100002
1696098631.133,0.199998
1696098641.132,0.000000
1696098651.133,0.299978
1696098661.133,0.400016
1696098671.133,0.100000
1696098681.133,0.099999
1696098691.133,0.100000
1696098701.132,0.100006
1696098711.132,0.399998
1696098721.133,0.000000
1696098731.132,0.200013
1696098741.132,0.000000
1696098751.133,0.099991
1696098761.132,0.000000
1696098771.132,0.100000
1696098781.132,0.100002
1696098791.133,0.099992
1696098801.132,0.000000
1696098811.132,0.099999
1696098821.132,0.000000
1696098831.134,0.000000
1696098841.132,0.400079
1696098851.132,0.000000
1696098861.133,0.099993
1696098871.132,0.100007
1696098881.133,0.099992
1696098891.132,0.000000
1696098901.132,0.000000
1696098911.133,0.000000
1696098921.132,0.000000
1696098931.132,0.199997
1696098941.132,0.199999
1696098951.133,0.099996
1696098961.132,0.300019
1696098971.133,0.000000
1696098981.132,0.000000
1696098991.132,0.100002
1696099001.132,0.000000
1696099011.132,0.000000
1696099021.133,0.399969
1696099031.132,0.000000
1696099041.132,0.100002
1696099051.132,0.000000
1696099061.132,0.000000
1696099071.132,0.200000
1696099081.132,0.000000
1696099091.132,0.000000
1696099101.133,0.000000
1696099111.132,0.100007
1696099121.132,0.100001
1696099131.132,0.000000
1696099141.132,0.000000
1696099151.132,0.000000
1696099161.132,0.200002
1696099171.132,0.199997
1696099181.132,0.200002
1696099191.137,0.299863
1696099201.133,0.200076
1696099211.132,0.000000
1696099221.132,0.199998
1696099231.133,0.000000
1696099241.132,0.100006
1696099251.133,0.099993
1696099261.133,0.200000
1696099271.133,0.000000
1696099281.132,0.100006
1696099291.133,0.199987
1696099301.132,0.100008
1696099311.132,0.299992
1696099321.132,0.200000
1696099331.133,0.000000
1696099341.133,0.199998
1696099351.133,0.200002
1696099361.132,0.100002
1696099371.133,0.099997
1696099381.132,0.000000
1696099391.133,0.199977
1696099401.132,0.200018
1696099411.133,0.099994
1696099421.132,0.000000
1696099431.133,0.199996
1696099441.133,0.000000
1696099451.133,0.000000
1696099461.133,0.099998
1696099471.133,0.100002
1696099481.133,0.100001
1696099491.133,0.000000
1696099501.132,0.100004
1696099511.132,0.000000
1696099521.133,0.099999
1696099531.133,0.099999
1696099541.132,0.100003
1696099551.133,0.299981
1696099561.133,0.400011
1696099571.133,0.099996
1696099581.134,0.000000
1696099591.133,0.100012
1696099601.132,0.100002
1696099611.133,0.099998
1696099621.133,0.200000
1696099631.133,0.299975
1696099641.133,0.100006
1696099651.132,0.300019
1696099661.133,0.099993
1696099671.133,0.000000
1696099681.133,0.199999
1696099691.133,0.100001
1696099701.132,0.100003
1696099711.132,0.000000
1696099721.133,0.000000
1696099731.133,0.199984
1696099741.132,0.100009
1696099751.133,0.000000
1696099761.133,0.100008
1696099771.132,0.300011
1696099781.132,0.000000
1696099791.132,0.399997
1696099801.133,0.299992
1696099811.133,0.000000
1696099821.133,0.199998
1696099831.133,0.000000
1696099841.133,0.100000
1696099851.133,0.100002
1696099861.133,0.000000
1696099871.133,0.200002
1696099881.133,0.000000
1696099891.133,0.000000
1696099901.133,0.000000
1696099911.133,0.000000
1696099921.133,0.500004
1696099931.133,0.000000
1696099941.133,0.099998
1696099951.133,0.000000
1696099961.133,0.000000
1696099971.133,0.100000
1696099981.133,0.099999
1696099991.132,0.000000
1696100001.133,0.099997
1696100011.133,0.199998
1696100021.133,0.000000
1696100031.133,0.000000
1696100041.132,0.000000
1696100051.133,0.000000
1696100061.132,0.000000
1696100071.133,0.299987
1696100081.133,0.100001
1696100091.133,0.000000
1696100101.133,0.099999
1696100111.132,0.000000
1696100121.133,0.000000
1696100131.133,0.100001
1696100141.133,0.099997
1696100151.132,0.100006
1696100161.133,0.399987
1696100171.133,0.000000
1696100181.132,0.100004
1696100191.133,0.199990
1696100201.132,0.100005
1696100211.132,0.000000
1696100221.133,0.199994
1696100231.133,0.000000
1696100241.132,0.200011
1696100251.132,0.000000
1696100261.132,0.000000
1696100271.133,0.000000
1696100281.133,0.000000
1696100291.132,0.100004
1696100301.133,0.199983
1696100311.133,0.000000
1696100321.133,0.199992
1696100331.133,0.000000
1696100341.132,0.000000
1696100351.133,0.099997
1696100361.133,0.100001
1696100371.132,0.200008
1696100381.133,0.199991
1696100391.132,0.500025
1696100401.133,0.299989
1696100411.133,0.000000
1696100421.133,0.099999
1696100431.133,0.200005
1696100441.133,0.000000
1696100451.132,0.300017
1696100461.133,0.000000
1696100471.132,0.000000
1696100481.133,0.099994
1696100491.133,0.100002
1696100501.133,0.099994
1696100511.132,0.400036
1696100521.132,0.200000
1696100531.133,0.199983
1696100541.133,0.000000
1696100551.133,0.199999
1696100561.133,0.000000
1696100571.133,0.000000
1696100581.133,0.000000
1696100591.133,0.000000
1696100601.132,0.000000
1696100611.133,0.099998
1696100621.133,0.100000
1696100631.133,0.400002
1696100641.133,0.099999
1696100651.133,0.000000
1696100661.133,0.000000
1696100671.133,0.400000
1696100681.133,0.099999
1696100691.133,0.300002
1696100701.133,0.100000
1696100711.132,0.100003
1696100721.133,0.099997
1696100731.133,0.000000
1696100741.133,0.100000
1696100751.133,0.300002
1696100761.132,0.200009
1696100771.132,0.099999
