epoch,value
1696097421.132,nan
1696097431.132,0.300000
1696097441.132,0.500002
1696097451.132,2.199998
1696097461.132,0.800002
1696097471.132,0.500000
1696097481.132,2.399960
1696097491.132,0.500004
1696097501.132,1.400015
1696097511.132,3.399971
1696097521.132,1.800007
1696097531.132,0.499995
1696097541.132,1.500004
1696097551.132,0.899993
1696097561.132,0.700006
1696097571.132,1.500014
1696097581.132,0.299999
1696097591.132,0.399997
1696097601.132,1.600010
1696097611.132,0.799991
1696097621.132,1.200028
1696097631.132,3.100006
1696097641.132,1.299981
1696097651.132,0.600000
1696097661.132,1.700003
1696097671.132,0.899999
1696097681.132,0.500001
1696097691.132,0.899996
1696097701.132,1.600007
1696097711.132,0.499998
1696097721.132,0.199999
1696097731.132,2.400000
1696097741.132,1.500018
1696097751.132,2.299988
1696097761.132,2.499977
1696097771.132,0.500003
1696097781.132,0.900000
1696097791.132,1.399998
1696097801.132,0.500004
1696097811.132,0.399997
1696097821.132,1.000006
1696097831.132,0.499998
1696097841.132,0.300000
1696097851.132,1.800011
1696097861.132,0.700000
1696097871.132,1.699998
1696097881.132,2.300016
1696097891.132,0.399994
1696097901.132,0.200003
1696097911.132,0.899996
1696097921.132,0.600001
1696097931.132,0.700001
1696097941.132,0.999999
1696097951.132,0.200001
1696097961.132,0.799998
1696097971.132,2.399991
1696097981.132,0.500003
1696097991.132,1.700001
1696098001.132,1.199945
1696098011.132,1.000032
1696098021.132,0.500007
1696098031.132,0.299999
1696098041.132,1.599998
1696098051.132,0.399998
1696098061.132,0.200000
1696098071.132,1.599956
1696098081.132,0.400007
1696098091.132,0.800014
1696098101.132,1.500007
1696098111.132,1.399978
1696098121.132,1.600008
1696098131.132,1.700003
1696098141.132,0.800005
1696098151.132,0.299999
1696098161.132,2.299970
1696098171.132,0.400006
1696098181.132,0.999984
1696098191.132,1.000011
1696098201.132,0.399998
1696098211.132,0.400001
1696098221.133,2.699831
1696098231.132,1.200039
1696098241.132,1.099977
1696098251.133,4.199982
1696098261.132,1.200017
1696098271.132,0.700000
1696098281.136,0.499823
1696098291.132,4.201487
1696098301.132,0.600014
1696098311.132,1.100010
1696098321.133,3.599806
1696098331.132,1.300039
1696098341.132,2.400052
1696098351.132,7.000046
1696098361.132,1.599930
1696098371.132,1.100015
1696098381.132,1.800040
1696098391.132,1.700002
1696098401.132,0.899980
1696098411.132,1.999988
1696098421.132,1.400003
1696098431.132,0.500014
1696098441.133,2.299863
1696098451.132,1.600074
1696098461.132,1.099982
1696098471.132,1.300039
1696098481.132,0.899998
1696098491.132,1.099994
1696098501.132,0.999984
1696098511.132,3.900050
1696098521.132,0.900012
1696098531.132,1.399950
1696098541.132,4.700029
1696098551.132,1.099988
1696098561.132,1.200029
1696098571.132,4.299893
1696098581.132,2.100002
1696098591.132,3.900038
1696098601.132,3.700074
1696098611.132,1.299955
1696098621.132,0.900000
1696098631.133,1.499977
1696098641.132,2.400132
1696098651.132,0.899964
1696098661.132,1.400001
1696098671.132,2.300007
1696098681.132,1.600012
1696098691.132,1.200000
1696098701.132,2.500109
1696098711.132,1.399988
1696098721.132,1.100010
1696098731.132,2.599967
1696098741.132,0.300004
1696098751.132,0.599998
1696098761.132,2.600011
1696098771.132,0.499999
1696098781.132,0.400001
1696098791.132,1.900000
1696098801.132,0.499990
1696098811.132,0.300003
1696098821.132,2.100027
1696098831.133,1.699762
1696098841.132,1.000131
1696098851.132,1.200002
1696098861.132,0.400001
1696098871.132,0.500002
1696098881.133,0.899919
1696098891.132,0.900068
1696098901.132,0.600007
1696098911.132,0.400001
1696098921.132,0.899997
1696098931.132,0.899986
1696098941.132,1.300013
1696098951.132,3.799892
1696098961.132,1.100042
1696098971.132,0.699995
1696098981.132,0.699993
1696098991.132,0.600011
1696099001.132,0.299999
1696099011.132,0.799994
1696099021.132,0.400002
1696099031.132,0.600001
1696099041.132,1.400001
1696099051.132,0.300000
1696099061.132,0.900003
1696099071.132,3.299962
1696099081.132,0.500004
1696099091.132,0.899997
1696099101.132,1.500001
1696099111.132,0.399999
1696099121.132,0.300002
1696099131.132,0.599995
1696099141.132,0.600005
1696099151.132,0.100000
1696099161.132,1.400005
1696099171.132,0.399996
1696099181.132,1.000005
1696099191.136,2.299174
1696099201.132,2.500901
1696099211.132,0.199999
1696099221.132,0.200001
1696099231.132,2.299997
1696099241.132,0.400002
1696099251.132,0.499994
1696099261.132,1.500002
1696099271.132,0.200002
1696099281.132,0.599997
1696099291.132,1.800005
1696099301.132,0.499996
1696099311.132,2.099953
1696099321.132,3.900028
1696099331.132,1.399972
1696099341.132,1.099988
1696099351.132,1.500020
1696099361.132,0.700019
1696099371.132,1.199970
1696099381.132,1.300026
1696099391.132,0.900001
1696099401.132,0.499989
1696099411.133,2.199926
1696099421.132,3.700237
1696099431.132,1.399950
1696099441.132,2.500002
1696099451.132,1.400005
1696099461.132,0.899985
1696099471.132,0.900002
1696099481.132,3.300051
1696099491.132,0.699997
1696099501.132,0.800020
1696099511.132,3.300014
1696099521.132,0.999972
1696099531.132,1.000003
