epoch,value
1696097421.132,nan
1696097431.132,99.201092
1696097441.132,99.401560
1696097451.132,97.198735
1696097461.132,99.201535
1696097471.132,98.798845
1696097481.133,97.191636
1696097491.132,99.208812
1696097501.133,97.793511
1696097511.132,90.206295
1696097521.132,97.499071
1696097531.132,98.900116
1696097541.132,89.599699
1696097551.132,98.899902
1696097561.132,99.400815
1696097571.132,91.400882
1696097581.133,98.792020
1696097591.132,99.006850
1696097601.132,90.200514
1696097611.132,98.999006
1696097621.132,98.102204
1696097631.132,88.400076
1696097641.132,97.598744
1696097651.132,98.998742
1696097661.132,90.199898
1696097671.133,98.693620
1696097681.132,99.305842
1696097691.132,91.799699
1696097701.132,97.000914
1696097711.132,99.300595
1696097721.133,98.992247
1696097731.132,96.907739
1696097741.132,98.001240
1696097751.132,96.499653
1696097761.132,90.099171
1696097771.132,98.900335
1696097781.132,99.098762
1696097791.132,90.201222
1696097801.132,99.000588
1696097811.132,99.499275
1696097821.133,89.893608
1696097831.133,99.299293
1696097841.132,98.806791
1696097851.133,96.393856
1696097861.132,97.904933
1696097871.132,96.201688
1696097881.132,87.900511
1696097891.132,99.099368
1696097901.132,99.000299
1696097911.132,89.700735
1696097921.132,99.000147
1696097931.132,99.298733
1696097941.132,90.300202
1696097951.132,99.401148
1696097961.133,99.088789
1696097971.133,93.102853
1696097981.132,97.708328
1696097991.132,96.398989
1696098001.133,96.195027
1696098011.132,90.904423
1696098021.132,98.999984
1696098031.133,99.192796
1696098041.132,97.208032
1696098051.132,98.998089
1696098061.133,98.992523
1696098071.133,90.103103
1696098081.132,99.104742
1696098091.132,98.899541
1696098101.132,88.699944
1696098111.132,95.700896
1696098121.132,97.100461
1696098131.132,96.798503
1696098141.132,99.200914
1696098151.132,98.800047
1696098161.133,97.092093
1696098171.133,99.000805
1696098181.132,99.306945
1696098191.132,89.900918
1696098201.133,99.091775
1696098211.132,99.106662
1696098221.133,82.696044
1696098231.132,44.201344
1696098241.133,33.299331
1696098251.133,37.099886
1696098261.133,59.799724
1696098271.133,4.100073
1696098281.137,35.885018
1696098291.133,0.000000
1696098301.133,0.000000
1696098311.132,0.000000
1696098321.133,0.000000
1696098331.133,30.600404
1696098341.133,0.000000
