epoch,shortterm,midterm,longterm
1696097411.213,0.280000,0.110000,0.050000
1696097421.153,0.260000,0.110000,0.040000
1696097431.153,0.220000,0.100000,0.040000
1696097441.153,0.180000,0.100000,0.040000
1696097451.153,0.160000,0.090000,0.040000
1696097461.153,0.720000,0.220000,0.080000
1696097471.153,0.680000,0.230000,0.090000
1696097481.153,0.650000,0.240000,0.090000
1696097491.153,0.630000,0.250000,0.100000
1696097501.153,0.600000,0.260000,0.100000
1696097511.153,0.580000,0.260000,0.110000
1696097521.153,0.570000,0.270000,0.110000
1696097531.153,0.480000,0.260000,0.110000
1696097541.153,0.410000,0.250000,0.110000
1696097551.153,0.340000,0.240000,0.100000
1696097561.153,0.290000,0.240000,0.100000
1696097571.153,0.330000,0.240000,0.110000
1696097581.153,0.270000,0.240000,0.100000
1696097591.153,0.230000,0.230000,0.100000
1696097601.153,0.200000,0.220000,0.100000
1696097611.153,0.160000,0.210000,0.100000
1696097621.153,0.140000,0.200000,0.100000
1696097631.153,0.120000,0.200000,0.090000
1696097641.153,0.100000,0.190000,0.090000
1696097651.153,0.080000,0.180000,0.090000
1696097661.153,0.070000,0.180000,0.090000
1696097671.153,0.060000,0.170000,0.090000
1696097681.153,0.050000,0.160000,0.090000
1696097691.153,0.040000,0.160000,0.090000
1696097701.153,0.110000,0.170000,0.090000
1696097711.153,0.090000,0.160000,0.090000
1696097721.153,0.080000,0.160000,0.090000
1696097731.153,0.210000,0.190000,0.100000
1696097741.153,0.180000,0.180000,0.100000
1696097751.153,0.150000,0.170000,0.090000
1696097761.153,0.130000,0.170000,0.090000
1696097771.153,0.110000,0.160000,0.090000
1696097781.153,0.090000,0.150000,0.090000
1696097791.153,0.080000,0.150000,0.090000
1696097801.153,0.060000,0.140000,0.090000
1696097811.153,0.050000,0.140000,0.090000
1696097821.153,0.050000,0.130000,0.090000
1696097831.153,0.040000,0.130000,0.080000
1696097841.153,0.030000,0.120000,0.080000
1696097851.153,0.110000,0.140000,0.090000
