epoch,value
1696106975.828,35627008.000000
1696106985.756,35766272.000000
1696106995.756,35778560.000000
1696107005.756,35778560.000000
1696107015.756,35778560.000000
1696107025.756,35778560.000000
1696107035.756,35778560.000000
1696107045.756,35778560.000000
1696107055.756,35778560.000000
1696107065.756,35778560.000000
1696107075.756,35778560.000000
1696107085.756,35778560.000000
1696107095.756,35778560.000000
1696107105.756,35811328.000000
1696107115.756,35815424.000000
1696107125.756,35799040.000000
1696107135.756,35790848.000000
1696107145.756,35790848.000000
1696107155.756,35790848.000000
1696107165.756,35790848.000000
1696107175.756,35790848.000000
1696107185.756,35790848.000000
1696107195.756,35790848.000000
1696107205.756,35790848.000000
1696107215.756,35790848.000000
1696107225.756,35831808.000000
1696107235.756,35819520.000000
1696107245.756,35803136.000000
1696107255.756,35803136.000000
1696107265.756,35803136.000000
1696107275.756,35803136.000000
1696107285.756,35803136.000000
1696107295.756,35803136.000000
1696107305.756,35803136.000000
1696107315.756,35803136.000000
1696107325.756,35803136.000000
1696107335.756,35803136.000000
1696107345.756,35823616.000000
1696107355.756,35827712.000000
1696107365.756,35819520.000000
1696107375.756,35819520.000000
1696107385.756,35811328.000000
1696107395.756,35811328.000000
1696107405.756,35811328.000000
1696107415.756,35811328.000000
1696107425.756,35811328.000000
1696107435.756,35811328.000000
1696107445.759,35811328.000000
1696107455.756,35811328.000000
1696107465.760,35815424.000000
1696107475.756,35848192.000000
1696107485.756,35827712.000000
1696107495.771,35827712.000000
1696107505.756,35827712.000000
1696107515.756,35827712.000000
1696107525.756,35827712.000000
1696107535.756,35827712.000000
1696107545.756,35819520.000000
1696107555.756,35819520.000000
1696107565.756,35819520.000000
1696107575.756,35819520.000000
1696107585.756,35852288.000000
1696107595.756,35868672.000000
1696107605.756,35831808.000000
1696107615.756,35831808.000000
1696107625.756,35831808.000000
1696107635.756,35831808.000000
1696107645.756,35831808.000000
1696107655.756,35831808.000000
1696107665.756,35831808.000000
1696107675.756,35831808.000000
1696107685.756,35831808.000000
1696107695.756,35831808.000000
1696107705.770,35868672.000000
1696107715.756,35876864.000000
1696107725.756,35856384.000000
1696107735.756,35856384.000000
1696107745.756,35856384.000000
1696107755.756,35856384.000000
1696107765.759,35848192.000000
1696107775.770,35848192.000000
1696107785.756,35848192.000000
1696107795.756,35844096.000000
1696107805.756,35844096.000000
1696107815.756,35844096.000000
1696107825.756,35885056.000000
1696107835.756,35872768.000000
1696107845.756,35860480.000000
1696107855.756,35860480.000000
1696107865.756,35860480.000000
1696107875.756,35860480.000000
1696107885.756,35860480.000000
1696107895.756,35860480.000000
1696107905.756,35860480.000000
1696107915.756,35860480.000000
1696107925.756,35860480.000000
1696107935.756,35860480.000000
1696107945.756,35897344.000000
1696107955.756,35909632.000000
1696107965.756,35880960.000000
1696107975.757,35880960.000000
1696107985.756,35880960.000000
1696107995.756,35880960.000000
1696108005.756,35880960.000000
1696108015.756,35880960.000000
1696108025.756,35880960.000000
1696108035.756,35880960.000000
1696108045.756,35880960.000000
1696108055.756,35880960.000000
1696108065.756,35901440.000000
1696108075.756,35905536.000000
1696108085.756,35876864.000000
1696108095.756,35876864.000000
1696108105.756,35872768.000000
1696108115.756,35872768.000000
1696108125.756,35872768.000000
1696108135.761,35872768.000000
1696108145.756,35872768.000000
1696108155.756,35872768.000000
1696108165.756,35872768.000000
1696108175.760,35872768.000000
1696108185.761,35889152.000000
1696108195.756,35897344.000000
1696108205.756,35917824.000000
1696108215.756,35917824.000000
1696108225.760,35917824.000000
1696108235.763,35901440.000000
1696108245.757,35901440.000000
1696108255.756,35901440.000000
1696108265.756,35901440.000000
1696108275.756,35901440.000000
1696108285.757,35901440.000000
1696108295.756,35901440.000000
1696108305.756,35926016.000000
1696108315.756,35917824.000000
1696108325.756,35901440.000000
1696108335.756,35901440.000000
1696108345.756,35901440.000000
1696108355.756,35901440.000000
1696108365.756,35901440.000000
1696108375.756,35901440.000000
1696108385.756,35901440.000000
1696108395.756,35901440.000000
1696108405.756,35901440.000000
1696108415.756,35901440.000000
1696108425.756,35950592.000000
1696108435.760,35926016.000000
1696108445.756,35913728.000000
1696108455.756,35913728.000000
1696108465.756,35913728.000000
1696108475.756,35913728.000000
1696108485.756,35913728.000000
1696108495.756,35913728.000000
1696108505.756,35913728.000000
1696108515.756,35913728.000000
