epoch,value
1696111812.549,nan
1696111822.549,1.900018
1696111832.549,0.499999
1696111842.549,0.500000
1696111852.549,1.899990
1696111862.549,0.700006
1696111872.549,0.400000
1696111882.549,2.399941
1696111892.550,1.699873
1696111902.549,2.500168
1696111912.549,2.000019
1696111922.549,1.200002
1696111932.550,0.599961
1696111942.549,1.100067
1696111952.550,0.399972
1696111962.550,0.500001
1696111972.549,2.400175
1696111982.551,0.799815
1696111992.550,0.500079
1696112002.550,0.799983
1696112012.551,0.299961
1696112022.549,1.200274
1696112032.549,0.999973
1696112042.549,4.899992
1696112052.549,0.500002
1696112062.550,0.299985
1696112072.550,3.900018
1696112082.549,1.200050
1696112092.549,0.500014
1696112102.549,4.399885
1696112112.550,1.499928
1696112122.549,1.000074
1696112132.549,3.799900
1696112142.550,2.999783
1696112152.549,3.100309
1696112162.549,1.199998
1696112172.550,1.199906
1696112182.549,0.700056
1696112192.551,1.699683
1696112202.549,1.400290
1696112212.549,0.200000
1696112222.549,0.400000
1696112232.549,2.900007
1696112242.549,0.499999
1696112252.549,0.399999
1696112262.549,2.500023
1696112272.549,1.299993
1696112282.549,1.699998
1696112292.549,2.399946
1696112302.549,0.899997
1696112312.549,0.400002
1696112322.550,0.399969
1696112332.550,0.800008
1696112342.554,1.099481
1696112352.549,1.000511
1696112362.549,0.500000
1696112372.549,1.200011
1696112382.550,1.399922
1696112392.551,1.999791
1696112402.550,2.400259
1696112412.550,0.999988
1696112422.549,0.600035
1696112432.550,0.999949
1696112442.549,0.400030
1696112452.549,1.099971
1696112462.549,0.900023
1696112472.549,0.599991
1696112482.549,1.400018
1696112492.549,1.699975
1696112502.550,2.999846
1696112512.549,1.900074
1696112522.549,0.799999
1696112532.549,0.800005
1696112542.549,1.099998
1696112552.550,0.999945
1696112562.549,1.000050
1696112572.549,1.300006
1696112582.549,0.800017
1696112592.550,1.299903
1696112602.551,1.799809
1696112612.549,0.800142
1696112622.550,1.699879
1696112632.549,1.200061
1696112642.550,5.899699
1696112652.549,0.900068
1696112662.550,0.999920
1696112672.550,3.899982
1696112682.550,0.300002
1696112692.550,0.799998
1696112702.549,1.600125
1696112712.549,1.499963
1696112722.549,1.200004
1696112732.550,1.799917
1696112742.549,2.400154
1696112752.551,3.799189
1696112762.550,3.500419
1696112772.549,1.600164
1696112782.549,1.100018
1696112792.549,0.800002
1696112802.549,1.900017
1696112812.549,0.800000
1696112822.549,1.099986
1696112832.549,2.499987
1696112842.549,0.700003
1696112852.549,0.400001
1696112862.549,3.300027
1696112872.549,1.499992
1696112882.549,1.399996
1696112892.549,2.599882
1696112902.550,1.099948
1696112912.549,1.000073
1696112922.550,3.999709
1696112932.550,0.600003
1696112942.550,1.199988
1696112952.549,4.900391
1696112962.549,1.199970
1696112972.549,1.399995
1696112982.550,3.899826
1696112992.549,3.700234
1696113002.549,2.100017
1696113012.550,1.399873
1696113022.549,2.000184
1696113032.549,0.899979
1696113042.550,0.999952
1696113052.550,0.899994
1696113062.549,1.200073
1696113072.550,0.899948
1696113082.550,1.299990
1696113092.549,1.200066
1696113102.549,3.900105
1696113112.549,2.200003
1696113122.549,2.900004
1696113132.549,1.499993
1696113142.551,2.099657
1696113152.550,1.200103
1696113162.549,1.000079
1696113172.550,2.099820
1696113182.549,0.900075
1696113192.549,0.800002
1696113202.549,1.299966
1696113212.549,1.500034
1696113222.549,2.700009
1696113232.549,2.199991
1696113242.549,4.600027
1696113252.549,1.400000
1696113262.551,1.299761
1696113272.549,1.300238
1696113282.549,1.199987
1696113292.549,1.100018
1696113302.549,3.999882
1696113312.550,0.799947
1696113322.549,1.100100
1696113332.550,4.399521
1696113342.550,2.900064
1696113352.549,3.200229
1696113362.551,3.299430
1696113372.549,2.600542
1696113382.549,0.499998
1696113392.549,0.599999
1696113402.549,2.199997
1696113412.549,0.400002
1696113422.549,0.899999
1696113432.549,2.500002
1696113442.549,0.400000
1696113452.549,0.599998
1696113462.549,3.000002
1696113472.549,1.400024
1696113482.549,1.699983
1696113492.549,1.599986
1696113502.549,1.799932
1696113512.550,0.399978
1696113522.550,4.400027
1696113532.550,0.700000
1696113542.549,1.400101
1696113552.550,3.599769
1696113562.550,0.500000
1696113572.550,0.499991
1696113582.551,1.199850
1696113592.549,2.100412
1696113602.549,1.499976
1696113612.550,0.899923
1696113622.549,0.700060
1696113632.549,0.400014
1696113642.550,0.599949
1696113652.549,3.500243
1696113662.549,1.100005
1696113672.549,1.199969
1696113682.549,4.200102
1696113692.549,0.899980
1696113702.549,2.200053
1696113712.550,2.499816
1696113722.549,1.200083
1696113732.550,1.199921
1696113742.549,1.500065
1696113752.549,1.000025
1696113762.549,0.699987
1696113772.550,1.899863
1696113782.549,0.900081
1696113792.549,1.200005
1696113802.550,0.599951
1696113812.550,1.700009
1696113822.549,0.900044
1696113832.549,1.000009
1696113842.549,4.800062
1696113852.549,1.100003
1696113862.549,1.199997
1696113872.549,3.500006
1696113882.550,0.599961
1696113892.549,0.700046
1696113902.549,4.499890
1696113912.549,1.000024
1696113922.549,0.900002
1696113932.549,3.999992
1696113942.549,0.899981
1696113952.549,1.000022
1696113962.549,1.299969
1696113972.550,3.799817
1696113982.549,1.200118
1696113992.549,0.599996
1696114002.549,1.600004
1696114012.549,0.700002
1696114022.549,1.099999
1696114032.549,2.399982
1696114042.549,0.700006
1696114052.549,0.699996
1696114062.549,2.300002
1696114072.549,1.200010
1696114082.549,0.999992
1696114092.549,3.899865
1696114102.549,0.099999
1696114112.549,0.399999
1696114122.549,4.100088
1696114132.549,0.800000
1696114142.549,0.900005
1696114152.549,4.099982
1696114162.549,1.600000
1696114172.549,1.300003
1696114182.549,2.300009
1696114192.549,3.499897
1696114202.550,0.899958
1696114212.549,0.400018
1696114222.549,4.800008
1696114232.549,0.800022
1696114242.549,0.999991
1696114252.550,3.399704
1696114262.550,0.500010
1696114272.549,0.600045
1696114282.549,4.499878
1696114292.549,0.799999
1696114302.549,3.400098
1696114312.549,5.499836
1696114322.549,3.000073
1696114332.549,0.899978
1696114342.550,1.799914
1696114352.549,1.600118
1696114362.549,1.099972
1696114372.549,1.100028
1696114382.550,1.599887
1696114392.549,0.900049
1696114402.549,1.200025
1696114412.549,1.299994
1696114422.549,3.299916
1696114432.550,3.399803
1696114442.549,4.000333
1696114452.549,0.899985
1696114462.549,0.899993
1696114472.550,1.299935
1696114482.549,1.400070
1696114492.550,1.099943
1696114502.549,2.200119
1696114512.550,0.699964
1696114522.549,0.600045
1696114532.550,1.299876
1696114542.549,2.800242
1696114552.549,2.599997
1696114562.549,1.199982
1696114572.549,4.200116
1696114582.549,0.700000
1696114592.549,1.100000
1696114602.549,3.099913
1696114612.549,0.800019
1696114622.549,0.300000
1696114632.550,3.399688
1696114642.551,0.299962
1696114652.549,0.600132
1696114662.551,5.099063
1696114672.549,3.900714
1696114682.549,2.599987
1696114692.549,3.200029
1696114702.549,0.899979
1696114712.549,1.099992
1696114722.550,2.099870
1696114732.549,3.100200
1696114742.550,1.299874
1696114752.549,0.900086
1696114762.550,3.599808
1696114772.549,0.900070
1696114782.549,3.700095
1696114792.549,2.100000
1696114802.549,0.999993
1696114812.549,0.300000
1696114822.549,1.999994
1696114832.549,0.500007
1696114842.549,0.299998
1696114852.549,1.099999
1696114862.549,0.300001
1696114872.549,0.599999
1696114882.549,1.099999
1696114892.549,0.899998
1696114902.549,1.000000
1696114912.549,3.500015
1696114922.549,1.899912
1696114932.549,0.600020
1696114942.549,1.500004
1696114952.549,0.700005
1696114962.549,0.599998
1696114972.549,1.099986
1696114982.549,0.600008
1696114992.549,0.500002
1696115002.549,0.399996
1696115012.549,2.300009
1696115022.549,1.900029
1696115032.549,0.599994
1696115042.549,2.000007
1696115052.549,0.599997
1696115062.549,0.300001
1696115072.549,1.199996
1696115082.549,0.300000
1696115092.549,0.000000
1696115102.549,1.099997
1696115112.549,0.399999
1696115122.549,0.400004
1696115132.549,1.299988
1696115142.549,1.200005
1696115152.549,2.000006
1696115162.549,1.000000
1696115172.549,0.800000
1696115182.549,0.800001
1696115192.549,1.499999
1696115202.549,0.399999
1696115212.549,0.600002
1696115222.549,2.099999
1696115232.549,0.500001
1696115242.549,0.599998
1696115252.549,2.300008
1696115262.549,1.700009
1696115272.549,1.900002
1696115282.549,2.199913
1696115292.549,1.900036
1696115302.549,0.800012
1696115312.549,0.599993
1696115322.549,1.900001
1696115332.549,0.700003
1696115342.549,0.200001
1696115352.549,2.299993
1696115362.549,0.499997
1696115372.549,0.699997
1696115382.549,3.100040
1696115392.549,1.499992
1696115402.549,1.900004
