epoch,value
1696111812.549,nan
1696111822.549,8.300050
1696111832.549,0.699999
1696111842.549,0.900000
1696111852.549,8.600014
1696111862.549,0.800001
1696111872.549,0.400000
1696111882.549,1.899950
1696111892.549,23.799425
1696111902.549,74.002145
1696111912.549,48.899963
1696111922.549,45.200003
1696111932.549,21.099447
1696111942.549,19.800492
1696111952.549,52.898627
1696111962.549,26.499938
1696111972.549,84.202600
1696111982.549,31.599104
1696111992.549,14.800045
1696112002.550,11.799160
1696112012.551,56.193180
1696112022.549,11.402492
1696112032.549,31.799214
1696112042.549,25.599888
1696112052.549,15.800063
1696112062.549,51.899710
1696112072.549,90.999910
1696112082.549,36.000230
1696112092.549,99.102568
1696112102.549,80.597835
1696112112.549,28.799899
1696112122.549,72.302125
1696112132.549,98.297335
1696112142.550,87.993743
1696112152.549,69.206789
1696112162.549,35.500000
1696112172.550,67.694808
1696112182.549,70.305466
1696112192.549,67.697809
1696112202.549,7.200372
1696112212.549,0.600001
1696112222.549,0.499999
1696112232.549,1.600005
1696112242.549,0.600002
1696112252.549,0.499997
1696112262.549,9.600080
1696112272.549,1.399992
1696112282.549,1.400001
1696112292.549,8.699801
1696112302.549,45.499861
1696112312.549,1.600009
1696112322.549,32.299003
1696112332.549,22.100040
1696112342.549,72.699883
1696112352.549,55.400152
1696112362.549,14.299986
1696112372.549,71.900572
1696112382.549,39.799808
1696112392.551,66.690439
1696112402.549,57.608317
1696112412.550,49.797215
1696112422.549,36.101951
1696112432.549,4.300007
1696112442.549,29.900684
1696112452.549,53.598632
1696112462.549,99.402553
1696112472.549,97.700017
1696112482.549,74.599967
1696112492.549,62.699870
1696112502.549,90.698458
1696112512.549,79.299371
1696112522.549,45.499988
1696112532.549,97.800384
1696112542.549,67.200065
1696112552.549,81.199352
1696112562.549,90.400154
1696112572.549,71.900345
1696112582.549,72.501551
1696112592.549,99.597285
1696112602.551,98.386278
1696112612.549,57.909603
1696112622.549,87.497682
1696112632.549,69.200317
1696112642.549,97.699627
1696112652.549,91.102546
1696112662.549,66.398131
1696112672.549,76.900059
1696112682.550,90.995934
1696112692.549,91.204193
1696112702.549,93.402363
1696112712.549,99.597366
1696112722.549,99.400334
1696112732.549,83.399440
1696112742.549,91.402264
1696112752.549,99.897826
1696112762.550,97.792919
1696112772.549,98.710080
1696112782.549,52.000997
1696112792.549,0.299999
1696112802.549,6.900064
1696112812.549,0.500000
1696112822.549,0.699993
1696112832.549,2.200004
1696112842.549,0.700000
1696112852.549,0.499999
1696112862.549,9.300102
1696112872.549,1.299990
1696112882.549,1.299996
1696112892.549,27.298722
