epoch,shortterm,midterm,longterm
1696111802.594,0.020000,0.040000,0.190000
1696111812.556,0.240000,0.090000,0.200000
1696111822.557,0.200000,0.080000,0.200000
1696111832.557,0.170000,0.080000,0.200000
1696111842.559,0.140000,0.080000,0.200000
1696111852.557,0.340000,0.120000,0.210000
1696111862.556,0.290000,0.120000,0.210000
1696111872.556,0.320000,0.130000,0.210000
1696111882.557,0.500000,0.180000,0.220000
1696111892.557,0.570000,0.200000,0.230000
1696111902.557,0.720000,0.250000,0.250000
1696111912.557,0.760000,0.270000,0.250000
1696111922.557,0.800000,0.300000,0.260000
1696111932.556,0.830000,0.320000,0.270000
1696111942.557,0.860000,0.340000,0.280000
1696111952.560,0.880000,0.370000,0.290000
1696111962.558,0.900000,0.390000,0.300000
1696111972.558,1.000000,0.420000,0.310000
1696111982.556,1.000000,0.440000,0.320000
1696111992.557,1.000000,0.460000,0.320000
1696112002.557,1.070000,0.500000,0.340000
1696112012.557,1.060000,0.510000,0.350000
1696112022.557,1.050000,0.530000,0.350000
1696112032.560,1.040000,0.550000,0.360000
1696112042.556,1.040000,0.560000,0.370000
1696112052.560,1.030000,0.580000,0.380000
1696112062.558,1.020000,0.590000,0.380000
1696112072.556,1.090000,0.620000,0.390000
1696112082.556,1.080000,0.630000,0.400000
1696112092.556,1.070000,0.650000,0.410000
1696112102.558,1.060000,0.660000,0.410000
1696112112.556,1.050000,0.670000,0.420000
1696112122.557,1.040000,0.680000,0.430000
1696112132.556,1.030000,0.690000,0.440000
1696112142.556,1.190000,0.740000,0.450000
1696112152.556,1.160000,0.750000,0.460000
1696112162.556,1.210000,0.770000,0.470000
1696112172.556,1.180000,0.780000,0.480000
1696112182.558,1.150000,0.790000,0.480000
1696112192.556,1.130000,0.790000,0.490000
1696112202.557,1.030000,0.780000,0.490000
1696112212.556,0.870000,0.760000,0.480000
1696112222.558,0.740000,0.730000,0.480000
1696112232.557,0.620000,0.710000,0.470000
1696112242.557,0.530000,0.680000,0.460000
1696112252.557,0.440000,0.660000,0.460000
1696112262.557,0.380000,0.640000,0.450000
1696112272.557,0.320000,0.620000,0.450000
1696112282.556,0.270000,0.600000,0.440000
1696112292.557,0.380000,0.610000,0.450000
1696112302.558,0.480000,0.620000,0.460000
1696112312.557,0.560000,0.640000,0.460000
1696112322.556,0.630000,0.650000,0.470000
1696112332.556,0.680000,0.660000,0.470000
1696112342.556,0.730000,0.670000,0.480000
1696112352.556,0.770000,0.680000,0.490000
1696112362.557,0.810000,0.690000,0.490000
1696112372.556,0.840000,0.710000,0.500000
1696112382.557,1.020000,0.750000,0.510000
1696112392.557,1.020000,0.760000,0.520000
1696112402.557,1.010000,0.770000,0.530000
1696112412.558,1.010000,0.770000,0.530000
1696112422.556,1.010000,0.780000,0.540000
1696112432.558,1.010000,0.790000,0.540000
1696112442.557,1.080000,0.810000,0.550000
1696112452.557,1.070000,0.820000,0.560000
1696112462.556,1.060000,0.830000,0.560000
1696112472.557,1.050000,0.830000,0.570000
1696112482.560,1.110000,0.860000,0.580000
1696112492.560,1.100000,0.860000,0.580000
1696112502.557,1.080000,0.870000,0.590000
1696112512.556,1.070000,0.870000,0.590000
1696112522.558,1.060000,0.870000,0.600000
1696112532.556,1.050000,0.880000,0.600000
1696112542.558,1.040000,0.880000,0.610000
1696112552.557,1.030000,0.890000,0.610000
1696112562.558,1.030000,0.890000,0.620000
1696112572.557,1.100000,0.910000,0.630000
1696112582.556,1.090000,0.920000,0.630000
1696112592.556,1.070000,0.920000,0.640000
1696112602.557,1.060000,0.920000,0.640000
1696112612.556,1.050000,0.920000,0.650000
1696112622.556,1.040000,0.930000,0.650000
1696112632.560,1.040000,0.930000,0.650000
1696112642.558,1.030000,0.930000,0.660000
1696112652.557,1.020000,0.940000,0.660000
1696112662.557,1.020000,0.940000,0.670000
1696112672.557,1.090000,0.960000,0.680000
1696112682.557,1.080000,0.960000,0.680000
1696112692.557,1.060000,0.960000,0.680000
1696112702.556,1.050000,0.960000,0.690000
1696112712.556,1.050000,0.970000,0.690000
1696112722.556,1.120000,0.980000,0.700000
1696112732.560,1.100000,0.990000,0.700000
1696112742.556,1.080000,0.990000,0.710000
1696112752.557,1.070000,0.990000,0.710000
1696112762.557,1.210000,1.020000,0.730000
1696112772.557,1.180000,1.020000,0.730000
1696112782.556,1.070000,1.000000,0.730000
1696112792.556,0.910000,0.970000,0.720000
1696112802.557,0.770000,0.940000,0.710000
1696112812.556,0.650000,0.910000,0.700000
1696112822.558,0.550000,0.880000,0.700000
1696112832.558,0.460000,0.850000,0.690000
1696112842.556,0.390000,0.820000,0.680000
1696112852.556,0.330000,0.790000,0.670000
1696112862.556,0.280000,0.760000,0.660000
1696112872.558,0.240000,0.740000,0.660000
1696112882.557,0.200000,0.710000,0.650000
1696112892.556,0.320000,0.720000,0.650000
1696112902.556,0.430000,0.730000,0.660000
1696112912.557,0.520000,0.740000,0.660000
1696112922.557,0.590000,0.750000,0.660000
1696112932.557,0.650000,0.760000,0.670000
1696112942.556,0.710000,0.770000,0.670000
1696112952.556,0.750000,0.780000,0.680000
1696112962.556,0.790000,0.780000,0.680000
1696112972.556,0.820000,0.790000,0.680000
1696112982.556,0.930000,0.820000,0.690000
1696112992.556,0.940000,0.820000,0.700000
1696113002.558,0.950000,0.830000,0.700000
1696113012.557,0.960000,0.840000,0.700000
1696113022.556,0.970000,0.840000,0.710000
1696113032.556,0.970000,0.850000,0.710000
1696113042.557,0.980000,0.850000,0.720000
1696113052.556,0.980000,0.860000,0.720000
1696113062.556,0.980000,0.860000,0.720000
1696113072.560,0.990000,0.870000,0.730000
1696113082.557,1.060000,0.890000,0.740000
1696113092.557,1.050000,0.890000,0.740000
1696113102.557,1.040000,0.900000,0.740000
1696113112.557,1.040000,0.900000,0.750000
1696113122.556,1.030000,0.900000,0.750000
1696113132.556,1.030000,0.910000,0.750000
1696113142.556,1.020000,0.910000,0.750000
1696113152.556,1.020000,0.910000,0.760000
1696113162.556,1.020000,0.920000,0.760000
1696113172.557,1.010000,0.920000,0.760000
1696113182.556,1.160000,0.950000,0.780000
1696113192.557,1.210000,0.970000,0.780000
1696113202.558,1.550000,1.060000,0.810000
1696113212.558,1.540000,1.070000,0.820000
1696113222.556,1.530000,1.080000,0.830000
1696113232.558,1.740000,1.150000,0.850000
1696113242.558,1.700000,1.160000,0.860000
1696113252.557,1.670000,1.170000,0.870000
1696113262.557,1.710000,1.200000,0.880000
1696113272.556,1.760000,1.220000,0.890000
1696113282.559,1.790000,1.250000,0.900000
1696113292.557,1.670000,1.240000,0.910000
1696113302.556,1.570000,1.230000,0.910000
1696113312.557,1.480000,1.220000,0.910000
1696113322.557,1.410000,1.220000,0.910000
1696113332.557,1.340000,1.210000,0.910000
1696113342.556,1.290000,1.200000,0.910000
1696113352.556,1.240000,1.190000,0.910000
1696113362.556,1.210000,1.190000,0.910000
1696113372.556,1.320000,1.210000,0.930000
1696113382.556,1.120000,1.170000,0.920000
1696113392.558,0.950000,1.130000,0.910000
1696113402.556,0.800000,1.100000,0.900000
1696113412.556,0.680000,1.060000,0.890000
1696113422.557,0.570000,1.020000,0.880000
1696113432.556,0.480000,0.990000,0.870000
1696113442.556,0.410000,0.960000,0.860000
1696113452.556,0.350000,0.930000,0.850000
1696113462.557,0.290000,0.890000,0.840000
1696113472.556,0.250000,0.860000,0.830000
1696113482.556,0.210000,0.840000,0.820000
1696113492.556,0.180000,0.810000,0.810000
1696113502.556,0.230000,0.800000,0.810000
1696113512.556,0.350000,0.800000,0.810000
1696113522.556,0.530000,0.830000,0.820000
1696113532.557,0.600000,0.830000,0.820000
1696113542.557,0.660000,0.840000,0.820000
1696113552.557,0.800000,0.860000,0.830000
1696113562.557,1.050000,0.920000,0.850000
1696113572.557,1.040000,0.920000,0.850000
1696113582.558,1.030000,0.920000,0.850000
1696113592.557,1.190000,0.960000,0.860000
1696113602.557,1.230000,0.980000,0.870000
1696113612.557,1.200000,0.980000,0.870000
1696113622.556,1.240000,0.990000,0.880000
1696113632.557,1.200000,1.000000,0.880000
1696113642.557,1.170000,1.000000,0.880000
1696113652.558,1.140000,1.000000,0.890000
1696113662.557,1.120000,1.000000,0.890000
1696113672.557,1.100000,1.000000,0.890000
1696113682.557,1.090000,1.000000,0.890000
1696113692.556,1.070000,1.000000,0.890000
1696113702.556,1.060000,1.000000,0.900000
1696113712.557,1.130000,1.020000,0.900000
1696113722.556,1.110000,1.020000,0.900000
1696113732.556,1.090000,1.010000,0.910000
1696113742.556,1.080000,1.010000,0.910000
1696113752.559,1.070000,1.010000,0.910000
1696113762.558,1.060000,1.010000,0.910000
1696113772.557,1.050000,1.010000,0.910000
1696113782.556,1.190000,1.040000,0.920000
1696113792.557,1.160000,1.040000,0.920000
1696113802.559,1.130000,1.040000,0.930000
1696113812.558,1.110000,1.040000,0.930000
1696113822.556,1.090000,1.040000,0.930000
1696113832.558,1.080000,1.030000,0.930000
1696113842.556,1.070000,1.030000,0.930000
1696113852.557,1.060000,1.030000,0.930000
1696113862.557,1.050000,1.030000,0.930000
1696113872.556,1.200000,1.060000,0.940000
1696113882.559,1.170000,1.060000,0.940000
1696113892.556,1.140000,1.060000,0.950000
1696113902.560,1.120000,1.050000,0.950000
1696113912.556,1.100000,1.050000,0.950000
1696113922.557,1.080000,1.050000,0.950000
1696113932.556,1.070000,1.050000,0.950000
1696113942.556,1.060000,1.050000,0.950000
1696113952.556,1.050000,1.040000,0.950000
1696113962.556,1.040000,1.040000,0.950000
1696113972.559,1.110000,1.060000,0.960000
1696113982.557,1.090000,1.060000,0.960000
1696113992.557,0.920000,1.020000,0.950000
1696114002.556,0.780000,0.990000,0.940000
1696114012.557,0.660000,0.950000,0.930000
1696114022.556,0.560000,0.920000,0.920000
1696114032.559,0.470000,0.890000,0.910000
1696114042.556,0.400000,0.860000,0.900000
