epoch,value
1696111802.594,130486272.000000
1696111812.557,130895872.000000
1696111822.559,130961408.000000
1696111832.558,131010560.000000
1696111842.559,131010560.000000
1696111852.558,131010560.000000
1696111862.560,131010560.000000
1696111872.560,131035136.000000
1696111882.558,131010560.000000
1696111892.560,131145728.000000
1696111902.557,131149824.000000
1696111912.557,131149824.000000
1696111922.557,131153920.000000
1696111932.561,131153920.000000
1696111942.557,131153920.000000
1696111952.583,131153920.000000
1696111962.557,131153920.000000
1696111972.558,131153920.000000
1696111982.569,131153920.000000
1696111992.560,131153920.000000
1696112002.573,131158016.000000
1696112012.564,131153920.000000
1696112022.559,131153920.000000
1696112032.561,131153920.000000
1696112042.570,131162112.000000
1696112052.560,131162112.000000
1696112062.564,131162112.000000
1696112072.557,131162112.000000
1696112082.558,131162112.000000
1696112092.557,131162112.000000
1696112102.561,131162112.000000
1696112112.557,131162112.000000
1696112122.557,131162112.000000
1696112132.563,131162112.000000
1696112142.562,131162112.000000
1696112152.560,131166208.000000
1696112162.557,131170304.000000
1696112172.567,131170304.000000
1696112182.557,131170304.000000
1696112192.565,131170304.000000
1696112202.557,131248128.000000
1696112212.557,131248128.000000
1696112222.558,131248128.000000
1696112232.559,131248128.000000
1696112242.561,131301376.000000
1696112252.557,131248128.000000
1696112262.558,131248128.000000
1696112272.557,131252224.000000
1696112282.557,131252224.000000
1696112292.558,131256320.000000
1696112302.557,131256320.000000
1696112312.557,131256320.000000
1696112322.560,131256320.000000
1696112332.558,131256320.000000
1696112342.557,131256320.000000
1696112352.561,131256320.000000
1696112362.566,131260416.000000
1696112372.560,131280896.000000
1696112382.571,131260416.000000
1696112392.565,131268608.000000
1696112402.563,131268608.000000
1696112412.580,131268608.000000
1696112422.572,131268608.000000
1696112432.565,131268608.000000
1696112442.557,131268608.000000
1696112452.558,131268608.000000
1696112462.557,131268608.000000
1696112472.558,131268608.000000
1696112482.557,131268608.000000
1696112492.557,131268608.000000
1696112502.559,131272704.000000
1696112512.558,131272704.000000
1696112522.560,131272704.000000
1696112532.557,131276800.000000
1696112542.558,131276800.000000
1696112552.567,131276800.000000
1696112562.562,131276800.000000
1696112572.575,131280896.000000
1696112582.558,131276800.000000
1696112592.560,131276800.000000
1696112602.558,131276800.000000
1696112612.558,131297280.000000
1696112622.557,131276800.000000
1696112632.578,131280896.000000
1696112642.559,131280896.000000
1696112652.557,131280896.000000
1696112662.557,131280896.000000
1696112672.565,131280896.000000
1696112682.566,131284992.000000
1696112692.558,131284992.000000
1696112702.558,131284992.000000
1696112712.562,131284992.000000
1696112722.569,131284992.000000
1696112732.559,131284992.000000
1696112742.560,131289088.000000
1696112752.565,131289088.000000
1696112762.572,131293184.000000
1696112772.557,131293184.000000
1696112782.558,131375104.000000
1696112792.558,131375104.000000
1696112802.558,131375104.000000
1696112812.559,131375104.000000
1696112822.558,131375104.000000
1696112832.558,131375104.000000
1696112842.557,131375104.000000
1696112852.557,131375104.000000
1696112862.557,131379200.000000
1696112872.562,131379200.000000
1696112882.558,131383296.000000
1696112892.564,131383296.000000
1696112902.558,131383296.000000
1696112912.558,131383296.000000
1696112922.564,131383296.000000
1696112932.557,131387392.000000
1696112942.558,131387392.000000
1696112952.557,131387392.000000
1696112962.560,131387392.000000
1696112972.562,131387392.000000
1696112982.562,131391488.000000
1696112992.557,131395584.000000
1696113002.559,131403776.000000
1696113012.557,131407872.000000
1696113022.558,131411968.000000
1696113032.562,131411968.000000
1696113042.558,131411968.000000
1696113052.558,131461120.000000
1696113062.557,131465216.000000
1696113072.564,131518464.000000
1696113082.557,131592192.000000
1696113092.559,131592192.000000
1696113102.562,131592192.000000
1696113112.561,131592192.000000
1696113122.557,131629056.000000
1696113132.557,131629056.000000
1696113142.564,131633152.000000
1696113152.560,131633152.000000
1696113162.557,131633152.000000
1696113172.557,131678208.000000
1696113182.557,131674112.000000
1696113192.557,131674112.000000
1696113202.560,131674112.000000
1696113212.560,131682304.000000
1696113222.557,131682304.000000
1696113232.557,131686400.000000
1696113242.559,131686400.000000
1696113252.557,131686400.000000
1696113262.560,131686400.000000
1696113272.557,131690496.000000
1696113282.557,131690496.000000
1696113292.559,131690496.000000
1696113302.557,131690496.000000
1696113312.560,131690496.000000
1696113322.557,131690496.000000
1696113332.558,131690496.000000
1696113342.557,131690496.000000
1696113352.557,131694592.000000
1696113362.558,131698688.000000
1696113372.558,131747840.000000
1696113382.557,131772416.000000
1696113392.558,131772416.000000
1696113402.557,131772416.000000
1696113412.558,131772416.000000
1696113422.559,131772416.000000
1696113432.558,131772416.000000
1696113442.558,131788800.000000
1696113452.558,131792896.000000
1696113462.559,131792896.000000
1696113472.557,131805184.000000
1696113482.558,131809280.000000
1696113492.558,131829760.000000
1696113502.588,131862528.000000
1696113512.560,131977216.000000
1696113522.557,132026368.000000
1696113532.562,132026368.000000
1696113542.557,132026368.000000
1696113552.559,132026368.000000
1696113562.558,132026368.000000
1696113572.558,132026368.000000
1696113582.560,132034560.000000
1696113592.557,132030464.000000
1696113602.563,132030464.000000
1696113612.560,132030464.000000
1696113622.566,132030464.000000
1696113632.564,132030464.000000
1696113642.558,132030464.000000
1696113652.557,132030464.000000
1696113662.558,132030464.000000
1696113672.558,132030464.000000
1696113682.557,132030464.000000
1696113692.574,132030464.000000
1696113702.559,132034560.000000
1696113712.559,132034560.000000
1696113722.557,132034560.000000
1696113732.563,132038656.000000
1696113742.558,132042752.000000
1696113752.559,132042752.000000
1696113762.559,132050944.000000
1696113772.565,132050944.000000
1696113782.558,132050944.000000
1696113792.557,132050944.000000
1696113802.563,132050944.000000
1696113812.558,132050944.000000
1696113822.558,132055040.000000
1696113832.558,132055040.000000
1696113842.557,132059136.000000
1696113852.557,132059136.000000
1696113862.560,132059136.000000
1696113872.557,132059136.000000
1696113882.560,132059136.000000
1696113892.557,132059136.000000
1696113902.565,132059136.000000
1696113912.557,132059136.000000
1696113922.557,132059136.000000
1696113932.557,132059136.000000
1696113942.563,132059136.000000
1696113952.557,132059136.000000
1696113962.559,132063232.000000
1696113972.557,132063232.000000
1696113982.557,132116480.000000
1696113992.557,132141056.000000
1696114002.557,132145152.000000
1696114012.558,132145152.000000
1696114022.558,132169728.000000
1696114032.557,132145152.000000
1696114042.558,132145152.000000
1696114052.558,132145152.000000
1696114062.557,132149248.000000
1696114072.560,132149248.000000
1696114082.559,132153344.000000
1696114092.560,132153344.000000
1696114102.560,132153344.000000
1696114112.557,132153344.000000
1696114122.558,132153344.000000
1696114132.557,132153344.000000
1696114142.557,132153344.000000
1696114152.557,132157440.000000
1696114162.557,132153344.000000
1696114172.557,132153344.000000
1696114182.557,132161536.000000
1696114192.558,132169728.000000
1696114202.561,132169728.000000
1696114212.561,132173824.000000
1696114222.568,132173824.000000
1696114232.557,132173824.000000
1696114242.557,132173824.000000
1696114252.562,132177920.000000
1696114262.561,132182016.000000
1696114272.558,132182016.000000
1696114282.567,132182016.000000
1696114292.565,132202496.000000
1696114302.558,132239360.000000
1696114312.560,132284416.000000
1696114322.561,132284416.000000
1696114332.558,132284416.000000
1696114342.557,132288512.000000
1696114352.558,132284416.000000
1696114362.563,132321280.000000
1696114372.557,132321280.000000
1696114382.566,132366336.000000
1696114392.557,132366336.000000
1696114402.557,132366336.000000
1696114412.557,132366336.000000
1696114422.565,132366336.000000
1696114432.563,132370432.000000
1696114442.557,132403200.000000
1696114452.558,132403200.000000
1696114462.570,132403200.000000
1696114472.560,132403200.000000
1696114482.572,132403200.000000
1696114492.558,132407296.000000
1696114502.564,132411392.000000
1696114512.557,132407296.000000
1696114522.562,132390912.000000
1696114532.563,132407296.000000
1696114542.563,132456448.000000
1696114552.557,132456448.000000
1696114562.562,132456448.000000
1696114572.559,132456448.000000
1696114582.557,132456448.000000
1696114592.559,132456448.000000
1696114602.561,132456448.000000
1696114612.557,132456448.000000
1696114622.557,132456448.000000
1696114632.563,132460544.000000
1696114642.571,132460544.000000
1696114652.560,132460544.000000
1696114662.562,132464640.000000
1696114672.558,132464640.000000
1696114682.557,132464640.000000
1696114692.559,132464640.000000
