epoch,value
1696111802.594,145027072.000000
1696111812.557,144609280.000000
1696111822.559,143941632.000000
1696111832.558,143933440.000000
1696111842.559,143925248.000000
1696111852.558,143925248.000000
1696111862.560,143925248.000000
1696111872.560,143933440.000000
1696111882.558,142819328.000000
1696111892.560,129265664.000000
1696111902.557,127254528.000000
1696111912.557,126619648.000000
1696111922.557,126308352.000000
1696111932.561,127176704.000000
1696111942.557,126787584.000000
1696111952.583,126787584.000000
1696111962.557,126787584.000000
1696111972.558,127295488.000000
1696111982.569,127295488.000000
1696111992.560,127295488.000000
1696112002.573,122634240.000000
1696112012.564,126787584.000000
1696112022.559,126492672.000000
1696112032.561,126300160.000000
1696112042.570,126668800.000000
1696112052.560,126668800.000000
1696112062.564,126668800.000000
1696112072.557,126660608.000000
1696112082.558,126660608.000000
1696112092.557,126660608.000000
1696112102.561,126668800.000000
1696112112.557,126668800.000000
1696112122.557,126668800.000000
1696112132.563,126660608.000000
1696112142.562,126586880.000000
1696112152.560,126603264.000000
1696112162.557,125919232.000000
1696112172.567,126541824.000000
1696112182.557,126541824.000000
1696112192.565,123895808.000000
1696112202.557,142987264.000000
1696112212.557,142987264.000000
1696112222.558,142995456.000000
1696112232.559,143495168.000000
1696112242.561,143495168.000000
1696112252.557,143495168.000000
1696112262.558,143081472.000000
1696112272.557,142643200.000000
1696112282.557,142745600.000000
1696112292.558,130707456.000000
1696112302.557,129183744.000000
1696112312.557,127533056.000000
1696112322.560,126906368.000000
1696112332.558,126906368.000000
1696112342.557,126906368.000000
1696112352.561,126644224.000000
1696112362.566,126644224.000000
1696112372.560,126644224.000000
1696112382.571,126197760.000000
1696112392.565,126087168.000000
1696112402.563,126525440.000000
1696112412.580,123785216.000000
1696112422.572,126517248.000000
1696112432.565,126517248.000000
1696112442.557,126517248.000000
1696112452.558,126509056.000000
1696112462.557,126509056.000000
1696112472.558,126509056.000000
1696112482.557,126390272.000000
1696112492.557,126390272.000000
1696112502.559,125935616.000000
1696112512.558,125636608.000000
1696112522.560,126382080.000000
1696112532.557,126382080.000000
1696112542.558,126390272.000000
1696112552.567,126390272.000000
1696112562.562,126390272.000000
1696112572.575,126509056.000000
1696112582.558,126517248.000000
1696112592.560,126517248.000000
1696112602.558,125300736.000000
1696112612.558,126382080.000000
1696112622.557,125927424.000000
1696112632.578,126078976.000000
1696112642.559,126705664.000000
1696112652.557,126705664.000000
1696112662.557,126705664.000000
1696112672.565,126603264.000000
1696112682.566,126603264.000000
1696112692.558,126603264.000000
1696112702.558,126341120.000000
1696112712.562,126341120.000000
1696112722.569,126349312.000000
1696112732.559,126332928.000000
1696112742.560,126529536.000000
1696112752.565,126369792.000000
1696112762.572,122908672.000000
1696112772.557,126308352.000000
1696112782.558,142635008.000000
1696112792.558,142635008.000000
1696112802.558,143134720.000000
1696112812.559,143134720.000000
1696112822.558,143134720.000000
1696112832.558,143142912.000000
1696112842.557,143142912.000000
1696112852.557,143142912.000000
1696112862.557,142553088.000000
1696112872.562,142401536.000000
1696112882.558,142880768.000000
1696112892.564,132530176.000000
1696112902.558,128847872.000000
1696112912.558,127197184.000000
1696112922.564,126681088.000000
1696112932.557,126681088.000000
1696112942.558,126689280.000000
1696112952.557,126562304.000000
1696112962.560,126562304.000000
1696112972.562,126562304.000000
1696112982.562,125431808.000000
1696112992.557,125870080.000000
1696113002.559,125693952.000000
1696113012.557,125693952.000000
1696113022.558,126181376.000000
1696113032.562,126189568.000000
1696113042.558,126189568.000000
1696113052.558,126046208.000000
1696113062.557,126046208.000000
1696113072.564,126046208.000000
1696113082.557,126308352.000000
1696113092.559,126308352.000000
1696113102.562,125878272.000000
1696113112.561,125726720.000000
1696113122.557,126316544.000000
1696113132.557,126316544.000000
1696113142.564,125927424.000000
1696113152.560,125927424.000000
1696113162.557,125927424.000000
1696113172.557,122028032.000000
1696113182.557,125927424.000000
1696113192.557,125927424.000000
1696113202.560,125927424.000000
1696113212.560,125792256.000000
1696113222.557,125632512.000000
1696113232.557,125693952.000000
1696113242.559,126164992.000000
1696113252.557,126173184.000000
1696113262.560,126173184.000000
1696113272.557,125935616.000000
1696113282.557,125935616.000000
1696113292.559,125935616.000000
1696113302.557,125792256.000000
1696113312.560,125792256.000000
1696113322.557,125792256.000000
1696113332.558,125800448.000000
1696113342.557,125489152.000000
1696113352.557,125431808.000000
1696113362.558,123043840.000000
1696113372.558,142168064.000000
1696113382.557,142254080.000000
1696113392.558,142254080.000000
1696113402.557,142516224.000000
1696113412.558,142516224.000000
1696113422.559,142516224.000000
1696113432.558,142524416.000000
1696113442.558,142524416.000000
1696113452.558,142524416.000000
1696113462.559,141934592.000000
1696113472.557,141791232.000000
1696113482.558,142237696.000000
1696113492.558,142626816.000000
1696113502.588,129728512.000000
1696113512.560,126435328.000000
1696113522.557,125681664.000000
1696113532.562,125681664.000000
1696113542.557,125681664.000000
1696113552.559,125681664.000000
1696113562.558,125681664.000000
1696113572.558,125681664.000000
1696113582.560,121311232.000000
1696113592.557,125026304.000000
1696113602.563,125259776.000000
1696113612.560,125267968.000000
1696113622.566,125259776.000000
1696113632.564,125259776.000000
1696113642.558,125259776.000000
1696113652.557,125394944.000000
1696113662.558,125394944.000000
1696113672.558,125394944.000000
1696113682.557,125267968.000000
1696113692.574,125267968.000000
1696113702.559,125235200.000000
1696113712.559,124813312.000000
1696113722.557,124915712.000000
1696113732.563,125386752.000000
1696113742.558,125259776.000000
1696113752.559,125267968.000000
1696113762.559,125267968.000000
1696113772.565,123678720.000000
1696113782.558,125394944.000000
1696113792.557,125394944.000000
1696113802.563,125394944.000000
1696113812.558,125267968.000000
1696113822.558,124899328.000000
1696113832.558,124932096.000000
1696113842.557,124579840.000000
1696113852.557,125169664.000000
1696113862.560,125169664.000000
1696113872.557,125186048.000000
1696113882.560,125186048.000000
1696113892.557,125194240.000000
1696113902.565,125456384.000000
1696113912.557,125456384.000000
1696113922.557,125456384.000000
1696113932.557,125669376.000000
1696113942.563,125247488.000000
1696113952.557,125087744.000000
1696113962.559,125566976.000000
1696113972.557,125693952.000000
1696113982.557,141418496.000000
1696113992.557,141520896.000000
1696114002.557,142020608.000000
1696114012.558,142020608.000000
1696114022.558,142020608.000000
1696114032.557,142028800.000000
1696114042.558,142028800.000000
1696114052.558,142028800.000000
1696114062.557,141398016.000000
1696114072.560,141205504.000000
1696114082.559,141795328.000000
1696114092.560,128778240.000000
1696114102.560,125603840.000000
1696114112.557,125603840.000000
1696114122.558,125095936.000000
1696114132.557,125095936.000000
1696114142.557,125095936.000000
1696114152.557,125095936.000000
1696114162.557,125095936.000000
1696114172.557,125095936.000000
1696114182.557,124633088.000000
1696114192.558,124624896.000000
1696114202.561,124825600.000000
1696114212.561,124825600.000000
1696114222.568,124833792.000000
1696114232.557,124833792.000000
1696114242.557,124850176.000000
1696114252.562,124858368.000000
1696114262.561,124858368.000000
1696114272.558,124858368.000000
1696114282.567,124858368.000000
1696114292.565,124858368.000000
1696114302.558,124649472.000000
1696114312.560,124231680.000000
1696114322.561,125009920.000000
1696114332.558,125009920.000000
1696114342.557,121372672.000000
1696114352.558,125263872.000000
1696114362.563,125263872.000000
1696114372.557,125263872.000000
1696114382.566,124882944.000000
1696114392.557,124882944.000000
1696114402.557,124882944.000000
1696114412.557,124882944.000000
1696114422.565,124588032.000000
1696114432.563,124403712.000000
1696114442.557,124579840.000000
1696114452.558,124579840.000000
1696114462.570,124588032.000000
1696114472.560,124588032.000000
1696114482.572,124588032.000000
1696114492.558,124588032.000000
1696114502.564,124571648.000000
1696114512.557,124588032.000000
1696114522.562,124588032.000000
1696114532.563,122331136.000000
1696114542.563,124391424.000000
1696114552.557,124260352.000000
1696114562.562,124416000.000000
1696114572.559,124461056.000000
1696114582.557,124461056.000000
1696114592.559,124461056.000000
1696114602.561,124588032.000000
1696114612.557,124588032.000000
1696114622.557,124588032.000000
1696114632.563,124715008.000000
1696114642.571,124715008.000000
1696114652.560,124715008.000000
1696114662.562,124469248.000000
1696114672.558,124268544.000000
1696114682.557,124571648.000000
1696114692.559,124928000.000000
1696114702.558,124960768.000000
1696114712.562,124960768.000000
1696114722.557,122761216.000000
1696114732.558,124452864.000000
1696114742.565,124452864.000000
1696114752.557,124452864.000000
1696114762.559,124833792.000000
1696114772.557,124841984.000000
1696114782.558,140570624.000000
1696114792.557,140832768.000000
1696114802.560,141135872.000000
1696114812.557,141144064.000000
1696114822.557,141279232.000000
1696114832.558,141279232.000000
1696114842.558,141152256.000000
1696114852.563,141287424.000000
1696114862.557,141287424.000000
1696114872.558,141287424.000000
1696114882.557,141152256.000000
1696114892.557,141152256.000000
1696114902.566,140955648.000000
1696114912.557,140435456.000000
1696114922.558,140722176.000000
1696114932.558,140754944.000000
1696114942.558,141262848.000000
1696114952.560,141262848.000000
1696114962.557,141262848.000000
1696114972.558,136974336.000000
1696114982.557,141254656.000000
1696114992.558,141254656.000000
1696115002.560,141254656.000000
1696115012.557,141262848.000000
1696115022.557,140537856.000000
1696115032.557,140529664.000000
1696115042.560,140722176.000000
1696115052.559,140722176.000000
1696115062.558,140730368.000000
1696115072.557,141221888.000000
1696115082.560,141221888.000000
1696115092.557,141221888.000000
1696115102.558,141103104.000000
1696115112.557,141103104.000000
1696115122.557,141103104.000000
1696115132.557,141094912.000000
1696115142.557,140496896.000000
1696115152.558,140976128.000000
1696115162.560,140935168.000000
1696115172.557,140935168.000000
1696115182.557,140935168.000000
1696115192.557,141078528.000000
1696115202.559,141078528.000000
1696115212.559,140951552.000000
1696115222.558,140935168.000000
1696115232.560,140935168.000000
1696115242.557,140935168.000000
1696115252.558,140951552.000000
1696115262.562,140480512.000000
1696115272.558,140337152.000000
1696115282.557,138440704.000000
1696115292.557,140783616.000000
1696115302.560,140783616.000000
1696115312.557,140783616.000000
1696115322.558,140775424.000000
1696115332.558,140775424.000000
1696115342.558,140783616.000000
1696115352.557,140783616.000000
1696115362.557,140783616.000000
1696115372.558,140783616.000000
1696115382.558,140328960.000000
1696115392.558,140337152.000000
1696115402.557,140648448.000000
