epoch,value
1696111802.594,36356096.000000
1696111812.557,36372480.000000
1696111822.559,36401152.000000
1696111832.558,36409344.000000
1696111842.559,36409344.000000
1696111852.558,36417536.000000
1696111862.560,36417536.000000
1696111872.560,36417536.000000
1696111882.558,36405248.000000
1696111892.560,36405248.000000
1696111902.557,36438016.000000
1696111912.557,36442112.000000
1696111922.557,36474880.000000
1696111932.561,36438016.000000
1696111942.557,36446208.000000
1696111952.583,36446208.000000
1696111962.557,36446208.000000
1696111972.558,36438016.000000
1696111982.569,36438016.000000
1696111992.560,36438016.000000
1696112002.573,36438016.000000
1696112012.564,36438016.000000
1696112022.559,36446208.000000
1696112032.561,36483072.000000
1696112042.570,36450304.000000
1696112052.560,36450304.000000
1696112062.564,36450304.000000
1696112072.557,36458496.000000
1696112082.558,36458496.000000
1696112092.557,36458496.000000
1696112102.561,36450304.000000
1696112112.557,36450304.000000
1696112122.557,36450304.000000
1696112132.563,36458496.000000
1696112142.562,36466688.000000
1696112152.560,36474880.000000
1696112162.557,36503552.000000
1696112172.567,36454400.000000
1696112182.557,36454400.000000
1696112192.565,36462592.000000
1696112202.557,36462592.000000
1696112212.557,36462592.000000
1696112222.558,36462592.000000
1696112232.559,36470784.000000
1696112242.561,36470784.000000
1696112252.557,36470784.000000
1696112262.558,36474880.000000
1696112272.557,36499456.000000
1696112282.557,36511744.000000
1696112292.558,36474880.000000
1696112302.557,36474880.000000
1696112312.557,36474880.000000
1696112322.560,36466688.000000
1696112332.558,36466688.000000
1696112342.557,36466688.000000
1696112352.561,36474880.000000
1696112362.566,36474880.000000
1696112372.560,36474880.000000
1696112382.571,36515840.000000
1696112392.565,36491264.000000
1696112402.563,36478976.000000
1696112412.580,36487168.000000
1696112422.572,36487168.000000
1696112432.565,36487168.000000
1696112442.557,36487168.000000
1696112452.558,36495360.000000
1696112462.557,36495360.000000
1696112472.558,36495360.000000
1696112482.557,36483072.000000
1696112492.557,36483072.000000
1696112502.559,36536320.000000
1696112512.558,36524032.000000
1696112522.560,36507648.000000
1696112532.557,36507648.000000
1696112542.558,36499456.000000
1696112552.567,36499456.000000
1696112562.562,36499456.000000
1696112572.575,36499456.000000
1696112582.558,36499456.000000
1696112592.560,36499456.000000
1696112602.558,36499456.000000
1696112612.558,36507648.000000
1696112622.557,36507648.000000
1696112632.578,36519936.000000
1696112642.559,36528128.000000
1696112652.557,36528128.000000
1696112662.557,36528128.000000
1696112672.565,36503552.000000
1696112682.566,36503552.000000
1696112692.558,36503552.000000
1696112702.558,36511744.000000
1696112712.562,36511744.000000
1696112722.569,36511744.000000
1696112732.559,36519936.000000
1696112742.560,36519936.000000
1696112752.565,36548608.000000
1696112762.572,36548608.000000
1696112772.557,36524032.000000
1696112782.558,36524032.000000
1696112792.558,36524032.000000
1696112802.558,36532224.000000
1696112812.559,36532224.000000
1696112822.558,36532224.000000
1696112832.558,36524032.000000
1696112842.557,36524032.000000
1696112852.557,36524032.000000
1696112862.557,36564992.000000
1696112872.562,36577280.000000
1696112882.558,36536320.000000
1696112892.564,36528128.000000
1696112902.558,36528128.000000
1696112912.558,36528128.000000
1696112922.564,36536320.000000
1696112932.557,36536320.000000
1696112942.558,36536320.000000
1696112952.557,36528128.000000
1696112962.560,36528128.000000
1696112972.562,36528128.000000
1696112982.562,36577280.000000
1696112992.557,36560896.000000
1696113002.559,36581376.000000
1696113012.557,36552704.000000
1696113022.558,36544512.000000
1696113032.562,36544512.000000
1696113042.558,36544512.000000
1696113052.558,36552704.000000
1696113062.557,36552704.000000
1696113072.564,36552704.000000
1696113082.557,36544512.000000
1696113092.559,36544512.000000
1696113102.562,36564992.000000
1696113112.561,36593664.000000
1696113122.557,36552704.000000
1696113132.557,36552704.000000
1696113142.564,36560896.000000
1696113152.560,36560896.000000
1696113162.557,36560896.000000
1696113172.557,36560896.000000
1696113182.557,36560896.000000
1696113192.557,36560896.000000
1696113202.560,36560896.000000
1696113212.560,36569088.000000
1696113222.557,36577280.000000
1696113232.557,36597760.000000
1696113242.559,36589568.000000
1696113252.557,36589568.000000
1696113262.560,36589568.000000
1696113272.557,36573184.000000
1696113282.557,36573184.000000
1696113292.559,36573184.000000
1696113302.557,36577280.000000
1696113312.560,36577280.000000
1696113322.557,36577280.000000
1696113332.558,36569088.000000
1696113342.557,36585472.000000
1696113352.557,36610048.000000
1696113362.558,36593664.000000
1696113372.558,36593664.000000
1696113382.557,36593664.000000
1696113392.558,36593664.000000
1696113402.557,36581376.000000
1696113412.558,36581376.000000
1696113422.559,36581376.000000
1696113432.558,36573184.000000
