epoch,value
1696111802.594,120422400.000000
1696111812.557,120389632.000000
1696111822.559,120946688.000000
1696111832.558,120897536.000000
1696111842.559,120897536.000000
1696111852.558,120889344.000000
1696111862.560,120889344.000000
1696111872.560,120856576.000000
1696111882.558,122007552.000000
1696111892.560,135426048.000000
1696111902.557,137388032.000000
1696111912.557,138014720.000000
1696111922.557,138293248.000000
1696111932.561,137465856.000000
1696111942.557,137846784.000000
1696111952.583,137846784.000000
1696111962.557,137846784.000000
1696111972.558,137351168.000000
1696111982.569,137351168.000000
1696111992.560,137351168.000000
1696112002.573,142008320.000000
1696112012.564,137859072.000000
1696112022.559,138141696.000000
1696112032.561,138297344.000000
1696112042.570,137953280.000000
1696112052.560,137953280.000000
1696112062.564,137953280.000000
1696112072.557,137953280.000000
1696112082.558,137953280.000000
1696112092.557,137953280.000000
1696112102.561,137953280.000000
1696112112.557,137953280.000000
1696112122.557,137953280.000000
1696112132.563,137953280.000000
1696112142.562,138006528.000000
1696112152.560,137986048.000000
1696112162.557,138620928.000000
1696112172.567,138055680.000000
1696112182.557,138055680.000000
1696112192.565,140693504.000000
1696112202.557,121532416.000000
1696112212.557,121532416.000000
1696112222.558,121524224.000000
1696112232.559,121016320.000000
1696112242.561,120963072.000000
1696112252.557,121016320.000000
1696112262.558,121417728.000000
1696112272.557,121819136.000000
1696112282.557,121708544.000000
1696112292.558,133787648.000000
1696112302.557,135311360.000000
1696112312.557,136962048.000000
1696112322.560,137596928.000000
1696112332.558,137596928.000000
1696112342.557,137596928.000000
1696112352.561,137850880.000000
1696112362.566,137846784.000000
1696112372.560,137826304.000000
1696112382.571,138248192.000000
1696112392.565,138366976.000000
1696112402.563,137940992.000000
1696112412.580,140673024.000000
1696112422.572,137949184.000000
1696112432.565,137949184.000000
1696112442.557,137949184.000000
1696112452.558,137949184.000000
1696112462.557,137949184.000000
1696112472.558,137949184.000000
1696112482.557,138080256.000000
1696112492.557,138080256.000000
1696112502.559,138461184.000000
1696112512.558,138768384.000000
1696112522.560,138047488.000000
1696112532.557,138043392.000000
1696112542.558,138047488.000000
1696112552.567,138047488.000000
1696112562.562,138047488.000000
1696112572.575,137928704.000000
1696112582.558,137924608.000000
1696112592.560,137924608.000000
1696112602.558,139141120.000000
1696112612.558,138031104.000000
1696112622.557,138498048.000000
1696112632.578,138321920.000000
1696112642.559,137695232.000000
1696112652.557,137695232.000000
1696112662.557,137695232.000000
1696112672.565,137826304.000000
1696112682.566,137822208.000000
1696112692.558,137822208.000000
1696112702.558,138076160.000000
1696112712.562,138076160.000000
1696112722.569,138067968.000000
1696112732.559,138076160.000000
1696112742.560,137867264.000000
1696112752.565,137998336.000000
1696112762.572,141455360.000000
1696112772.557,138084352.000000
1696112782.558,121675776.000000
1696112792.558,121675776.000000
1696112802.558,121167872.000000
1696112812.559,121167872.000000
1696112822.558,121167872.000000
1696112832.558,121167872.000000
1696112842.557,121167872.000000
1696112852.557,121167872.000000
1696112862.557,121704448.000000
1696112872.562,121843712.000000
1696112882.558,121405440.000000
1696112892.564,131768320.000000
1696112902.558,135450624.000000
1696112912.558,137101312.000000
1696112922.564,137609216.000000
1696112932.557,137605120.000000
1696112942.558,137596928.000000
1696112952.557,137732096.000000
1696112962.560,137732096.000000
1696112972.562,137732096.000000
1696112982.562,138784768.000000
1696112992.557,138371072.000000
1696113002.559,138518528.000000
1696113012.557,138543104.000000
1696113022.558,138067968.000000
1696113032.562,138059776.000000
1696113042.558,138059776.000000
1696113052.558,138145792.000000
1696113062.557,138141696.000000
1696113072.564,138088448.000000
1696113082.557,137760768.000000
1696113092.559,137760768.000000
1696113102.562,138162176.000000
1696113112.561,138285056.000000
1696113122.557,137699328.000000
1696113132.557,137699328.000000
1696113142.564,138080256.000000
1696113152.560,138080256.000000
1696113162.557,138080256.000000
1696113172.557,141934592.000000
1696113182.557,138039296.000000
1696113192.557,138039296.000000
1696113202.560,138039296.000000
1696113212.560,138158080.000000
1696113222.557,138297344.000000
1696113232.557,138219520.000000
1696113242.559,137756672.000000
1696113252.557,137748480.000000
1696113262.560,137748480.000000
1696113272.557,137998336.000000
1696113282.557,137998336.000000
1696113292.559,137998336.000000
1696113302.557,138137600.000000
1696113312.560,138137600.000000
1696113322.557,138137600.000000
