epoch,value
1696097411.213,34484224.000000
1696097421.155,34603008.000000
1696097431.155,34603008.000000
1696097441.155,34611200.000000
1696097451.155,34623488.000000
1696097461.155,34623488.000000
1696097471.155,34623488.000000
1696097481.155,34627584.000000
1696097491.155,34627584.000000
1696097501.155,34635776.000000
1696097511.155,34664448.000000
1696097521.155,34676736.000000
1696097531.155,34664448.000000
1696097541.156,34652160.000000
1696097551.155,34652160.000000
1696097561.155,34652160.000000
1696097571.155,34643968.000000
1696097581.155,34643968.000000
1696097591.155,34643968.000000
1696097601.155,34643968.000000
1696097611.155,34643968.000000
1696097621.155,34648064.000000
1696097631.155,34693120.000000
1696097641.155,34672640.000000
1696097651.155,34672640.000000
1696097661.155,34660352.000000
1696097671.155,34660352.000000
1696097681.155,34660352.000000
1696097691.155,34660352.000000
1696097701.155,34660352.000000
1696097711.155,34660352.000000
1696097721.155,34660352.000000
1696097731.155,34656256.000000
1696097741.155,34660352.000000
1696097751.155,34684928.000000
1696097761.155,34697216.000000
1696097771.155,34672640.000000
1696097781.155,34672640.000000
1696097791.155,34668544.000000
1696097801.155,34668544.000000
1696097811.155,34668544.000000
1696097821.155,34668544.000000
1696097831.155,34668544.000000
1696097841.155,34668544.000000
1696097851.155,34668544.000000
1696097861.155,34668544.000000
1696097871.155,34701312.000000
1696097881.155,34693120.000000
1696097891.155,34693120.000000
1696097901.155,34693120.000000
1696097911.155,34680832.000000
1696097921.155,34680832.000000
1696097931.155,34680832.000000
1696097941.155,34680832.000000
1696097951.155,34680832.000000
1696097961.155,34680832.000000
1696097971.155,34680832.000000
1696097981.155,34680832.000000
1696097991.155,34705408.000000
1696098001.155,34721792.000000
1696098011.155,34713600.000000
1696098021.155,34713600.000000
1696098031.155,34713600.000000
1696098041.155,34701312.000000
1696098051.155,34701312.000000
1696098061.155,34701312.000000
1696098071.155,34701312.000000
1696098081.155,34701312.000000
1696098091.155,34701312.000000
1696098101.155,34693120.000000
1696098111.155,34713600.000000
1696098121.155,34729984.000000
1696098131.155,34705408.000000
1696098141.155,34705408.000000
1696098151.155,34705408.000000
1696098161.155,34705408.000000
1696098171.155,34705408.000000
1696098181.155,34705408.000000
1696098191.155,34705408.000000
1696098201.155,34705408.000000
1696098211.155,34705408.000000
1696098221.155,34738176.000000
1696098231.155,34721792.000000
1696098241.155,34725888.000000
1696098251.155,34725888.000000
1696098261.155,34725888.000000
1696098271.155,34725888.000000
1696098281.155,34725888.000000
1696098291.155,34725888.000000
1696098301.155,34725888.000000
1696098311.155,34725888.000000
1696098321.155,34725888.000000
1696098331.155,34725888.000000
1696098341.155,34725888.000000
1696098351.155,34754560.000000
1696098361.160,34746368.000000
1696098371.155,34746368.000000
1696098381.155,34746368.000000
1696098391.155,34746368.000000
1696098401.160,34746368.000000
1696098411.160,34746368.000000
1696098421.155,34746368.000000
1696098431.155,34746368.000000
1696098441.155,34746368.000000
1696098451.155,34738176.000000
1696098461.155,34738176.000000
1696098471.155,34762752.000000
1696098481.155,34766848.000000
1696098491.155,34758656.000000
1696098501.161,34758656.000000
1696098511.155,34750464.000000
1696098521.155,34750464.000000
1696098531.155,34750464.000000
1696098541.160,34750464.000000
1696098551.160,34750464.000000
1696098561.155,34750464.000000
1696098571.155,34750464.000000
1696098581.155,34750464.000000
1696098591.155,34779136.000000
1696098601.155,34783232.000000
1696098611.155,34770944.000000
1696098621.155,34770944.000000
1696098631.155,34770944.000000
1696098641.155,34762752.000000
1696098651.155,34762752.000000
1696098661.155,34762752.000000
1696098671.155,34766848.000000
1696098681.160,34770944.000000
1696098691.160,34779136.000000
1696098701.155,34779136.000000
1696098711.155,34787328.000000
1696098721.155,34799616.000000
1696098731.155,34787328.000000
1696098741.155,34787328.000000
1696098751.155,34787328.000000
1696098761.155,34787328.000000
