epoch,value
1696106985.736,nan
1696106995.736,1.699991
1696107005.736,0.500003
1696107015.736,1.299992
1696107025.736,0.500000
1696107035.736,0.399999
1696107045.736,1.600011
1696107055.736,0.400002
1696107065.736,0.099999
1696107075.736,0.800003
1696107085.736,0.400003
1696107095.736,0.599998
1696107105.736,2.699996
1696107115.736,2.099985
1696107125.736,0.399998
1696107135.736,2.300022
1696107145.736,0.399999
1696107155.736,0.600006
1696107165.736,1.499993
1696107175.736,0.199998
1696107185.736,0.600004
1696107195.736,1.300001
1696107205.736,0.400001
1696107215.736,0.200000
1696107225.736,2.299997
1696107235.736,1.099992
1696107245.736,1.200001
1696107255.736,1.499957
1696107265.736,1.400058
1696107275.736,0.199998
1696107285.736,0.199999
1696107295.736,1.700012
1696107305.736,0.200000
1696107315.736,0.500001
1696107325.736,2.399933
1696107335.736,0.999975
1696107345.736,2.900091
1696107355.736,4.899991
1696107365.736,1.599958
1696107375.736,0.599998
1696107385.736,2.200071
1696107395.736,0.699977
1696107405.736,0.600008
1696107415.736,1.600025
1696107425.736,1.000001
1696107435.736,0.799977
1696107445.737,0.899900
1696107455.736,1.300162
1696107465.736,1.599984
1696107475.736,1.400031
1696107485.736,1.600010
1696107495.736,1.099970
1696107505.736,1.299990
1696107515.736,3.000095
1696107525.736,0.599984
1696107535.736,0.500014
1696107545.736,3.899892
1696107555.736,0.900003
1696107565.736,1.199992
1696107575.736,3.700116
1696107585.736,3.699932
1696107595.736,1.099986
1696107605.736,4.200128
1696107615.736,0.999999
1696107625.736,1.099992
1696107635.736,3.199874
1696107645.736,1.799993
1696107655.736,1.300065
1696107665.736,1.099970
1696107675.736,3.900092
1696107685.736,0.799981
1696107695.736,0.600002
1696107705.736,1.000001
1696107715.736,1.999966
1696107725.736,0.900011
1696107735.736,4.400083
1696107745.736,0.600006
1696107755.736,0.900007
1696107765.736,3.099908
1696107775.736,0.499997
1696107785.736,0.700014
1696107795.736,3.399933
1696107805.736,0.600032
1696107815.736,0.399994
1696107825.736,2.499868
1696107835.736,2.100159
1696107845.736,0.599991
1696107855.736,0.200000
1696107865.736,0.800006
1696107875.736,0.300000
1696107885.736,0.799989
1696107895.736,1.000011
1696107905.736,0.600001
1696107915.736,0.300000
1696107925.736,1.099990
1696107935.736,0.800006
1696107945.736,1.800004
1696107955.736,2.699978
1696107965.736,0.599999
1696107975.736,0.300003
1696107985.736,0.999994
1696107995.736,0.399998
1696108005.736,0.100000
1696108015.736,0.800008
1696108025.736,0.300002
1696108035.736,0.799996
1696108045.736,1.399994
1696108055.736,0.400000
1696108065.736,1.400003
1696108075.736,2.000007
1696108085.736,0.899997
1696108095.736,0.299998
1696108105.736,1.900013
1696108115.736,0.200000
1696108125.736,0.099999
1696108135.737,1.099914
1696108145.736,2.400192
1696108155.736,1.399974
1696108165.736,0.799981
1696108175.736,4.200006
1696108185.736,3.999967
1696108195.736,3.200023
1696108205.736,3.999921
1696108215.736,0.500013
1696108225.736,0.699997
1696108235.736,4.400018
1696108245.736,0.600015
1696108255.736,0.999967
1696108265.736,2.900076
1696108275.736,0.800003
1696108285.736,0.400000
1696108295.736,4.199878
1696108305.736,1.300035
1696108315.736,1.200002
1696108325.736,1.200012
1696108335.736,1.399979
1696108345.736,1.000005
1696108355.736,1.199994
1696108365.736,2.100008
1696108375.736,1.099997
1696108385.736,1.500001
1696108395.736,1.800001
1696108405.736,1.500008
1696108415.736,0.899992
1696108425.736,1.399995
1696108435.736,1.099981
1696108445.736,0.800010
1696108455.736,3.900050
1696108465.736,1.300003
1696108475.736,1.899948
1696108485.737,3.799857
1696108495.736,1.200078
1696108505.736,1.499997
1696108515.736,1.200000
1696108525.736,4.799928
1696108535.736,1.600023
1696108545.736,4.199898
1696108555.736,3.500072
1696108565.736,2.600022
1696108575.736,1.099988
1696108585.736,1.499966
1696108595.736,1.300000
1696108605.736,1.400045
1696108615.736,1.899941
1696108625.736,1.500043
1696108635.736,1.300000
1696108645.736,4.299990
1696108655.736,1.599966
1696108665.736,2.200055
1696108675.736,2.099929
1696108685.736,1.500053
1696108695.736,1.199958
1696108705.736,1.000001
1696108715.736,3.600113
1696108725.736,0.900001
1696108735.736,0.899965
1696108745.736,4.100059
1696108755.736,1.400029
1696108765.736,1.299992
1696108775.736,4.200016
1696108785.736,3.600017
1696108795.736,3.099926
1696108805.736,4.500111
1696108815.736,0.899996
1696108825.736,0.799983
1696108835.736,1.000028
1696108845.736,1.000000
