epoch,value
1696106985.736,nan
1696106995.736,1.700002
1696107005.736,0.400001
1696107015.736,1.399998
1696107025.736,0.400001
1696107035.736,0.500000
1696107045.736,8.399958
1696107055.736,0.400002
1696107065.736,0.499999
1696107075.736,2.199990
1696107085.736,0.700004
1696107095.736,0.399999
1696107105.736,4.199988
1696107115.736,1.800002
1696107125.736,0.399999
1696107135.736,7.900014
1696107145.736,0.600001
1696107155.736,0.500001
1696107165.736,8.499969
1696107175.736,0.700000
1696107185.736,0.400002
1696107195.736,1.999990
1696107205.736,0.600000
1696107215.736,0.500000
1696107225.736,4.500002
1696107235.736,1.500000
1696107245.736,1.500004
1696107255.736,2.699942
1696107265.736,5.800146
1696107275.736,0.599996
1696107285.736,0.599999
1696107295.736,8.100047
1696107305.736,0.800001
1696107315.736,0.499999
1696107325.736,54.099008
1696107335.736,43.098547
1696107345.736,38.601303
1696107355.736,45.699880
1696107365.736,53.498920
1696107375.736,63.199867
1696107385.736,42.201020
1696107395.736,63.598531
1696107405.736,97.502263
1696107415.736,43.799939
1696107425.736,63.299994
1696107435.736,52.398726
1696107445.737,86.989992
1696107455.736,57.907093
1696107465.736,66.099617
1696107475.736,45.000968
1696107485.736,61.400133
1696107495.736,29.699348
1696107505.736,56.599877
1696107515.736,79.401933
1696107525.736,99.397880
1696107535.736,87.001869
1696107545.736,71.898401
1696107555.736,55.199977
1696107565.736,5.699995
1696107575.736,43.000957
1696107585.736,27.300019
1696107595.736,81.397877
1696107605.736,24.800614
1696107615.736,19.700033
1696107625.736,11.999896
1696107635.736,73.697777
1696107645.736,6.300064
1696107655.736,73.002098
1696107665.736,57.498764
1696107675.736,42.700694
1696107685.736,50.799132
1696107695.736,59.799981
1696107705.736,77.899898
1696107715.736,47.000322
1696107725.736,41.699734
1696107735.736,31.000704
1696107745.736,90.200006
1696107755.736,47.500231
1696107765.736,44.198976
1696107775.736,36.799825
1696107785.736,48.701134
1696107795.736,43.398987
1696107805.736,30.601384
1696107815.736,0.599997
1696107825.736,2.299873
1696107835.736,3.200214
1696107845.736,0.699992
1696107855.736,0.300000
1696107865.736,2.000008
1696107875.736,0.400000
1696107885.736,0.199999
1696107895.736,1.600002
1696107905.736,0.400001
1696107915.736,0.299999
1696107925.736,1.999998
1696107935.736,0.500001
1696107945.736,0.900001
1696107955.736,4.500002
1696107965.736,0.899997
1696107975.736,0.400001
1696107985.736,2.199988
1696107995.736,0.600002
1696108005.736,0.599999
1696108015.736,2.400007
1696108025.736,0.700001
1696108035.736,0.299999
1696108045.736,1.699993
1696108055.736,0.200001
1696108065.736,1.900004
1696108075.736,2.999992
1696108085.736,1.599991
1696108095.736,0.300001
1696108105.736,8.200012
1696108115.736,0.300000
1696108125.736,0.600000
1696108135.736,0.499963
1696108145.736,7.500551
1696108155.736,9.299794
1696108165.736,70.998511
1696108175.736,61.400029
1696108185.736,25.899806
1696108195.736,56.900417
1696108205.736,22.299987
1696108215.736,55.100285
1696108225.736,43.099797
1696108235.736,43.100167
1696108245.736,28.400597
1696108255.736,49.298797
1696108265.736,47.100903
1696108275.736,57.300145
1696108285.736,31.900089
1696108295.736,32.499244
1696108305.736,62.901219
1696108315.736,61.200013
1696108325.736,25.700433
1696108335.736,40.299221
1696108345.736,1.400007
1696108355.736,0.899995
1696108365.736,15.700073
1696108375.736,11.799982
1696108385.736,0.699999
1696108395.736,42.200053
1696108405.736,41.600104
1696108415.736,3.699994
1696108425.736,54.200033
1696108435.736,35.499063
1696108445.736,55.201512
1696108455.736,25.299930
1696108465.736,1.700003
1696108475.736,0.899977
1696108485.736,9.599734
1696108495.736,56.502993
1696108505.736,4.900001
1696108515.736,1.299999
1696108525.736,23.399617
1696108535.736,8.100130
1696108545.736,5.399873
1696108555.736,27.800528
1696108565.736,4.900029
1696108575.736,36.600024
1696108585.736,26.499321
1696108595.736,2.500002
1696108605.736,11.300296
1696108615.736,31.999195
1696108625.736,1.400030
1696108635.736,1.500002
1696108645.736,14.699961
1696108655.736,5.799884
1696108665.736,42.400992
1696108675.736,37.798819
1696108685.736,98.503130
1696108695.736,21.299357
1696108705.736,10.900024
1696108715.736,40.901060
1696108725.736,68.900117
1696108735.736,46.498882
1696108745.736,14.000019
1696108755.736,1.100020
1696108765.736,23.100141
1696108775.736,31.399951
1696108785.736,28.499902
1696108795.736,23.299599
1696108805.736,56.701395
1696108815.736,22.699892
1696108825.736,71.898295
1696108835.736,80.802008
1696108845.736,54.099973
1696108855.736,2.399949
1696108865.736,33.299308
1696108875.736,23.100375
1696108885.736,11.300029
1696108895.736,2.400046
1696108905.736,34.199312
1696108915.736,3.399995
1696108925.736,3.499999
1696108935.736,22.400038
1696108945.736,37.000677
1696108955.736,1.299971
1696108965.736,14.000020
1696108975.736,1.300002
1696108985.736,1.100010
1696108995.736,44.199714
1696109005.736,11.000033
1696109015.736,25.500071
1696109025.736,90.001159
1696109035.736,58.100074
1696109045.736,16.699776
1696109055.736,12.499907
1696109065.736,22.000494
1696109075.736,34.799087
1696109085.736,30.600129
1696109095.736,22.000433
1696109105.736,14.999726
1696109115.736,31.099950
1696109125.736,54.501209
1696109135.736,0.599999
1696109145.736,13.800433
1696109155.736,42.197270
1696109165.736,12.200365
1696109175.736,48.899043
1696109185.736,13.900329
1696109195.736,23.899897
1696109205.736,8.199853
1696109215.736,26.299704
1696109225.736,25.400877
1696109235.736,98.497573
1696109245.736,59.799560
1696109255.736,48.801548
1696109265.736,94.997903
1696109275.736,85.699780
1696109285.736,75.201602
1696109295.736,89.898291
1696109305.736,92.799820
1696109315.736,69.900214
1696109325.736,53.200784
1696109335.736,5.600044
1696109345.736,40.499029
1696109355.736,74.701618
1696109365.736,47.098839
1696109375.736,27.600100
1696109385.736,43.299896
1696109395.736,62.999844
1696109405.736,35.599517
1696109415.736,35.900626
1696109425.736,57.499915
1696109435.736,68.302030
1696109445.736,20.499799
1696109455.736,1.700005
1696109465.736,0.999981
1696109475.736,15.600371
1696109485.736,1.199997
1696109495.736,1.099997
1696109505.736,60.598984
1696109515.736,3.200010
1696109525.736,3.200026
1696109535.736,15.799791
1696109545.736,10.700194
1696109555.736,1.199977
1696109565.736,26.400496
1696109575.736,11.800013
1696109585.736,1.099970
1696109595.736,98.099496
1696109605.736,21.500170
1696109615.736,1.300011
1696109625.736,71.901154
1696109635.736,43.899190
1696109645.736,13.600582
1696109655.736,10.199466
1696109665.736,17.200502
1696109675.736,2.400004
1696109685.736,10.099983
1696109695.736,59.799965
1696109705.736,10.300012
1696109715.736,12.099967
1696109725.736,28.900170
1696109735.736,58.798512
1696109745.736,48.200986
1696109755.736,28.198690
1696109765.736,17.600506
1696109775.736,10.300188
1696109785.736,34.199230
1696109795.736,28.000026
1696109805.736,0.999999
1696109815.736,0.900002
1696109825.736,34.699908
1696109835.736,43.000026
1696109845.736,8.900043
1696109855.736,68.201282
1696109865.736,12.899735
1696109875.736,37.699867
1696109885.736,23.999830
1696109895.736,10.800072
1696109905.736,39.300080
1696109915.736,44.300183
1696109925.736,41.299972
1696109935.736,20.799828
1696109945.736,8.899771
1696109955.736,17.400473
1696109965.736,2.200056
1696109975.736,1.099977
1696109985.736,50.901143
1696109995.736,27.399421
1696110005.736,11.600198
1696110015.736,14.099687
1696110025.736,34.700079
1696110035.736,1.800046
1696110045.736,45.398760
1696110055.736,10.200005
1696110065.736,9.800264
1696110075.736,41.998879
1696110085.736,40.900008
1696110095.736,9.900250
1696110105.736,34.399158
1696110115.736,66.200007
1696110125.736,54.001193
1696110135.736,8.399682
1696110145.736,13.900718
1696110155.736,0.500003
1696110165.736,0.400001
1696110175.736,1.299996
1696110185.736,0.599998
1696110195.736,0.500001
1696110205.736,2.100017
1696110215.736,0.199999
1696110225.736,1.799995
1696110235.736,5.500039
1696110245.736,0.899993
1696110255.736,0.400001
1696110265.736,1.900009
1696110275.736,0.699996
1696110285.736,0.500000
1696110295.736,2.100015
1696110305.736,0.499996
1696110315.736,0.500001
1696110325.736,1.800006
1696110335.736,0.200000
1696110345.736,1.799999
1696110355.736,2.400010
1696110365.736,1.699993
1696110375.736,0.199999
1696110385.736,4.899994
1696110395.736,0.500003
1696110405.736,0.300000
1696110415.736,0.999967
1696110425.736,1.700050
1696110435.736,0.700000
1696110445.736,0.500000
1696110455.736,7.999986
1696110465.736,1.800002
1696110475.736,1.899998
1696110485.736,7.399989
1696110495.736,0.600001
1696110505.736,0.300001
1696110515.736,8.099958
1696110525.736,0.599999
1696110535.736,0.500002
1696110545.736,8.199992
1696110555.736,0.399999
1696110565.736,0.500004
1696110575.736,7.599956
1696110585.736,1.600000
1696110595.736,2.000016
1696110605.736,1.799990
1696110615.736,0.499999
1696110625.736,0.400003
1696110635.736,3.399991
1696110645.736,0.599996
1696110655.736,0.600003
1696110665.736,8.400011
1696110675.736,0.399999
1696110685.736,0.000000
1696110695.736,4.799789
1696110705.736,3.100132
1696110715.736,1.799997
1696110725.736,0.399998
1696110735.736,1.700008
1696110745.736,0.300000
1696110755.736,0.499999
1696110765.736,1.700004
1696110775.736,0.700003
1696110785.736,0.399999
1696110795.736,7.599997
1696110805.736,0.600001
1696110815.736,0.399999
1696110825.736,9.300030
1696110835.736,2.100009
1696110845.736,0.699996
1696110855.736,1.899999
1696110865.736,0.600003
1696110875.736,0.299999
1696110885.736,7.199986
1696110895.736,0.400000
1696110905.736,0.700002
1696110915.736,7.799944
1696110925.736,0.300003
1696110935.736,0.299998
1696110945.736,3.100026
1696110955.735,1.900008
1696110965.736,0.699989
