epoch,shortterm,midterm,longterm
1696106975.828,0.100000,0.120000,0.170000
1696106985.753,0.090000,0.120000,0.170000
1696106995.753,0.070000,0.110000,0.170000
1696107005.753,0.060000,0.110000,0.170000
1696107015.753,0.050000,0.110000,0.170000
1696107025.753,0.040000,0.100000,0.160000
1696107035.753,0.040000,0.100000,0.160000
1696107045.753,0.030000,0.090000,0.160000
1696107055.753,0.020000,0.090000,0.160000
1696107065.753,0.020000,0.090000,0.160000
1696107075.753,0.020000,0.080000,0.150000
1696107085.753,0.010000,0.080000,0.150000
1696107095.753,0.010000,0.080000,0.150000
1696107105.753,0.080000,0.090000,0.150000
1696107115.753,0.070000,0.090000,0.150000
1696107125.753,0.060000,0.080000,0.150000
1696107135.753,0.050000,0.080000,0.150000
1696107145.753,0.040000,0.080000,0.150000
1696107155.753,0.030000,0.080000,0.140000
1696107165.753,0.030000,0.070000,0.140000
1696107175.753,0.020000,0.070000,0.140000
1696107185.753,0.020000,0.070000,0.140000
1696107195.753,0.020000,0.060000,0.140000
1696107205.753,0.010000,0.060000,0.140000
1696107215.753,0.010000,0.060000,0.130000
1696107225.753,0.010000,0.060000,0.130000
1696107235.753,0.010000,0.060000,0.130000
1696107245.753,0.010000,0.050000,0.130000
1696107255.753,0.000000,0.050000,0.130000
1696107265.753,0.080000,0.070000,0.130000
1696107275.753,0.070000,0.060000,0.130000
1696107285.753,0.280000,0.110000,0.140000
1696107295.753,0.380000,0.140000,0.150000
1696107305.753,0.400000,0.150000,0.160000
1696107315.753,0.480000,0.180000,0.170000
1696107325.753,0.560000,0.210000,0.180000
1696107335.753,0.700000,0.250000,0.190000
1696107345.753,0.900000,0.310000,0.210000
1696107355.753,0.910000,0.330000,0.220000
1696107365.753,0.930000,0.350000,0.230000
1696107375.753,0.940000,0.370000,0.240000
1696107385.753,1.030000,0.410000,0.250000
1696107395.753,1.020000,0.430000,0.260000
1696107405.753,1.020000,0.450000,0.270000
1696107415.753,1.020000,0.470000,0.280000
1696107425.753,1.010000,0.490000,0.280000
1696107435.753,1.010000,0.500000,0.290000
1696107445.754,1.010000,0.520000,0.300000
1696107455.753,1.010000,0.540000,0.310000
1696107465.753,1.010000,0.550000,0.320000
1696107475.753,1.000000,0.570000,0.320000
1696107485.753,1.080000,0.600000,0.340000
1696107495.753,1.070000,0.610000,0.340000
1696107505.753,1.060000,0.630000,0.350000
1696107515.755,1.050000,0.640000,0.360000
1696107525.753,1.040000,0.650000,0.370000
1696107535.753,1.030000,0.660000,0.370000
1696107545.753,1.030000,0.670000,0.380000
1696107555.753,1.020000,0.690000,0.390000
1696107565.753,1.020000,0.700000,0.390000
1696107575.753,1.100000,0.720000,0.410000
1696107585.753,1.080000,0.730000,0.410000
1696107595.753,1.070000,0.740000,0.420000
1696107605.753,1.130000,0.770000,0.430000
1696107615.753,1.110000,0.780000,0.440000
1696107625.753,1.090000,0.780000,0.450000
1696107635.753,1.080000,0.790000,0.450000
1696107645.753,1.070000,0.800000,0.460000
1696107655.753,1.060000,0.810000,0.470000
1696107665.753,1.050000,0.810000,0.470000
1696107675.753,1.110000,0.840000,0.480000
1696107685.753,1.180000,0.860000,0.490000
1696107695.753,1.150000,0.860000,0.500000
1696107705.767,1.120000,0.870000,0.510000
1696107715.754,1.100000,0.870000,0.510000
