epoch,value
1696106975.828,147165184.000000
1696106985.756,147898368.000000
1696106995.756,147484672.000000
1696107005.756,147922944.000000
1696107015.756,148303872.000000
1696107025.756,148176896.000000
1696107035.756,148176896.000000
1696107045.756,148176896.000000
1696107055.756,148176896.000000
1696107065.756,148176896.000000
1696107075.756,148176896.000000
1696107085.756,148176896.000000
1696107095.756,148176896.000000
1696107105.756,147537920.000000
1696107115.756,147505152.000000
1696107125.756,147849216.000000
1696107135.756,147968000.000000
1696107145.756,147968000.000000
1696107155.756,147968000.000000
1696107165.756,147968000.000000
1696107175.756,147968000.000000
1696107185.756,147968000.000000
1696107195.756,148094976.000000
1696107205.756,148094976.000000
1696107215.756,148094976.000000
1696107225.756,147042304.000000
1696107235.756,147271680.000000
1696107245.756,147456000.000000
1696107255.756,146018304.000000
1696107265.756,147836928.000000
1696107275.756,147836928.000000
1696107285.756,147836928.000000
1696107295.756,147963904.000000
1696107305.756,147963904.000000
1696107315.756,147963904.000000
1696107325.756,135319552.000000
1696107335.756,133668864.000000
1696107345.756,131047424.000000
1696107355.756,130826240.000000
1696107365.756,131256320.000000
1696107375.756,131256320.000000
1696107385.756,131137536.000000
1696107395.756,131137536.000000
1696107405.756,131137536.000000
1696107415.756,131137536.000000
1696107425.756,131137536.000000
1696107435.756,131145728.000000
1696107445.759,131452928.000000
1696107455.756,131391488.000000
1696107465.760,130396160.000000
1696107475.756,130658304.000000
1696107485.756,130867200.000000
1696107495.771,130867200.000000
1696107505.756,130867200.000000
1696107515.756,130740224.000000
1696107525.756,130740224.000000
1696107535.756,130740224.000000
1696107545.756,130875392.000000
1696107555.756,130875392.000000
1696107565.756,130875392.000000
1696107575.756,130748416.000000
1696107585.756,130523136.000000
1696107595.756,130301952.000000
1696107605.756,131002368.000000
1696107615.756,131002368.000000
1696107625.756,131002368.000000
1696107635.756,127229952.000000
1696107645.756,130875392.000000
1696107655.756,130875392.000000
1696107665.756,130875392.000000
1696107675.756,131002368.000000
1696107685.756,131002368.000000
1696107695.756,131002368.000000
1696107705.770,130387968.000000
1696107715.756,130809856.000000
1696107725.756,130994176.000000
1696107735.756,130867200.000000
1696107745.756,130867200.000000
1696107755.756,130875392.000000
1696107765.759,130875392.000000
1696107775.770,130875392.000000
1696107785.756,130883584.000000
1696107795.756,130756608.000000
1696107805.756,147210240.000000
1696107815.756,147210240.000000
1696107825.756,142925824.000000
