epoch,value
1696106975.828,121249792.000000
1696106985.756,119943168.000000
1696106995.756,120270848.000000
1696107005.756,119803904.000000
1696107015.756,119390208.000000
1696107025.756,119537664.000000
1696107035.756,119537664.000000
1696107045.756,119517184.000000
1696107055.756,119521280.000000
1696107065.756,119517184.000000
1696107075.756,119517184.000000
1696107085.756,119517184.000000
1696107095.756,119517184.000000
1696107105.756,120119296.000000
1696107115.756,120139776.000000
1696107125.756,119816192.000000
1696107135.756,119705600.000000
1696107145.756,119721984.000000
1696107155.756,119721984.000000
1696107165.756,119701504.000000
1696107175.756,119701504.000000
1696107185.756,119701504.000000
1696107195.756,119574528.000000
1696107205.756,119574528.000000
1696107215.756,119574528.000000
1696107225.756,120573952.000000
1696107235.756,120352768.000000
1696107245.756,120184832.000000
1696107255.756,121622528.000000
1696107265.756,119808000.000000
1696107275.756,119808000.000000
1696107285.756,119808000.000000
1696107295.756,119681024.000000
1696107305.756,119681024.000000
1696107315.756,119681024.000000
1696107325.756,132304896.000000
1696107335.756,133955584.000000
1696107345.756,136568832.000000
1696107355.756,136777728.000000
1696107365.756,136359936.000000
1696107375.756,136359936.000000
1696107385.756,136486912.000000
1696107395.756,136486912.000000
1696107405.756,136482816.000000
1696107415.756,136482816.000000
1696107425.756,136482816.000000
1696107435.756,136474624.000000
1696107445.759,136163328.000000
1696107455.756,136224768.000000
1696107465.760,137207808.000000
1696107475.756,136912896.000000
1696107485.756,136708096.000000
1696107495.771,136712192.000000
1696107505.756,136712192.000000
1696107515.756,136851456.000000
1696107525.756,136851456.000000
1696107535.756,136851456.000000
1696107545.756,136724480.000000
1696107555.756,136724480.000000
1696107565.756,136724480.000000
1696107575.756,136851456.000000
1696107585.756,137031680.000000
1696107595.756,137236480.000000
1696107605.756,136581120.000000
1696107615.756,136581120.000000
1696107625.756,136581120.000000
1696107635.756,140345344.000000
1696107645.756,136704000.000000
1696107655.756,136704000.000000
1696107665.756,136704000.000000
1696107675.756,136577024.000000
1696107685.756,136577024.000000
1696107695.756,136577024.000000
1696107705.770,137146368.000000
1696107715.756,136712192.000000
1696107725.756,136552448.000000
1696107735.756,136683520.000000
1696107745.756,136683520.000000
1696107755.756,136675328.000000
1696107765.759,136683520.000000
1696107775.770,136683520.000000
1696107785.756,136675328.000000
1696107795.756,136806400.000000
1696107805.756,120352768.000000
1696107815.756,120352768.000000
1696107825.756,124567552.000000
1696107835.756,120299520.000000
1696107845.756,120111104.000000
1696107855.756,120111104.000000
1696107865.756,119984128.000000
1696107875.756,119959552.000000
1696107885.756,119959552.000000
1696107895.756,119853056.000000
1696107905.756,119799808.000000
1696107915.756,119799808.000000
1696107925.756,119934976.000000
1696107935.756,119975936.000000
1696107945.756,120279040.000000
1696107955.756,120492032.000000
1696107965.756,119955456.000000
1696107975.757,119902208.000000
1696107985.756,119955456.000000
1696107995.756,119955456.000000
1696108005.756,119955456.000000
1696108015.756,119955456.000000
1696108025.756,119955456.000000
1696108035.756,119955456.000000
1696108045.756,119824384.000000
1696108055.756,119824384.000000
1696108065.756,120627200.000000
1696108075.756,120745984.000000
1696108085.756,120430592.000000
1696108095.756,120422400.000000
1696108105.756,119926784.000000
1696108115.756,119922688.000000
1696108125.756,119943168.000000
1696108135.761,121012224.000000
1696108145.756,119918592.000000
1696108155.756,129515520.000000
1696108165.756,134336512.000000
1696108175.760,136245248.000000
1696108185.761,136806400.000000
1696108195.756,136757248.000000
1696108205.756,136454144.000000
1696108215.756,136454144.000000
1696108225.760,136388608.000000
1696108235.763,136601600.000000
1696108245.757,136597504.000000
1696108255.756,136515584.000000
1696108265.756,136515584.000000
1696108275.756,136515584.000000
1696108285.757,136515584.000000
1696108295.756,136605696.000000
1696108305.756,137052160.000000
1696108315.756,137166848.000000
1696108325.756,136970240.000000
1696108335.756,136728576.000000
1696108345.756,136720384.000000
1696108355.756,136720384.000000
1696108365.756,136814592.000000
1696108375.756,136814592.000000
1696108385.756,136810496.000000
1696108395.756,136683520.000000
1696108405.756,136683520.000000
1696108415.756,136683520.000000
1696108425.756,137486336.000000
1696108435.760,137359360.000000
1696108445.756,136790016.000000
1696108455.756,136785920.000000
1696108465.756,136785920.000000
1696108475.756,136777728.000000
1696108485.756,140005376.000000
1696108495.756,136396800.000000
1696108505.756,136396800.000000
1696108515.756,136396800.000000
1696108525.756,136785920.000000
1696108535.756,136785920.000000
1696108545.756,137228288.000000
1696108555.756,137080832.000000
1696108565.756,136880128.000000
1696108575.756,136884224.000000
1696108585.756,136888320.000000
1696108595.756,136888320.000000
1696108605.756,136888320.000000
1696108615.756,136486912.000000
1696108625.756,136482816.000000
1696108635.756,136470528.000000
1696108645.756,136724480.000000
1696108655.756,129863680.000000
1696108665.756,135127040.000000
1696108675.764,140197888.000000
1696108685.756,136658944.000000
1696108695.756,136609792.000000
1696108705.756,136605696.000000
1696108715.756,136749056.000000
1696108725.756,136749056.000000
1696108735.764,136749056.000000
1696108745.770,136994816.000000
1696108755.756,136994816.000000
1696108765.756,137031680.000000
