filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1694430647799_2,bad,0.84971799999999997,False,8,8,8,2,1694430647799,2023/9/11 11:10:48,2023/9/10 11:58:04,0.96717086694843601,-44.796294275338035,-65.834226315271948,470761.75,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430662601_2,bad,0.84971799999999997,False,8,8,8,2,1694430662601,2023/9/11 11:11:03,2023/9/10 11:58:04,0.96734218639176106,-43.866152283976533,-66.136523657747532,470441.65625,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430677321_2,bad,0.84971799999999997,False,8,8,8,2,1694430677321,2023/9/11 11:11:17,2023/9/10 11:58:04,0.96751255676645087,-42.940665066534386,-66.429818810897061,470121.03125,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430691640_2,bad,0.84971799999999997,False,8,8,8,2,1694430691640,2023/9/11 11:11:32,2023/9/10 11:58:04,0.96767828592419391,-42.039937284833542,-66.708524679979419,469807.28125,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430706119_2,bad,0.84971799999999997,False,8,8,8,2,1694430706119,2023/9/11 11:11:46,2023/9/10 11:58:04,0.96784586695139296,-41.128718332567558,-66.98412281298944,469488.46875,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430720440_2,bad,0.84971799999999997,False,8,8,8,2,1694430720440,2023/9/11 11:12:00,2023/9/10 11:58:04,0.96801161926123314,-40.227041154572078,-67.250916832159305,469171.875,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430734841_2,bad,0.84971799999999997,False,8,8,8,2,1694430734841,2023/9/11 11:12:15,2023/9/10 11:58:04,0.96817829750216333,-39.319951051659366,-67.513708360475547,468852.53125,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430749160_2,bad,0.84971799999999997,False,8,8,8,2,1694430749160,2023/9/11 11:12:29,2023/9/10 11:58:04,0.96834402666718233,-38.417669401922339,-67.769860944918534,468534.375,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430763639_2,bad,0.84971799999999997,False,8,8,8,2,1694430763639,2023/9/11 11:12:44,2023/9/10 11:58:04,0.96851160768710542,-37.504964883511875,-68.023950812232187,468212.28125,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
img_msec_1694430777961_2,bad,0.84971799999999997,False,8,8,8,2,1694430777961,2023/9/11 11:12:58,2023/9/10 11:58:04,0.96867737157299416,-36.601832875223188,-68.270684565809717,467893.625,1 44878U 19092F   23253.49866014  .00030084  00000+0  78216-3 0  9996,2 44878  97.4730  83.6089 0008061 181.1693 178.9534 15.38851155206895
