filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1694082424800_2,bad,0.55449499999999996,False,8,8,8,2,1694082424800,2023/9/7 10:27:05,2023/9/3 19:12:16,3.6352908722255961,-36.822106475956097,-56.888884653657151,467410.75,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082465442_2,bad,0.52843099999999998,False,8,8,8,2,1694082465442,2023/9/7 10:27:45,2023/9/3 19:12:16,3.6357612657375284,-34.257353367143381,-57.569191985557936,466552.21875,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082501200_2,bad,0.48755700000000002,False,8,8,8,2,1694082501200,2023/9/7 10:28:21,2023/9/3 19:12:16,3.6361751314761932,-31.99905035582163,-58.142579536191334,465804.96875,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082538562_2,earth,0.64316600000000002,False,8,8,8,2,1694082538562,2023/9/7 10:28:59,2023/9/3 19:12:16,3.6366075620244374,-29.637898355977828,-58.719942256921684,465037.125,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082589120_2,earth,0.79159400000000002,True,8,8,8,2,1694082589120,2023/9/7 10:29:49,2023/9/3 19:12:16,3.6371927240688819,-26.440621918697744,-59.470962537299606,464027.53125,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082665200_2,earth,0.87765400000000005,True,8,8,8,2,1694082665200,2023/9/7 10:31:05,2023/9/3 19:12:16,3.6380732796242228,-21.625372704784606,-60.54779650146547,462594.46875,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082742162_2,bad,0.86341199999999996,False,8,8,8,2,1694082742162,2023/9/7 10:32:22,2023/9/3 19:12:16,3.6389640435154433,-16.7504173922418,-61.587269330871372,461281.375,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082775601_2,bad,0.84898200000000001,False,8,8,8,2,1694082775601,2023/9/7 10:32:56,2023/9/3 19:12:16,3.6393510689813411,-14.631325589035956,-62.026976419069285,460761.59375,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082792722_2,bad,0.69793700000000003,False,8,8,8,2,1694082792722,2023/9/7 10:33:13,2023/9/3 19:12:16,3.6395492287047091,-13.546136595967868,-62.249831831308462,460508.5,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082823762_2,earth,0.58988399999999996,False,8,8,8,2,1694082823762,2023/9/7 10:33:44,2023/9/3 19:12:16,3.6399084879594739,-11.578401784769508,-62.650449746886387,460073.15625,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
img_msec_1694082858881_2,earth,0.61228800000000005,False,8,8,8,2,1694082858881,2023/9/7 10:34:19,2023/9/3 19:12:16,3.6403149578618468,-9.3516508323186311,-63.099193175356227,459618.84375,1 44878U 19092F   23246.80018135  .00033806  00000+0  88886-3 0  9995,2 44878  97.4737  76.7824 0007796 205.7459 154.3399 15.38483210205865
